# schema=VASPBERRY_Z2_FIELD
# schema_version=1
# vaspberry_version=1.1.1
# result_status=PASS
# result_kind=LEGACY_FUKUI_Z2_CANDIDATE
# reportable_invariant=0
# nkx=12
# nky=12
# band_min=1
# band_max=10
# band_rank=10
# spinor_components=2
# index_base=1
# plaquette_orientation=POSITIVE_B1_CROSS_B2
# nfield_definition=[(sum_link_arg)-wrap(sum_link_arg)]/(2*pi)
# overlap_backend=WAVECAR_PSEUDO_NO_PAW_AUGMENTATION
# input_trs_assumed=1
# input_trs_independently_verified=0
# check_scope=NUMERICAL_SELF_CONSISTENCY_OF_TR_RECONSTRUCTION
# check_scope_excludes=RAW_INPUT_TRS,KRAMERS_ENERGY,DIRECT_GAP,PAW_AUGMENTATION,MESH_CONVERGENCE
# physical_tr_rule=wrap[berry_flux(-k)+berry_flux(k)]=0
# nfield_note=gauge_and_log_branch_dependent
# threshold_policy=CONSERVATIVE_DIAGNOSTIC_MAY_FALSE_REJECT
# threshold_partner_fractional= 9.9999999999999995E-008
# threshold_min_link_singular= 9.9999999999999995E-007
# threshold_flux_tr_odd_rad= 1.0000000000000001E-005
# threshold_nfield_integer= 1.0000000000000000E-010
# threshold_total_chern= 1.0000000000000000E-004
# threshold_phase_margin_fraction_pi= 8.0000000000000004E-001
# threshold_max_abs_flux_rad= 2.5132741228718345E+000
# total_chern= 1.1593839628498794E-014
# minimum_link_singular_value= 8.1545471684244930E-001
# max_flux_tr_odd_residual_rad= 1.8152146452621309E-014
# max_nfield_integer_residual= 2.1063981330815400E-024
# max_nfield_pair_residual= 0.0000000000000000E+000
# max_abs_flux_rad= 1.1752576836165929E-006
# half_top_nfield_sum=-3
# half_bottom_nfield_sum=3
# half_top_legacy_z2_candidate=1
# half_bottom_legacy_z2_candidate=1
# numerical_self_consistency_checks_pass=1
cell_id,q1,q2,q3,kx_A-1,ky_A-1,kz_A-1,half_bz,tr_partner,berry_flux_rad,berry_curvature_A2,min_link_singular_value,nfield_raw,nfield_int,nfield_integer_residual,nfield_tr_pair_residual,flux_tr_odd_residual_rad,pair_nfield_int_sum,plaquette_checks_pass
1, 9.5833333333333337E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 1.3719759944511212E+000, 7.9211070971805941E-001, 0.0000000000000000E+000,-1,14, 1.1752576767332101E-006, 7.1509935109238180E-005, 8.1545471684245063E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-6.8833827526759706E-015,0,1
2, 4.1666666666666373E-002, 9.5833333333333337E-001, 0.0000000000000000E+000, 5.9651130193526587E-002, 1.5497818233614209E+000, 0.0000000000000000E+000,-1,13, 5.1985159243983503E-007, 3.1630981339461238E-005, 8.1545471684245041E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.5527136788005009E-015,0,1
3, 1.2500000000000031E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 1.7895339058058146E-001, 1.4809026312120239E+000, 0.0000000000000000E+000,-1,24, 9.9089425553700039E-009, 6.0292125987663814E-007, 9.7849419971683316E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,0,1
4, 2.0833333333333340E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 2.9825565096763512E-001, 1.4120234390626276E+000, 0.0000000000000000E+000,-1,23, 1.5155090959950712E-008, 9.2212932753018080E-007, 1.0065095880326658E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6645352591003757E-015,0,1
5, 2.9166666666666641E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 4.1755791135468867E-001, 1.3431442469132313E+000, 0.0000000000000000E+000,-1,22,-3.4375687828921694E-008,-2.0916291419721094E-006, 1.0317313690984495E+000, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.7699626167013776E-015,0,1
6, 3.7500000000000033E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 5.3686017174174350E-001, 1.2742650547638346E+000, 0.0000000000000000E+000,-1,21, 9.2296119080792494E-008, 5.6158658794281145E-006, 1.0525523660356206E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.1094237467877974E-015,0,1
7, 4.5833333333333348E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 6.5616243212879732E-001, 1.2053858626144383E+000, 0.0000000000000000E+000,-1,20,-8.6802595088849852E-008,-5.2816059533182771E-006, 1.0606027886459106E+000, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.3290705182007514E-015,0,1
8, 5.4166666666666630E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 7.7546469251585060E-001, 1.1365066704650422E+000, 0.0000000000000000E+000,-1,19, 9.7563277456913511E-009, 5.9363523235017711E-007, 1.0522268116081308E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-4.4408920985006262E-016,0,1
9, 6.2500000000000022E-001, 9.5833333333333326E-001, 0.0000000000000000E+000, 8.9476695290290542E-001, 1.0676274783156450E+000, 0.0000000000000000E+000,-1,18, 6.4166679525357053E-008, 3.9042970574658002E-006, 1.0296838782003843E+000, 2.1063981330815400E-024,0, 2.1063981330815400E-024, 0.0000000000000000E+000,-8.8817841970012523E-016,0,1
10, 7.0833333333333326E-001, 9.5833333333333326E-001, 0.0000000000000000E+000, 1.0140692132899589E+000, 9.9874828616624878E-001, 0.0000000000000000E+000,-1,17, 2.8504782779284760E-008, 1.7344070217141883E-006, 1.0034821138880330E+000, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6875389974302379E-014,0,1
