# Job running on    1 total cores
# File reading...  : WAVECAR                                                                    
# TOTAL RECORD LENGTH =     38304
# ISPIN            :      1 (LSORBIT = .TRUE.)
# ENCUT (eV)       :    400.0000
# NKPOINT          :    144
#  K-GRID          :     12   X  12
# NBANDS           :     26
# RECIVEC B1 (A^-1):      1.981056    -1.143763     0.000000
# RECIVEC B2       :      0.000000     2.287527     0.000000
# RECIVEC B3       :      0.000000    -0.000000     0.418879
#  dk^2 = |dk1xk2| =      0.031470
  
# Chern Number for the BANDS :    1    -    18
# Chern Number is sum of Berry Curvature over 1BZ
# Chern Number =          -0.000000
# MAXVAL of BERRYCURV at kx,ky,kz (in reci)=        -0.291667        0.375000        0.000000       12.233671
# MINVAL of BERRYCURV at kx,ky,kz (in reci)=         0.375000       -0.291667        0.000000      -12.233671
# Berry Curvature (A^-2) :-Im[logPI_S(det(S(K_s,K_s+1)))]/dk^2
# (cart) kx        ky        kz(A^-1)   Berry Curvature (A^-2),   (recip)kx        ky        kz
   3.054128   1.763302   0.000000       -0.000000               1.541667   1.541667   0.000000
   3.054128   1.572674   0.000000        2.509708               1.541667   1.458333   0.000000
   3.054128   1.382047   0.000000        4.537349               1.541667   1.375000   0.000000
   3.054128   1.191420   0.000000        5.755718               1.541667   1.291667   0.000000
   3.054128   1.000793   0.000000        5.024051               1.541667   1.208333   0.000000
   3.054128   0.810166   0.000000        3.341942               1.541667   1.125000   0.000000
   3.054128   0.619538   0.000000        1.246219               1.541667   1.041667   0.000000
   3.054128   0.428911   0.000000       -1.030197               1.541667   0.958333   0.000000
   3.054128   0.238284   0.000000       -2.614137               1.541667   0.875000   0.000000
   3.054128   0.047657   0.000000       -3.437070               1.541667   0.791667   0.000000
   3.054128  -0.142970   0.000000       -3.141334               1.541667   0.708333   0.000000
   3.054128  -0.333598   0.000000       -1.982712               1.541667   0.625000   0.000000
   3.054128  -0.524225   0.000000       -0.000000               1.541667   0.541667   0.000000
   3.054128  -0.714852   0.000000        2.509708               1.541667   0.458333   0.000000
   3.054128  -0.905479   0.000000        4.537349               1.541667   0.375000   0.000000
   3.054128  -1.096106   0.000000        5.755718               1.541667   0.291667   0.000000
   3.054128  -1.286734   0.000000        5.024051               1.541667   0.208333   0.000000
   3.054128  -1.477361   0.000000        3.341942               1.541667   0.125000   0.000000
   3.054128  -1.667988   0.000000        1.246219               1.541667   0.041667   0.000000
   3.054128  -1.858615   0.000000       -1.030197               1.541667  -0.041667   0.000000
   3.054128  -2.049243   0.000000       -2.614137               1.541667  -0.125000   0.000000
   3.054128  -2.239870   0.000000       -3.437070               1.541667  -0.208333   0.000000
   3.054128  -2.430497   0.000000       -3.141334               1.541667  -0.291667   0.000000
   3.054128  -2.621124   0.000000       -1.982712               1.541667  -0.375000   0.000000
   3.054128  -2.811751   0.000000       -0.000000               1.541667  -0.458333   0.000000
   3.054128  -3.002379   0.000000        2.509708               1.541667  -0.541667   0.000000
   3.054128  -3.193006   0.000000        4.537349               1.541667  -0.625000   0.000000
   3.054128  -3.383633   0.000000        5.755718               1.541667  -0.708333   0.000000
   3.054128  -3.574260   0.000000        5.024051               1.541667  -0.791667   0.000000
   3.054128  -3.764887   0.000000        3.341942               1.541667  -0.875000   0.000000
   3.054128  -3.955515   0.000000        1.246219               1.541667  -0.958333   0.000000
   3.054128  -4.146142   0.000000       -1.030197               1.541667  -1.041667   0.000000
   3.054128  -4.336769   0.000000       -2.614137               1.541667  -1.125000   0.000000
   3.054128  -4.527396   0.000000       -3.437070               1.541667  -1.208333   0.000000
   3.054128  -4.718023   0.000000       -3.141334               1.541667  -1.291667   0.000000
   3.054128  -4.908651   0.000000       -1.982712               1.541667  -1.375000   0.000000
   2.889040   1.858615   0.000000       -2.509708               1.458333   1.541667   0.000000
   2.889040   1.667988   0.000000        0.000000               1.458333   1.458333   0.000000
   2.889040   1.477361   0.000000        1.982711               1.458333   1.375000   0.000000
   2.889040   1.286734   0.000000        3.141332               1.458333   1.291667   0.000000
   2.889040   1.096106   0.000000        3.437070               1.458333   1.208333   0.000000
   2.889040   0.905479   0.000000        2.614133               1.458333   1.125000   0.000000
   2.889040   0.714852   0.000000        1.030198               1.458333   1.041667   0.000000
   2.889040   0.524225   0.000000       -1.246219               1.458333   0.958333   0.000000
   2.889040   0.333598   0.000000       -3.341942               1.458333   0.875000   0.000000
   2.889040   0.142970   0.000000       -5.024051               1.458333   0.791667   0.000000
   2.889040  -0.047657   0.000000       -5.755718               1.458333   0.708333   0.000000
   2.889040  -0.238284   0.000000       -4.537349               1.458333   0.625000   0.000000
   2.889040  -0.428911   0.000000       -2.509708               1.458333   0.541667   0.000000
   2.889040  -0.619538   0.000000        0.000000               1.458333   0.458333   0.000000
   2.889040  -0.810166   0.000000        1.982711               1.458333   0.375000   0.000000
   2.889040  -1.000793   0.000000        3.141332               1.458333   0.291667   0.000000
   2.889040  -1.191420   0.000000        3.437070               1.458333   0.208333   0.000000
   2.889040  -1.382047   0.000000        2.614133               1.458333   0.125000   0.000000
   2.889040  -1.572674   0.000000        1.030198               1.458333   0.041667   0.000000
   2.889040  -1.763302   0.000000       -1.246219               1.458333  -0.041667   0.000000
   2.889040  -1.953929   0.000000       -3.341942               1.458333  -0.125000   0.000000
   2.889040  -2.144556   0.000000       -5.024051               1.458333  -0.208333   0.000000
   2.889040  -2.335183   0.000000       -5.755718               1.458333  -0.291667   0.000000
   2.889040  -2.525811   0.000000       -4.537349               1.458333  -0.375000   0.000000
   2.889040  -2.716438   0.000000       -2.509708               1.458333  -0.458333   0.000000
   2.889040  -2.907065   0.000000        0.000000               1.458333  -0.541667   0.000000
   2.889040  -3.097692   0.000000        1.982711               1.458333  -0.625000   0.000000
   2.889040  -3.288319   0.000000        3.141332               1.458333  -0.708333   0.000000
   2.889040  -3.478947   0.000000        3.437070               1.458333  -0.791667   0.000000
   2.889040  -3.669574   0.000000        2.614133               1.458333  -0.875000   0.000000
   2.889040  -3.860201   0.000000        1.030198               1.458333  -0.958333   0.000000
   2.889040  -4.050828   0.000000       -1.246219               1.458333  -1.041667   0.000000
   2.889040  -4.241455   0.000000       -3.341942               1.458333  -1.125000   0.000000
   2.889040  -4.432083   0.000000       -5.024051               1.458333  -1.208333   0.000000
   2.889040  -4.622710   0.000000       -5.755718               1.458333  -1.291667   0.000000
   2.889040  -4.813337   0.000000       -4.537349               1.458333  -1.375000   0.000000
   2.723952   1.953929   0.000000       -4.537349               1.375000   1.541667   0.000000
   2.723952   1.763302   0.000000       -1.982712               1.375000   1.458333   0.000000
   2.723952   1.572674   0.000000        0.000002               1.375000   1.375000   0.000000
   2.723952   1.382047   0.000000        2.001032               1.375000   1.291667   0.000000
   2.723952   1.191420   0.000000        3.585695               1.375000   1.208333   0.000000
   2.723952   1.000793   0.000000        3.016037               1.375000   1.125000   0.000000
   2.723952   0.810166   0.000000        0.968389               1.375000   1.041667   0.000000
   2.723952   0.619538   0.000000       -1.023043               1.375000   0.958333   0.000000
   2.723952   0.428911   0.000000       -3.030967               1.375000   0.875000   0.000000
   2.723952   0.238284   0.000000       -6.397164               1.375000   0.791667   0.000000
   2.723952   0.047657   0.000000      -12.233671               1.375000   0.708333   0.000000
   2.723952  -0.142970   0.000000      -10.200468               1.375000   0.625000   0.000000
   2.723952  -0.333598   0.000000       -4.537349               1.375000   0.541667   0.000000
   2.723952  -0.524225   0.000000       -1.982712               1.375000   0.458333   0.000000
   2.723952  -0.714852   0.000000        0.000002               1.375000   0.375000   0.000000
   2.723952  -0.905479   0.000000        2.001032               1.375000   0.291667   0.000000
   2.723952  -1.096106   0.000000        3.585695               1.375000   0.208333   0.000000
   2.723952  -1.286734   0.000000        3.016037               1.375000   0.125000   0.000000
   2.723952  -1.477361   0.000000        0.968389               1.375000   0.041667   0.000000
   2.723952  -1.667988   0.000000       -1.023043               1.375000  -0.041667   0.000000
   2.723952  -1.858615   0.000000       -3.030967               1.375000  -0.125000   0.000000
   2.723952  -2.049243   0.000000       -6.397164               1.375000  -0.208333   0.000000
   2.723952  -2.239870   0.000000      -12.233671               1.375000  -0.291667   0.000000
   2.723952  -2.430497   0.000000      -10.200468               1.375000  -0.375000   0.000000
   2.723952  -2.621124   0.000000       -4.537349               1.375000  -0.458333   0.000000
   2.723952  -2.811751   0.000000       -1.982712               1.375000  -0.541667   0.000000
   2.723952  -3.002379   0.000000        0.000002               1.375000  -0.625000   0.000000
   2.723952  -3.193006   0.000000        2.001032               1.375000  -0.708333   0.000000
   2.723952  -3.383633   0.000000        3.585695               1.375000  -0.791667   0.000000
   2.723952  -3.574260   0.000000        3.016037               1.375000  -0.875000   0.000000
   2.723952  -3.764887   0.000000        0.968389               1.375000  -0.958333   0.000000
   2.723952  -3.955515   0.000000       -1.023043               1.375000  -1.041667   0.000000
   2.723952  -4.146142   0.000000       -3.030967               1.375000  -1.125000   0.000000
   2.723952  -4.336769   0.000000       -6.397164               1.375000  -1.208333   0.000000
   2.723952  -4.527396   0.000000      -12.233671               1.375000  -1.291667   0.000000
   2.723952  -4.718023   0.000000      -10.200468               1.375000  -1.375000   0.000000
   2.558864   2.049243   0.000000       -5.755718               1.291667   1.541667   0.000000
   2.558864   1.858615   0.000000       -3.141334               1.291667   1.458333   0.000000
   2.558864   1.667988   0.000000       -2.001032               1.291667   1.375000   0.000000
   2.558864   1.477361   0.000000       -0.000000               1.291667   1.291667   0.000000
   2.558864   1.286734   0.000000        2.479743               1.291667   1.208333   0.000000
   2.558864   1.096106   0.000000        3.350875               1.291667   1.125000   0.000000
   2.558864   0.905479   0.000000        1.246387               1.291667   1.041667   0.000000
   2.558864   0.714852   0.000000       -1.135605               1.291667   0.958333   0.000000
   2.558864   0.524225   0.000000       -2.687116               1.291667   0.875000   0.000000
