# Job running on    1 total cores
# File reading...  : ../2.band/WAVECAR                                                                                                                                                                                                                                               
# TOTAL RECORD LENGTH =     38160
# ISPIN            :      1 (LSORBIT = .TRUE.)
# ENCUT (eV)       :    400.0000
# NKPOINT          :     48
#  K-GRID          :     12   X  12
# NBANDS           :     32
# RECIVEC B1 (A^-1):      1.981056    -1.143763     0.000000
# RECIVEC B2       :      0.000000     2.287527     0.000000
# RECIVEC B3       :      0.000000    -0.000000     0.418879
#  dk^2 = |dk1xk2| =      0.031470
  
# Chern Number for the BAND :   12
# Chern Number is sum of Berry Curvature over 1BZ
# Chern Number =         23510.2502
# Berry curvature using kubo for BAND  index n   12
# Omega_n=      |P(k,s,nm,+)|^2-|P(k,s,nm,-)|^2
#         sum_n -------------------------------
#        (n/=m) |energy(k,s,n)-energy(k,s,m)|^2
#  The TRANSITION MATRIX ELEMENT P =
#   P(k,s,nm,+ or -) = 1/sqrt(2)[p_x(k,nm,s) +(or -) i*p_y(k,nm,s)]
#  THE INTERBAND TRANSITION MATRIX p_x,y =
#   p_x,y(k,nm,s)=<psi(k,n,s)|-i*hbar*1/dx(y)|psi(k,m,s)>
# (cart) kx        ky        kz(A^-1)   BERRYKUBO(A^2),          (recip)kx        ky        kz
  -1.320711   0.000005   0.000000                  -2.5061              -0.666670  -0.333333   0.000000
  -1.349421  -0.049724   0.000000                  -9.3492              -0.681163  -0.362319   0.000000
  -1.378132  -0.099453   0.000000                 -82.1717              -0.695655  -0.391304   0.000000
  -1.406843  -0.149183   0.000000                -214.8451              -0.710148  -0.420290   0.000000
  -1.435553  -0.198912   0.000000                -240.2178              -0.724640  -0.449275   0.000000
  -1.464264  -0.248641   0.000000                  -1.1298              -0.739133  -0.478261   0.000000
  -1.492975  -0.298370   0.000000                   1.8658              -0.753626  -0.507246   0.000000
  -1.521685  -0.348099   0.000000                   4.3943              -0.768118  -0.536232   0.000000
  -1.550396  -0.397828   0.000000                   7.9009              -0.782611  -0.565217   0.000000
  -1.579107  -0.447557   0.000000                  14.6590              -0.797103  -0.594203   0.000000
  -1.607817  -0.497286   0.000000                  30.3725              -0.811596  -0.623188   0.000000
  -1.636528  -0.547015   0.000000                  65.7647              -0.826089  -0.652174   0.000000
  -1.665239  -0.596744   0.000000                 111.4100              -0.840581  -0.681159   0.000000
  -1.693949  -0.646473   0.000000                 107.6595              -0.855074  -0.710145   0.000000
  -1.722660  -0.696202   0.000000                  70.6170              -0.869567  -0.739130   0.000000
