path_k_index,fullmesh_k_index,band,valid_isolated_band,path_omega_z_A2,mesh_omega_z_A2,abs_curvature_difference_A2
1,101,17,1,-5.2500938726925925,-5.250063108690391,3.0764002201699725e-05
1,101,18,1,-6.41480249987256,-6.41478232796897,2.017190359016041e-05
7,76,17,1,-1.562386662854005,-1.5623925325753965,5.869721391382754e-06
7,76,18,1,-1.6369239537746754,-1.6369250353763067,1.0816016313697219e-06
13,51,17,1,3.290752789471453,3.290541976572744,0.00021081289870883424
13,51,18,1,1.7261938712966767,1.7261813714886372,1.249980803952333e-05
19,26,17,1,-0.2725972187545094,-0.2725785467730976,1.86719814117553e-05
19,26,18,1,-0.24505072553570026,-0.24489816882775975,0.0001525567079405099
25,1,17,0,,,
25,1,18,0,,,
31,132,17,1,0.2726170882353573,0.2726464448822861,2.9356646928824226e-05
31,132,18,1,0.2449415987209942,0.24488366051214652,5.793820884766876e-05
37,107,17,1,-3.29071016965742,-3.290445979787157,0.0002641898702631096
37,107,18,1,-1.7262242255425404,-1.7262304941678956,6.268625355243529e-06
43,82,17,1,1.5623869244347413,1.5623860847635482,8.396711930203082e-07
43,82,18,1,1.636934191558614,1.6369333898561138,8.0170250016387e-07
49,57,17,1,5.250077950034542,5.249997169570833,8.078046370840752e-05
49,57,18,1,6.414846550186213,6.414770920218398,7.562996781462772e-05
