kx_inv_A,ky_inv_A,kz_inv_A,printed_curvature_A2,q1,q2,q3
1.371976,0.792111,0.000000,-0.000000,0.958333,0.958333,0.000000
1.371976,0.654352,0.000000,0.000000,0.958333,0.875000,0.000000
1.371976,0.516594,0.000000,0.000000,0.958333,0.791667,0.000000
1.371976,0.378836,0.000000,0.000000,0.958333,0.708333,0.000000
1.371976,0.241077,0.000000,0.000000,0.958333,0.625000,0.000000
1.371976,0.103319,0.000000,-0.000000,0.958333,0.541667,0.000000
1.371976,-0.034440,0.000000,-0.000000,0.958333,0.458333,0.000000
1.371976,-0.172198,0.000000,-0.000000,0.958333,0.375000,0.000000
1.371976,-0.309956,0.000000,-0.000000,0.958333,0.291667,0.000000
1.371976,-0.447715,0.000000,0.000000,0.958333,0.208333,0.000000
1.371976,-0.585473,0.000000,0.000000,0.958333,0.125000,0.000000
1.371976,-0.723232,0.000000,0.000000,0.958333,0.041667,0.000000
1.252674,0.860990,0.000000,-0.000000,0.875000,0.958333,0.000000
1.252674,0.723232,0.000000,-0.000000,0.875000,0.875000,0.000000
1.252674,0.585473,0.000000,0.000000,0.875000,0.791667,0.000000
1.252674,0.447715,0.000000,0.000000,0.875000,0.708333,0.000000
1.252674,0.309956,0.000000,0.000000,0.875000,0.625000,0.000000
1.252674,0.172198,0.000000,-0.000000,0.875000,0.541667,0.000000
1.252674,0.034440,0.000000,0.000000,0.875000,0.458333,0.000000
1.252674,-0.103319,0.000000,-0.000000,0.875000,0.375000,0.000000
1.252674,-0.241077,0.000000,-0.000000,0.875000,0.291667,0.000000
1.252674,-0.378836,0.000000,0.000000,0.875000,0.208333,0.000000
1.252674,-0.516594,0.000000,-0.000000,0.875000,0.125000,0.000000
1.252674,-0.654352,0.000000,0.000000,0.875000,0.041667,0.000000
1.133371,0.929869,0.000000,0.000000,0.791667,0.958333,0.000000
1.133371,0.792111,0.000000,-0.000000,0.791667,0.875000,0.000000
1.133371,0.654352,0.000000,-0.000000,0.791667,0.791667,0.000000
1.133371,0.516594,0.000000,0.000000,0.791667,0.708333,0.000000
1.133371,0.378836,0.000000,-0.000000,0.791667,0.625000,0.000000
1.133371,0.241077,0.000000,-0.000000,0.791667,0.541667,0.000000
1.133371,0.103319,0.000000,0.000000,0.791667,0.458333,0.000000
1.133371,-0.034440,0.000000,0.000000,0.791667,0.375000,0.000000
1.133371,-0.172198,0.000000,-0.000000,0.791667,0.291667,0.000000
1.133371,-0.309956,0.000000,-0.000000,0.791667,0.208333,0.000000
1.133371,-0.447715,0.000000,-0.000000,0.791667,0.125000,0.000000
1.133371,-0.585473,0.000000,0.000000,0.791667,0.041667,0.000000
1.014069,0.998748,0.000000,0.000000,0.708333,0.958333,0.000000
1.014069,0.860990,0.000000,-0.000000,0.708333,0.875000,0.000000
1.014069,0.723232,0.000000,-0.000000,0.708333,0.791667,0.000000
1.014069,0.585473,0.000000,-0.000000,0.708333,0.708333,0.000000
1.014069,0.447715,0.000000,0.000000,0.708333,0.625000,0.000000
1.014069,0.309956,0.000000,0.000000,0.708333,0.541667,0.000000
1.014069,0.172198,0.000000,-0.000000,0.708333,0.458333,0.000000
1.014069,0.034440,0.000000,0.000000,0.708333,0.375000,0.000000
1.014069,-0.103319,0.000000,-0.000000,0.708333,0.291667,0.000000
1.014069,-0.241077,0.000000,-0.000000,0.708333,0.208333,0.000000
1.014069,-0.378836,0.000000,0.000000,0.708333,0.125000,0.000000
1.014069,-0.516594,0.000000,0.000000,0.708333,0.041667,0.000000
0.894767,1.067627,0.000000,0.000000,0.625000,0.958333,0.000000
0.894767,0.929869,0.000000,0.000000,0.625000,0.875000,0.000000
0.894767,0.792111,0.000000,-0.000000,0.625000,0.791667,0.000000
0.894767,0.654352,0.000000,0.000000,0.625000,0.708333,0.000000
0.894767,0.516594,0.000000,0.000000,0.625000,0.625000,0.000000
0.894767,0.378836,0.000000,0.000000,0.625000,0.541667,0.000000
0.894767,0.241077,0.000000,-0.000000,0.625000,0.458333,0.000000
0.894767,0.103319,0.000000,0.000000,0.625000,0.375000,0.000000
0.894767,-0.034440,0.000000,0.000000,0.625000,0.291667,0.000000
0.894767,-0.172198,0.000000,0.000000,0.625000,0.208333,0.000000
0.894767,-0.309956,0.000000,0.000000,0.625000,0.125000,0.000000
0.894767,-0.447715,0.000000,-0.000000,0.625000,0.041667,0.000000
0.775465,1.136507,0.000000,-0.000000,0.541667,0.958333,0.000000
0.775465,0.998748,0.000000,-0.000000,0.541667,0.875000,0.000000
0.775465,0.860990,0.000000,0.000000,0.541667,0.791667,0.000000
0.775465,0.723232,0.000000,-0.000000,0.541667,0.708333,0.000000
0.775465,0.585473,0.000000,-0.000000,0.541667,0.625000,0.000000
0.775465,0.447715,0.000000,-0.000000,0.541667,0.541667,0.000000
0.775465,0.309956,0.000000,-0.000000,0.541667,0.458333,0.000000
0.775465,0.172198,0.000000,0.000000,0.541667,0.375000,0.000000
0.775465,0.034440,0.000000,-0.000000,0.541667,0.291667,0.000000
0.775465,-0.103319,0.000000,0.000000,0.541667,0.208333,0.000000
0.775465,-0.241077,0.000000,-0.000000,0.541667,0.125000,0.000000
