map,band_first,band_last,band,cell_id,ix,iy,k0_index,k1_index,k2_index,k3_index,k0,k1,k2,k3,k0_frac_x,k0_frac_y,k0_frac_z,center_frac_x,center_frac_y,center_frac_z,q_center_frac_x,q_center_frac_y,q_center_frac_z,q1,q2,q3,energy1_ev,energy2_ev,energy3_ev,energy4_ev,energy_above1_ev,energy_above2_ev,energy_above3_ev,energy_above4_ev,e0_eV,e1_eV,e2_eV,e3_eV,min_gap_below_ev,min_gap_above_ev,gap_below1_ev,gap_below2_ev,gap_below3_ev,gap_below4_ev,gap_above1_ev,gap_above2_ev,gap_above3_ev,gap_above4_ev,subspace_min_gap_above_ev,fukui_flux_rad,phi_rad,plaquette_area_inv_ang2,dS_A-2,berry_curvature_ang2,omega_ang2,omega_A2,neighbor_gap_below_ev,neighbor_gap_above_ev,link1_logabs_det,link2_logabs_det,link3_logabs_det,link4_logabs_det,link1_abs_det,link2_abs_det,link3_abs_det,link4_abs_det,link1_min_sv,link2_min_sv,link3_min_sv,link4_min_sv,link1_max_sv,link2_max_sv,link3_max_sv,link4_max_sv,min_link_sv,min_pw_coverage,link_quality_min_sv
occupied,1,10,11,1,0,0,1,2,14,13,1,2,14,13,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.0,-0.8389191634146871,-0.5608436115970745,-0.5608442018498618,-0.5608435921138222,-0.8389188742984175,-0.5608432750493932,-0.560843878533527,-0.5608433483665387,-0.8389191634146871,-0.5608436115970745,-0.5608442018498618,-0.5608435921138222,0.592448499860559,2.4374728346820973e-07,0.592448499860559,0.7881199139804644,0.7881240221731816,0.78811997689803,2.89116269591716e-07,3.36547681278887e-07,3.2331633481597066e-07,2.4374728346820973e-07,0.592448499860559,-7.696970400809936e-07,-7.696970400809936e-07,0.01643488571942971,0.01643488571942971,-4.683312395479815e-05,-4.683312395479815e-05,-4.683312395479815e-05,0.592448499860559,2.4374728346820973e-07,1.9123643589354145,1.9367394760157641,1.9367398057642462,1.9123648046380908,6.769074414794177,6.936098745327157,6.936101032495566,6.769077431789432,0.8156088785145236,0.8276603470751217,0.8276602486623236,0.8156088827152822,1.6697415486131217,1.6622144290717418,1.6622144240780339,1.6697415264866877,0.8156088785145236,0.988134475939354,0.8156088785145236
occupied,1,10,11,2,1,0,2,3,15,14,2,3,15,14,0.08333333333333304,-6.938893903907228e-18,0.0,0.1249999999999997,0.04166666666666666,0.0,0.1249999999999997,0.04166666666666666,0.0,0.1249999999999997,0.04166666666666666,0.0,-0.5608436115970745,-0.5227879251931252,-0.3266921363906259,-0.5608442018498618,-0.5608432750493932,-0.522787583501752,-0.3266919629420089,-0.560843878533527,-0.5608436115970745,-0.5227879251931252,-0.3266921363906259,-0.5608442018498618,0.7881199139804644,1.734486169691074e-07,0.7881199139804644,1.050579094548035,1.2586472840975698,0.7881240221731816,3.36547681278887e-07,3.416913731957294e-07,1.734486169691074e-07,3.2331633481597066e-07,0.7881199139804644,-3.9642524818361835e-09,-3.9642524818361835e-09,0.01643488571942971,0.01643488571942971,-2.4120961651406865e-07,-2.4120961651406865e-07,-2.4120961651406865e-07,0.7881199139804644,1.734486169691074e-07,2.498086861993975,2.294302693106877,2.284275662687899,1.9367394760157641,12.159209448843342,9.917518046896413,9.818571689840656,6.936098745327157,1.0854757265054027,0.9830375280692516,0.9784955214624127,0.8276603470751217,1.6617271150986912,1.6505006350201699,1.662595070856721,1.6622144290717418,0.8276603470751217,0.983739837398374,0.8276603470751217
occupied,1,10,11,3,2,0,3,4,16,15,3,4,16,15,0.16666666666666696,0.0,0.0,0.20833333333333362,0.041666666666666664,0.0,0.20833333333333362,0.041666666666666664,0.0,0.20833333333333362,0.041666666666666664,0.0,-0.5227879251931252,-0.6561997488695684,-0.2961237873457453,-0.3266921363906259,-0.522787583501752,-0.656199321130443,-0.29612357137400924,-0.3266919629420089,-0.5227879251931252,-0.6561997488695684,-0.2961237873457453,-0.3266921363906259,1.050579094548035,1.734486169691074e-07,1.050579094548035,1.1835069793966513,1.57071593783787,1.2586472840975698,3.416913731957294e-07,4.277391254525753e-07,2.1597173605059083e-07,1.734486169691074e-07,1.050579094548035,1.1664808052813669e-07,1.1664808052813669e-07,0.01643488571942971,0.01643488571942971,7.097589999681748e-06,7.097589999681748e-06,7.097589999681748e-06,1.050579094548035,1.734486169691074e-07,2.5267611602322604,2.347476078272157,2.5201334335930765,2.294302693106877,12.512913114400975,10.459138336878626,12.430255166534806,9.917518046896413,1.0934166013093904,1.0034821138880348,1.0916077317602644,0.9830375280692516,1.6421699264565965,1.635638846993984,1.6484029712783206,1.6505006350201699,0.9830375280692516,0.9859649122807017,0.9830375280692516
occupied,1,10,11,4,3,0,4,5,17,16,4,5,17,16,0.25000000000000006,2.7755575615628914e-17,0.0,0.29166666666666674,0.04166666666666669,0.0,0.29166666666666674,0.04166666666666669,0.0,0.29166666666666674,0.04166666666666669,0.0,-0.6561997488695684,-0.6032347501979903,-0.3513439819119294,-0.2961237873457453,-0.656199321130443,-0.6032342740434256,-0.35134362355291804,-0.29612357137400924,-0.6561997488695684,-0.6032347501979903,-0.3513439819119294,-0.2961237873457453,1.1835069793966513,2.1597173605059083e-07,1.1835069793966513,1.538115942667572,1.781132326853884,1.57071593783787,4.277391254525753e-07,4.761545647768983e-07,3.5835901135428117e-07,2.1597173605059083e-07,1.1835069793966513,-2.850477833839266e-08,-2.850477833839266e-08,0.01643488571942971,0.01643488571942971,-1.734406848031419e-06,-1.734406848031419e-06,-1.734406848031419e-06,1.1835069793966513,2.1597173605059083e-07,2.567743354554058,2.409127157328618,2.544345379025155,2.347476078272157,13.036372751221615,11.124247188670925,12.73488883149643,10.459138336878626,1.1047402504321537,1.0296838782003834,1.0982764062624981,1.0034821138880348,1.6299289237677685,1.6256980699879178,1.6341952351365783,1.635638846993984,1.0034821138880348,0.9876814782226133,1.0034821138880348
occupied,1,10,11,5,4,0,5,6,18,17,5,6,18,17,0.3333333333333331,5.551115123125783e-17,0.0,0.3749999999999998,0.04166666666666672,0.0,0.3749999999999998,0.04166666666666672,0.0,0.3749999999999998,0.04166666666666672,0.0,-0.6032347501979903,-0.4235118861620182,-0.2500621767725154,-0.3513439819119294,-0.6032342740434256,-0.4235114444342486,-0.2500617824337975,-0.35134362355291804,-0.6032347501979903,-0.4235118861620182,-0.2500621767725154,-0.3513439819119294,1.538115942667572,3.5835901135428117e-07,1.538115942667572,1.9547984648332475,2.1631794008079677,1.781132326853884,4.761545647768983e-07,4.417277695845101e-07,3.9433871790173214e-07,3.5835901135428117e-07,1.538115942667572,-6.416667508446495e-08,-6.416667508446495e-08,0.01643488571942971,0.01643488571942971,-3.904297004548416e-06,-3.904297004548416e-06,-3.904297004548416e-06,1.538115942667572,3.5835901135428117e-07,2.598560305822727,2.4573493730539964,2.571501731662398,2.409127157328618,13.44436831632963,11.673827532777958,13.085460543581101,11.124247188670925,1.1124904698170324,1.052226811608131,1.1050570180311334,1.0296838782003834,1.6231738053998161,1.6202427024872128,1.6242874198515391,1.6256980699879178,1.0296838782003834,0.9870329670329671,1.0296838782003834
occupied,1,10,11,6,5,0,6,7,19,18,6,7,19,18,0.416666666666667,0.0,0.0,0.4583333333333337,0.041666666666666664,0.0,0.4583333333333337,0.041666666666666664,0.0,0.4583333333333337,0.041666666666666664,0.0,-0.4235118861620182,-0.31732089123215623,-0.08395974232868844,-0.2500621767725154,-0.4235114444342486,-0.3173205015729842,-0.08395938965629929,-0.2500617824337975,-0.4235118861620182,-0.31732089123215623,-0.08395974232868844,-0.2500621767725154,1.9547984648332475,3.526723891533745e-07,1.9547984648332475,2.1480450059427842,2.520784553288971,2.1631794008079677,4.417277695845101e-07,3.896591720398135e-07,3.526723891533745e-07,3.9433871790173214e-07,1.9547984648332475,2.298664281141782e-08,2.298664281141782e-08,0.01643488571942971,0.01643488571942971,1.3986493854497854e-06,1.3986493854497854e-06,1.3986493854497854e-06,1.9547984648332475,3.526723891533745e-07,2.6032203827007994,2.474520847313496,2.5883285024110454,2.4573493730539964,13.507166314365104,11.876015324942593,13.307509532781403,11.673827532777958,1.1132371092416282,1.0606877152001666,1.1085831310816923,1.052226811608131,1.6199382210112712,1.6181200401298161,1.618896644420158,1.6202427024872128,1.052226811608131,0.9870329670329671,1.052226811608131
occupied,1,10,11,7,6,0,7,8,20,19,7,8,20,19,0.5000000000000001,5.551115123125783e-17,0.0,0.5416666666666667,0.04166666666666672,0.0,0.5416666666666667,0.04166666666666672,0.0,0.5416666666666667,0.04166666666666672,0.0,-0.31732089123215623,-0.42351188560482156,-0.08396020209190477,-0.08395974232868844,-0.3173205015729842,-0.4235114446025191,-0.08395977825436124,-0.08395938965629929,-0.31732089123215623,-0.42351188560482156,-0.08396020209190477,-0.08395974232868844,1.9547984340931817,3.526723891533745e-07,2.1480450059427842,1.9547984340931817,2.520783406289842,2.520784553288971,3.896591720398135e-07,4.4100230245369687e-07,4.2383754353392256e-07,3.526723891533745e-07,1.9547984340931817,8.014109134159316e-08,8.014109134159316e-08,0.01643488571942971,0.01643488571942971,4.876279197174366e-06,4.876279197174366e-06,4.876279197174366e-06,1.9547984340931817,3.526723891533745e-07,2.603219388639807,2.476086144646429,2.591498642251994,2.474520847313496,13.50715288742463,11.894619376694324,13.349763138467843,11.876015324942593,1.1132371068324742,1.0606028016838764,1.1091313969209926,1.0606877152001666,1.6199375537802982,1.619132283842499,1.6172113855077954,1.6181200401298161,1.0606028016838764,0.9898901098901098,1.0606028016838764
occupied,1,10,11,8,7,0,8,9,21,20,8,9,21,20,-0.416666666666667,0.0,0.0,-0.37500000000000033,0.041666666666666664,0.0,-0.37500000000000033,0.041666666666666664,0.0,-0.37500000000000033,0.041666666666666664,0.0,-0.42351188560482156,-0.6032347228366572,-0.25006307718335646,-0.08396020209190477,-0.4235114446025191,-0.6032342494423965,-0.25006254140023815,-0.08395977825436124,-0.42351188560482156,-0.6032347228366572,-0.25006307718335646,-0.08396020209190477,1.5381159283057753,4.2383754353392256e-07,1.9547984340931817,1.5381159283057753,2.163176757688271,2.520783406289842,4.4100230245369687e-07,4.7339426079151536e-07,5.357831183161466e-07,4.2383754353392256e-07,1.5381159283057753,-1.4956040164172709e-07,-1.4956040164172709e-07,0.01643488571942971,0.01643488571942971,-9.100178984811148e-06,-9.100178984811148e-06,-9.100178984811148e-06,1.5381159283057753,4.2383754353392256e-07,2.5985667646777446,2.461913678820023,2.5883221324260655,2.476086144646429,13.444455151835816,11.727232236080544,13.307424764415545,11.894619376694324,1.1124904852691937,1.0525523937396177,1.108583085214563,1.0606028016838764,1.623174484395105,1.6231614637826268,1.6188948262349303,1.619132283842499,1.0525523937396177,0.9885613726352838,1.0525523937396177
occupied,1,10,11,9,8,0,9,10,22,21,9,10,22,21,-0.3333333333333331,-5.551115123125783e-17,0.0,-0.2916666666666664,0.04166666666666661,0.0,-0.2916666666666664,0.04166666666666661,0.0,-0.2916666666666664,0.04166666666666661,0.0,-0.6032347228366572,-0.6561996955069294,-0.3513452118839493,-0.25006307718335646,-0.6032342494423965,-0.6561992707206469,-0.351344668048569,-0.25006254140023815,-0.6032347228366572,-0.6561996955069294,-0.3513452118839493,-0.25006307718335646,1.1835070154922258,4.2478628248243666e-07,1.5381159283057753,1.1835070154922258,1.7811286142140026,2.163176757688271,4.7339426079151536e-07,4.2478628248243666e-07,5.438353802844631e-07,5.357831183161466e-07,1.1835070154922258,1.016482137350394e-08,1.016482137350394e-08,0.01643488571942971,0.01643488571942971,6.184905418287667e-07,6.184905418287667e-07,6.184905418287667e-07,1.1835070154922258,4.2478628248243666e-07,2.5677510506989405,2.4130968674878805,2.571493815394583,2.461913678820023,13.036473081421125,11.168494993122433,13.085356955980975,11.727232236080544,1.1047403426849691,1.031731421051027,1.1050569894736533,1.0525523937396177,1.6299300792083538,1.6306229606251152,1.6242857600399045,1.6231614637826268,1.031731421051027,0.9864035087719298,1.031731421051027
occupied,1,10,11,10,9,0,10,11,23,22,10,11,23,22,-0.25000000000000006,-2.7755575615628914e-17,0.0,-0.2083333333333334,0.04166666666666664,0.0,-0.2083333333333334,0.04166666666666664,0.0,-0.2083333333333334,0.04166666666666664,0.0,-0.6561996955069294,-0.5227879301987695,-0.2961252070011011,-0.3513452118839493,-0.6561992707206469,-0.522787581365495,-0.2961247517861567,-0.351344668048569,-0.6561996955069294,-0.5227879301987695,-0.2961252070011011,-0.3513452118839493,1.050579106519012,3.488332744883138e-07,1.1835070154922258,1.050579106519012,1.5707109554035712,1.7811286142140026,4.2478628248243666e-07,3.488332744883138e-07,4.552149444059239e-07,5.438353802844631e-07,1.050579106519012,9.498904951499298e-08,9.498904951499298e-08,0.01643488571942971,0.01643488571942971,5.779720719487248e-06,5.779720719487248e-06,5.779720719487248e-06,1.050579106519012,3.488332744883138e-07,2.526756983219205,2.345705021023205,2.5443383579228818,2.4130968674878805,12.512860847908692,10.440630997725465,12.734799418853394,11.168494993122433,1.0934166723778775,1.0065097286043885,1.0982763939364393,1.031731421051027,1.6421697242955793,1.6435824963575079,1.6341936465389737,1.6306229606251152,1.0065097286043885,0.9859649122807017,1.0065097286043885
