mu_eV,quality,continuous_scan_quality,occupied_band_count_min,occupied_band_count_max,chern_total,sigma_total_e2_over_h
-1.3,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.29,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.28,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.27,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.26,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.25,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.24,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.23,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.22,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.21,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.2,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.19,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.1800000000000002,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.17,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.1600000000000001,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.1500000000000001,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.1400000000000001,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.1300000000000001,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.12,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.11,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.1,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.09,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.08,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.07,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.06,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.05,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.04,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.03,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.02,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.01,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-1.0,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-0.99,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-0.98,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-0.97,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-0.96,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-0.95,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-0.9400000000000001,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-0.93,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-0.92,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-0.91,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
-0.9,PASS,PASS,10,10,1.1650988554270417e-16,-1.1650988554270417e-16
