mu_eV,quality,continuous_scan_quality,occupied_band_count_min,occupied_band_count_max,active_cell_count,nonfinite_or_singular_active_cell_count,link_failure_active_cell_count,gap_failure_active_cell_count,phase_failure_active_cell_count,worst_active_link_sv,worst_active_neighbor_gap_eV,max_active_abs_phi_rad,chern_total,sigma_total_e2_over_h,chern_K,chern_Kp,chern_outside,sigma_K_e2_over_h,sigma_Kp_e2_over_h,sigma_outside_e2_over_h,sigma_valley_contrast_e2_over_h,sigma_relative_to_full_max_bundle_e2_over_h,sigma_K_relative_to_full_max_bundle_e2_over_h,sigma_Kp_relative_to_full_max_bundle_e2_over_h,sigma_outside_relative_to_full_max_bundle_e2_over_h,sigma_valley_contrast_relative_to_full_max_bundle_e2_over_h
-1.3,PASS,PASS,10,10,144,0,0,0,0,0.8156088271925849,0.592448499860559,7.962308703479691e-07,1.1650988554270417e-16,-1.1650988554270417e-16,1.8501528917402245e-07,1.1770290999653936e-07,-3.027181990540519e-07,-1.8501528917402245e-07,-1.1770290999653936e-07,3.027181990540519e-07,-6.731237917748309e-08,0.0,0.0,0.0,0.0,0.0
-1.29,PASS,PASS,10,10,144,0,0,0,0,0.8156088271925849,0.592448499860559,7.962308703479691e-07,1.1650988554270417e-16,-1.1650988554270417e-16,1.8501528917402245e-07,1.1770290999653936e-07,-3.027181990540519e-07,-1.8501528917402245e-07,-1.1770290999653936e-07,3.027181990540519e-07,-6.731237917748309e-08,0.0,0.0,0.0,0.0,0.0
-1.28,PASS,PASS,10,10,144,0,0,0,0,0.8156088271925849,0.592448499860559,7.962308703479691e-07,1.1650988554270417e-16,-1.1650988554270417e-16,1.8501528917402245e-07,1.1770290999653936e-07,-3.027181990540519e-07,-1.8501528917402245e-07,-1.1770290999653936e-07,3.027181990540519e-07,-6.731237917748309e-08,0.0,0.0,0.0,0.0,0.0
-1.27,PASS,PASS,10,10,144,0,0,0,0,0.8156088271925849,0.592448499860559,7.962308703479691e-07,1.1650988554270417e-16,-1.1650988554270417e-16,1.8501528917402245e-07,1.1770290999653936e-07,-3.027181990540519e-07,-1.8501528917402245e-07,-1.1770290999653936e-07,3.027181990540519e-07,-6.731237917748309e-08,0.0,0.0,0.0,0.0,0.0
-1.26,PASS,PASS,10,10,144,0,0,0,0,0.8156088271925849,0.592448499860559,7.962308703479691e-07,1.1650988554270417e-16,-1.1650988554270417e-16,1.8501528917402245e-07,1.1770290999653936e-07,-3.027181990540519e-07,-1.8501528917402245e-07,-1.1770290999653936e-07,3.027181990540519e-07,-6.731237917748309e-08,0.0,0.0,0.0,0.0,0.0
-1.25,PASS,PASS,10,10,144,0,0,0,0,0.8156088271925849,0.592448499860559,7.962308703479691e-07,1.1650988554270417e-16,-1.1650988554270417e-16,1.8501528917402245e-07,1.1770290999653936e-07,-3.027181990540519e-07,-1.8501528917402245e-07,-1.1770290999653936e-07,3.027181990540519e-07,-6.731237917748309e-08,0.0,0.0,0.0,0.0,0.0
-1.24,PASS,PASS,10,10,144,0,0,0,0,0.8156088271925849,0.592448499860559,7.962308703479691e-07,1.1650988554270417e-16,-1.1650988554270417e-16,1.8501528917402245e-07,1.1770290999653936e-07,-3.027181990540519e-07,-1.8501528917402245e-07,-1.1770290999653936e-07,3.027181990540519e-07,-6.731237917748309e-08,0.0,0.0,0.0,0.0,0.0
-1.23,PASS,PASS,10,10,144,0,0,0,0,0.8156088271925849,0.592448499860559,7.962308703479691e-07,1.1650988554270417e-16,-1.1650988554270417e-16,1.8501528917402245e-07,1.1770290999653936e-07,-3.027181990540519e-07,-1.8501528917402245e-07,-1.1770290999653936e-07,3.027181990540519e-07,-6.731237917748309e-08,0.0,0.0,0.0,0.0,0.0
-1.22,PASS,PASS,10,10,144,0,0,0,0,0.8156088271925849,0.592448499860559,7.962308703479691e-07,1.1650988554270417e-16,-1.1650988554270417e-16,1.8501528917402245e-07,1.1770290999653936e-07,-3.027181990540519e-07,-1.8501528917402245e-07,-1.1770290999653936e-07,3.027181990540519e-07,-6.731237917748309e-08,0.0,0.0,0.0,0.0,0.0
-1.21,PASS,PASS,10,10,144,0,0,0,0,0.8156088271925849,0.592448499860559,7.962308703479691e-07,1.1650988554270417e-16,-1.1650988554270417e-16,1.8501528917402245e-07,1.1770290999653936e-07,-3.027181990540519e-07,-1.8501528917402245e-07,-1.1770290999653936e-07,3.027181990540519e-07,-6.731237917748309e-08,0.0,0.0,0.0,0.0,0.0
