# schema=VASPBERRY_BARE_MOMENTUM_KUBO_V2
# vaspberry_version=1.3.0
# normalization=STANDARD_MINUS_TWO_IM
# operator=WAVECAR_BARE_MOMENTUM_NO_PAW_NONLOCAL_VELOCITY
# berry_connection=A_i=i<u|d/dk_i u>
# occupation_weighting=NONE
# degeneracy_policy=SKIP_ABS_GAP_LE_MACHINE_EPSILON_eV
# migration=PRE_1.3_KUBO_CURVATURE_AND_CHERN_DIVIDE_BY_2
# index_base=1
# intermediate_bands=1:32
spin,k_index,band,kx_frac,ky_frac,kz_frac,energy_eV,omega_z_A2,min_gap_eV
1,1,17, 3.33330000000000015E-001, 6.66667000000000010E-001, 0.00000000000000000E+000,-1.42198360226171183E+000,-5.48954935497096663E+000, 1.47109721036255969E-001
1,2,17, 3.18837391304347850E-001, 6.37681478260869627E-001, 0.00000000000000000E+000,-1.44160606538022140E+000,-5.04096919733253923E+000, 1.44546709804618034E-001
1,3,17, 3.04344782608695685E-001, 6.08695956521739134E-001, 0.00000000000000000E+000,-1.49953840151576379E+000,-3.98604412386432561E+000, 1.37903477736751823E-001
1,4,17, 2.89852173913043520E-001, 5.79710434782608752E-001, 0.00000000000000000E+000,-1.58753048693150078E+000,-2.91148509178559856E+000, 1.29604268161162883E-001
1,5,17, 2.75359565217391300E-001, 5.50724913043478259E-001, 0.00000000000000000E+000,-1.69260475912958697E+000,-2.15673634859425256E+000, 1.21639265146736397E-001
1,6,17, 2.60866956521739135E-001, 5.21739391304347877E-001, 0.00000000000000000E+000,-1.80184231975673814E+000,-1.74479759823159442E+000, 1.14881503872908519E-001
1,7,17, 2.46374347826086970E-001, 4.92753869565217384E-001, 0.00000000000000000E+000,-1.90487760310622600E+000,-1.57347939754798327E+000, 1.09402593071836973E-001
1,8,17, 2.31881739130434805E-001, 4.63768347826087002E-001, 0.00000000000000000E+000,-1.99499436817368769E+000,-1.53898783177379084E+000, 1.04884557951439028E-001
1,9,17, 2.17389130434782613E-001, 4.34782826086956509E-001, 0.00000000000000000E+000,-2.06938759868817224E+000,-1.45520331202220032E+000, 1.00843371331352794E-001
1,10,17, 2.02896521739130448E-001, 4.05797304347826127E-001, 0.00000000000000000E+000,-2.12793037072269664E+000,-1.02368521998037254E+000, 9.66525738217085539E-002
1,11,17, 1.88403913043478255E-001, 3.76811782608695689E-001, 0.00000000000000000E+000,-2.16984094960685203E+000, 1.44559881762630266E-001, 9.13179862640474127E-002
1,12,17, 1.73911304347826090E-001, 3.47826260869565251E-001, 0.00000000000000000E+000,-2.18866672829446385E+000, 2.21662825050891810E+000, 8.29948846189676459E-002
1,13,17, 1.59418695652173925E-001, 3.18840739130434814E-001, 0.00000000000000000E+000,-2.17144067615706504E+000, 4.03340108543305043E+000, 6.95928583771756593E-002
1,14,17, 1.44926086956521732E-001, 2.89855217391304376E-001, 0.00000000000000000E+000,-2.11006183880131681E+000, 3.75954211153067464E+000, 5.21602449124531908E-002
1,15,17, 1.30433478260869568E-001, 2.60869695652173939E-001, 0.00000000000000000E+000,-2.01414716675774974E+000, 2.04687207209547939E+000, 3.51294427535970843E-002
1,16,17, 1.15940869565217375E-001, 2.31884173913043501E-001, 0.00000000000000000E+000,-1.90468160532686515E+000, 6.37123785749280080E-001, 2.16049890979967962E-002
1,17,17, 1.01448260869565210E-001, 2.02898652173913063E-001, 0.00000000000000000E+000,-1.80035700288675016E+000,-4.96666267559322111E-002, 1.21424104510066133E-002
