# schema=VASPBERRY_BARE_MOMENTUM_KUBO_BUNDLE_V1
# vaspberry_version=1.3.0
# normalization=STANDARD_MINUS_TWO_IM
# operator=WAVECAR_BARE_MOMENTUM_NO_PAW_NONLOCAL_VELOCITY
# berry_connection=A_i=i<u|d/dk_i u>
# occupation_weighting=NONE
# result_kind=ISOLATED_BUNDLE_TRACE
# result_status=PASS
# curvature=TRACE_OF_SELECTED_BUNDLE
# internal_transitions=EXCLUDED_ANALYTICALLY
# degeneracy_policy=ALLOW_INTERNAL_REJECT_EXTERNAL_GAP_LE_THRESHOLD
# gap_threshold_eV=1e-5
# index_base=1
# band_min=1
# band_max=18
# band_rank=18
# source_nbands=26
# intermediate_bands=EXTERNAL_TO_SELECTED_BUNDLE_WITHIN_SOURCE_NBANDS
# no_external_states=false
spin,k_index,kx_frac,ky_frac,kz_frac,omega_z_A2,min_external_gap_eV
1,1, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 3.09890751744035242E-004, 2.91317170301271444E+000
1,2, 8.33333333333330373E-002,-6.93889390390722838E-018, 0.00000000000000000E+000,-6.44712133934391874E-004, 2.82440602722462453E+000
1,3, 1.66666666666666963E-001,-2.77555756156289135E-017, 0.00000000000000000E+000, 9.34379896368956050E-005, 2.58374298450060014E+000
1,4, 2.50000000000000000E-001,-2.77555756156289135E-017, 0.00000000000000000E+000,-9.26489349344460436E-004, 2.81837755021086878E+000
1,5, 3.33333333333333037E-001,-2.77555756156289135E-017, 0.00000000000000000E+000, 1.51585512655620300E-004, 3.14894377026709860E+000
1,6, 4.16666666666666963E-001,-5.55111512312578270E-017, 0.00000000000000000E+000,-5.33283196456485069E-005, 3.00763305056991559E+000
1,7, 5.00000000000000000E-001,-5.55111512312578270E-017, 0.00000000000000000E+000,-1.34847911266618457E-004, 2.89370266316490321E+000
1,8,-4.16666666666666963E-001, 5.55111512312578270E-017, 0.00000000000000000E+000, 5.63141207270104367E-005, 3.00763304475540316E+000
1,9,-3.33333333333333037E-001, 2.77555756156289135E-017, 0.00000000000000000E+000, 7.73613388838412784E-004, 3.14894376726861402E+000
1,10,-2.50000000000000000E-001, 2.77555756156289135E-017, 0.00000000000000000E+000, 9.25867441636723046E-005, 2.81837753688866544E+000
1,11,-1.66666666666666075E-001, 1.38777878078144568E-017, 0.00000000000000000E+000, 5.00678959019691303E-004, 2.58374296220752697E+000
1,12,-8.33333333333330373E-002, 6.93889390390722838E-018, 0.00000000000000000E+000, 1.80303243471941128E-003, 2.82440609481548899E+000
1,13, 0.00000000000000000E+000, 8.33333333333330512E-002, 0.00000000000000000E+000,-2.95134186443038807E-004, 2.82440597673351368E+000
1,14, 8.33333333333330373E-002, 8.33333333333330373E-002, 0.00000000000000000E+000,-7.54723189134768940E-004, 2.82441075290984855E+000
1,15, 1.66666666666666963E-001, 8.33333333333330373E-002, 0.00000000000000000E+000, 1.54484593293541361E+000, 2.60385757074356761E+000
1,16, 2.50000000000000000E-001, 8.33333333333330373E-002, 0.00000000000000000E+000, 3.39026244065765336E+000, 2.57216704697932519E+000
1,17, 3.33333333333333037E-001, 8.33333333333330373E-002, 0.00000000000000000E+000, 3.20471358917987015E+000, 2.71223334851431863E+000
1,18, 4.16666666666666963E-001, 8.33333333333329818E-002, 0.00000000000000000E+000, 2.10317482302338998E+000, 2.73770221359258947E+000
1,19, 5.00000000000000000E-001, 8.33333333333329818E-002, 0.00000000000000000E+000, 1.44576149675613075E+000, 2.63816158592153283E+000
1,20,-4.16666666666666963E-001, 8.33333333333330928E-002, 0.00000000000000000E+000, 1.44571626526060082E+000, 2.63816160600154559E+000
1,21,-3.33333333333333037E-001, 8.33333333333330650E-002, 0.00000000000000000E+000, 2.10329725357770414E+000, 2.73770012529855755E+000
1,22,-2.50000000000000000E-001, 8.33333333333330650E-002, 0.00000000000000000E+000, 3.20467581223084563E+000, 2.71222880968593127E+000
1,23,-1.66666666666666075E-001, 8.33333333333330650E-002, 0.00000000000000000E+000, 3.39021320736153653E+000, 2.57216087780868374E+000
1,24,-8.33333333333330373E-002, 8.33333333333330650E-002, 0.00000000000000000E+000, 1.54516441971215213E+000, 2.60385644524739712E+000
1,25, 0.00000000000000000E+000, 1.66666666666666990E-001, 0.00000000000000000E+000,-1.04920366694206580E-004, 2.58374300193514461E+000
1,26, 8.33333333333330373E-002, 1.66666666666666990E-001, 0.00000000000000000E+000,-1.54580939373100934E+000, 2.60385762023030054E+000
1,27, 1.66666666666666963E-001, 1.66666666666666963E-001, 0.00000000000000000E+000, 8.37461874750775569E-005, 2.58374396362088632E+000
1,28, 2.50000000000000000E-001, 1.66666666666666963E-001, 0.00000000000000000E+000, 3.38956898195474832E+000, 2.57216692639693534E+000
1,29, 3.33333333333333037E-001, 1.66666666666666963E-001, 0.00000000000000000E+000, 5.16589909475828701E+000, 2.52581970126960886E+000
1,30, 4.16666666666666963E-001, 1.66666666666666963E-001, 0.00000000000000000E+000, 4.01828670150464440E+000, 2.57287274937273658E+000
1,31, 5.00000000000000000E-001, 1.66666666666666963E-001, 0.00000000000000000E+000, 2.94091270507671654E+000, 2.54723931810829551E+000
1,32,-4.16666666666666963E-001, 1.66666666666666963E-001, 0.00000000000000000E+000, 3.38789350260847577E+000, 2.34334826316118505E+000
1,33,-3.33333333333333037E-001, 1.66666666666667074E-001, 0.00000000000000000E+000, 2.94092769882278260E+000, 2.54724090441545892E+000
1,34,-2.50000000000000000E-001, 1.66666666666667018E-001, 0.00000000000000000E+000, 4.01842955936023039E+000, 2.57287221758326723E+000
1,35,-1.66666666666666075E-001, 1.66666666666667018E-001, 0.00000000000000000E+000, 5.16639796216074121E+000, 2.52581539707642522E+000
1,36,-8.33333333333330373E-002, 1.66666666666667018E-001, 0.00000000000000000E+000, 3.39022472282853871E+000, 2.57216087742354826E+000
1,37, 0.00000000000000000E+000, 2.50000000000000056E-001, 0.00000000000000000E+000, 2.87126871293576806E-005, 2.81837754800104179E+000
1,38, 8.33333333333330373E-002, 2.50000000000000056E-001, 0.00000000000000000E+000,-3.39015466095089479E+000, 2.57216705671883261E+000
1,39, 1.66666666666666963E-001, 2.50000000000000000E-001, 0.00000000000000000E+000,-3.39011780624226677E+000, 2.57216693643154493E+000
1,40, 2.50000000000000000E-001, 2.50000000000000000E-001, 0.00000000000000000E+000, 1.83255957377165913E-004, 2.81838077168592793E+000
