# schema=VASPBERRY_BARE_MOMENTUM_KUBO_BUNDLE_V1
# vaspberry_version=1.3.0
# normalization=STANDARD_MINUS_TWO_IM
# operator=WAVECAR_BARE_MOMENTUM_NO_PAW_NONLOCAL_VELOCITY
# berry_connection=A_i=i<u|d/dk_i u>
# occupation_weighting=NONE
# result_kind=ISOLATED_BUNDLE_TRACE
# result_status=PASS
# curvature=TRACE_OF_SELECTED_BUNDLE
# internal_transitions=EXCLUDED_ANALYTICALLY
# degeneracy_policy=ALLOW_INTERNAL_REJECT_EXTERNAL_GAP_LE_THRESHOLD
# gap_threshold_eV=1e-5
# index_base=1
# band_min=1
# band_max=18
# band_rank=18
# source_nbands=26
# intermediate_bands=EXTERNAL_TO_SELECTED_BUNDLE_WITHIN_SOURCE_NBANDS
# no_external_states=false
spin,k_index,kx_frac,ky_frac,kz_frac,omega_z_A2,min_external_gap_eV
1,1, 3.33333333333333315E-001, 6.66666666666666630E-001, 0.00000000000000000E+000,-1.31781322530943417E+001, 1.67355036395463830E+000
1,2, 3.19444444444444475E-001, 6.38888888888888951E-001, 0.00000000000000000E+000,-1.21454750508165823E+001, 1.71599377396682229E+000
1,3, 3.05555555555555525E-001, 6.11111111111111049E-001, 0.00000000000000000E+000,-9.71037726083254604E+000, 1.83153240820083862E+000
1,4, 2.91666666666666685E-001, 5.83333333333333370E-001, 0.00000000000000000E+000,-7.18263675784083144E+000, 2.00097256811071489E+000
1,5, 2.77777777777777790E-001, 5.55555555555555580E-001, 0.00000000000000000E+000,-5.31685120206426642E+000, 2.19321845725389064E+000
1,6, 2.63888888888888895E-001, 5.27777777777777790E-001, 0.00000000000000000E+000,-4.21092095528652255E+000, 2.37626215730226109E+000
1,7, 2.50000000000000000E-001, 5.00000000000000000E-001, 0.00000000000000000E+000,-3.71390381963677374E+000, 2.52163767030745145E+000
1,8, 2.36111111111111105E-001, 4.72222222222222210E-001, 0.00000000000000000E+000,-3.66014910887935008E+000, 2.58287797458002011E+000
1,9, 2.22222222222222210E-001, 4.44444444444444475E-001, 0.00000000000000000E+000,-3.91367842038786451E+000, 2.58156503778797974E+000
1,10, 2.08333333333333287E-001, 4.16666666666666685E-001, 0.00000000000000000E+000,-4.34101543609350937E+000, 2.55307547371996790E+000
1,11, 1.94444444444444392E-001, 3.88888888888888784E-001, 0.00000000000000000E+000,-4.78708707942256506E+000, 2.52739759029925093E+000
1,12, 1.80555555555555608E-001, 3.61111111111111216E-001, 0.00000000000000000E+000,-5.09471425784852450E+000, 2.51891891136770418E+000
1,13, 1.66666666666666713E-001, 3.33333333333333315E-001, 0.00000000000000000E+000,-5.16632862610326349E+000, 2.52581970136021683E+000
1,14, 1.52777777777777790E-001, 3.05555555555555580E-001, 0.00000000000000000E+000,-4.99328997368283556E+000, 2.53540974806913821E+000
1,15, 1.38888888888888895E-001, 2.77777777777777679E-001, 0.00000000000000000E+000,-4.61173701775283185E+000, 2.53755311987002274E+000
1,16, 1.25000000000000000E-001, 2.50000000000000000E-001, 0.00000000000000000E+000,-4.04372890580342315E+000, 2.53487506520616801E+000
1,17, 1.11111111111111105E-001, 2.22222222222222210E-001, 0.00000000000000000E+000,-3.29802759500963427E+000, 2.53909847769426378E+000
1,18, 9.72222222222221960E-002, 1.94444444444444392E-001, 0.00000000000000000E+000,-2.42315937934730430E+000, 2.55976489784074257E+000
1,19, 8.33333333333333010E-002, 1.66666666666666713E-001, 0.00000000000000000E+000,-1.54561682300684966E+000, 2.60385757553697683E+000
1,20, 6.94444444444445030E-002, 1.38888888888888895E-001, 0.00000000000000000E+000,-8.16717796908971061E-001, 2.67938105226992951E+000
1,21, 5.55555555555554970E-002, 1.11111111111111105E-001, 0.00000000000000000E+000,-3.35877084823703931E-001, 2.77355233999762296E+000
1,22, 4.16666666666666990E-002, 8.33333333333333010E-002, 0.00000000000000000E+000,-9.68251125384565620E-002, 2.84204047566535012E+000
1,23, 2.77777777777778005E-002, 5.55555555555556010E-002, 0.00000000000000000E+000,-1.42722194599117364E-002, 2.88676683924784427E+000
1,24, 1.38888888888889003E-002, 2.77777777777778005E-002, 0.00000000000000000E+000, 2.89647050446496107E-003, 2.91144590628892708E+000
1,25, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000, 5.76211415993288512E-004, 2.91317167159825852E+000
1,26,-1.38888888888889003E-002,-2.77777777777778005E-002, 0.00000000000000000E+000,-1.17683661026714054E-003, 2.91147163125843189E+000
1,27,-2.77777777777778005E-002,-5.55555555555554970E-002, 0.00000000000000000E+000, 1.58233345820372531E-002, 2.88676513056854045E+000
1,28,-4.16666666666666990E-002,-8.33333333333333010E-002, 0.00000000000000000E+000, 9.65082361950201362E-002, 2.84204050957326615E+000
1,29,-5.55555555555556010E-002,-1.11111111111111202E-001, 0.00000000000000000E+000, 3.34430194910764422E-001, 2.77355244912714749E+000
1,30,-6.94444444444444059E-002,-1.38888888888888812E-001, 0.00000000000000000E+000, 8.15879936484811608E-001, 2.67938084266451648E+000
1,31,-8.33333333333333010E-002,-1.66666666666666713E-001, 0.00000000000000000E+000, 1.54544378905882906E+000, 2.60385741613748101E+000
1,32,-9.72222222222222932E-002,-1.94444444444444503E-001, 0.00000000000000000E+000, 2.42405466977684503E+000, 2.55976481765924646E+000
1,33,-1.11111111111111105E-001,-2.22222222222222210E-001, 0.00000000000000000E+000, 3.29810322869618311E+000, 2.53909847430347746E+000
1,34,-1.25000000000000000E-001,-2.50000000000000000E-001, 0.00000000000000000E+000, 4.04354068951882351E+000, 2.53487507107522170E+000
1,35,-1.38888888888888895E-001,-2.77777777777777790E-001, 0.00000000000000000E+000, 4.61178084614564998E+000, 2.53755312779789266E+000
1,36,-1.52777777777777790E-001,-3.05555555555555525E-001, 0.00000000000000000E+000, 4.99296681086997740E+000, 2.53540975123865842E+000
1,37,-1.66666666666666713E-001,-3.33333333333333315E-001, 0.00000000000000000E+000, 5.16635923303389877E+000, 2.52581970367484976E+000
1,38,-1.80555555555555608E-001,-3.61111111111111216E-001, 0.00000000000000000E+000, 5.09462315868315763E+000, 2.51891891204720775E+000
1,39,-1.94444444444444392E-001,-3.88888888888888784E-001, 0.00000000000000000E+000, 4.78698751614818896E+000, 2.52739759087266602E+000
1,40,-2.08333333333333287E-001,-4.16666666666666685E-001, 0.00000000000000000E+000, 4.34117285284250709E+000, 2.55307547241330157E+000
1,41,-2.22222222222222210E-001,-4.44444444444444475E-001, 0.00000000000000000E+000, 3.91362891181046457E+000, 2.58156503194909615E+000
1,42,-2.36111111111111105E-001,-4.72222222222222210E-001, 0.00000000000000000E+000, 3.66017853666856974E+000, 2.58287797458818424E+000
1,43,-2.50000000000000000E-001,-5.00000000000000000E-001, 0.00000000000000000E+000, 3.71393295082896824E+000, 2.52163767237543057E+000
1,44,-2.63888888888888895E-001,-5.27777777777777790E-001, 0.00000000000000000E+000, 4.21091423391879172E+000, 2.37626216195052331E+000
1,45,-2.77777777777777679E-001,-5.55555555555555469E-001, 0.00000000000000000E+000, 5.31690086821100305E+000, 2.19321846278723509E+000
1,46,-2.91666666666666685E-001,-5.83333333333333370E-001, 0.00000000000000000E+000, 7.18261661153749831E+000, 2.00097257670666595E+000
1,47,-3.05555555555555580E-001,-6.11111111111111160E-001, 0.00000000000000000E+000, 9.71041706562136397E+000, 1.83153241548139700E+000
1,48,-3.19444444444444420E-001,-6.38888888888888840E-001, 0.00000000000000000E+000, 1.21455523048763876E+001, 1.71599378230445909E+000
1,49,-3.33333333333333315E-001,-6.66666666666666630E-001, 0.00000000000000000E+000, 1.31781519555776985E+001, 1.67355036515541689E+000
