# schema=VASPBERRY_BARE_MOMENTUM_KUBO_V2
# vaspberry_version=1.3.0
# normalization=STANDARD_MINUS_TWO_IM
# operator=WAVECAR_BARE_MOMENTUM_NO_PAW_NONLOCAL_VELOCITY
# berry_connection=A_i=i<u|d/dk_i u>
# occupation_weighting=NONE
# degeneracy_policy=SKIP_ABS_GAP_LE_MACHINE_EPSILON_eV
# migration=PRE_1.3_KUBO_CURVATURE_AND_CHERN_DIVIDE_BY_2
# index_base=1
# intermediate_bands=1:26
spin,k_index,band,kx_frac,ky_frac,kz_frac,energy_eV,omega_z_A2,min_gap_eV
1,1,17, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000,-1.53683372462693946E+000, 1.76941854477559673E+003, 3.15833448283342477E-009
1,2,17, 8.33333333333330373E-002,-6.93889390390722838E-018, 0.00000000000000000E+000,-1.57547713438546122E+000,-1.67856961583942757E+005, 9.64642588030528714E-009
1,3,17, 1.66666666666666963E-001,-2.77555756156289135E-017, 0.00000000000000000E+000,-1.76834290282115969E+000, 7.37278086165941659E+003, 6.19793460998607770E-008
1,4,17, 2.50000000000000000E-001,-2.77555756156289135E-017, 0.00000000000000000E+000,-2.14626914967481497E+000,-1.60142436046268472E+002, 3.73393010733025221E-007
1,5,17, 3.33333333333333037E-001,-2.77555756156289135E-017, 0.00000000000000000E+000,-2.35152055021037310E+000,-1.46692849263024510E+001, 1.48434041502554237E-006
1,6,17, 4.16666666666666963E-001,-5.55111512312578270E-017, 0.00000000000000000E+000,-2.16946603573188312E+000,-5.66343790974753318E+001, 1.20637433198567123E-006
1,7,17, 5.00000000000000000E-001,-5.55111512312578270E-017, 0.00000000000000000E+000,-2.01454191227995771E+000,-9.73388604279319495E+007, 3.96760402310292193E-009
1,8,17,-4.16666666666666963E-001, 5.55111512312578270E-017, 0.00000000000000000E+000,-2.16946603987851105E+000, 1.06458083133414448E+002, 1.21514834638958291E-006
1,9,17,-3.33333333333333037E-001, 2.77555756156289135E-017, 0.00000000000000000E+000,-2.35152055447097474E+000, 1.35905232348350840E+001, 1.49585604836133257E-006
1,10,17,-2.50000000000000000E-001, 2.77555756156289135E-017, 0.00000000000000000E+000,-2.14626915400921536E+000, 1.57868660936809022E+002, 3.83673977921716869E-007
1,11,17,-1.66666666666666075E-001, 1.38777878078144568E-017, 0.00000000000000000E+000,-1.76834290597878407E+000,-2.44246356408269867E+003, 6.92717785355512206E-008
1,12,17,-8.33333333333330373E-002, 6.93889390390722838E-018, 0.00000000000000000E+000,-1.57547713113572230E+000, 3.41429081629453786E+006, 3.44763106951972986E-009
1,13,17, 0.00000000000000000E+000, 8.33333333333330512E-002, 0.00000000000000000E+000,-1.57547713122054489E+000,-1.43159546272956394E+006, 3.25740012740993734E-009
1,14,17, 8.33333333333330373E-002, 8.33333333333330373E-002, 0.00000000000000000E+000,-1.57547725199122501E+000, 6.45067753931485265E+007, 3.01285796311390186E-009
1,15,17, 1.66666666666666963E-001, 8.33333333333330373E-002, 0.00000000000000000E+000,-1.69363582573668836E+000, 2.72416614767181708E-001, 5.07257103679981114E-003
1,16,17, 2.50000000000000000E-001, 8.33333333333330373E-002, 0.00000000000000000E+000,-1.99741028251580177E+000,-1.55937100428832576E+000, 2.76721771238492842E-002
1,17,17, 3.33333333333333037E-001, 8.33333333333330373E-002, 0.00000000000000000E+000,-2.24312129015793538E+000,-7.43763643742931357E+000, 7.04894346968290009E-002
1,18,17, 4.16666666666666963E-001, 8.33333333333329818E-002, 0.00000000000000000E+000,-2.10268164010610770E+000, 1.48829116927059579E-001, 8.77657948764616336E-002
1,19,17, 5.00000000000000000E-001, 8.33333333333329818E-002, 0.00000000000000000E+000,-1.87330245620484881E+000, 1.86786683990148927E+000, 9.46016909530360550E-002
1,20,17,-4.16666666666666963E-001, 8.33333333333330928E-002, 0.00000000000000000E+000,-1.87330278100043346E+000, 1.86787077616478192E+000, 9.46015720711259611E-002
1,21,17,-3.33333333333333037E-001, 8.33333333333330650E-002, 0.00000000000000000E+000,-2.10268193634497980E+000, 1.48784355081528041E-001, 8.77653467861492231E-002
1,22,17,-2.50000000000000000E-001, 8.33333333333330650E-002, 0.00000000000000000E+000,-2.24312131471124854E+000,-7.43798013621155985E+000, 7.04888501442866300E-002
1,23,17,-1.66666666666666075E-001, 8.33333333333330650E-002, 0.00000000000000000E+000,-1.99740961516824811E+000,-1.55947042938885705E+000, 2.76718814758467602E-002
1,24,17,-8.33333333333330373E-002, 8.33333333333330650E-002, 0.00000000000000000E+000,-1.69363529717897476E+000, 2.72151243107711105E-001, 5.07252748496345163E-003
1,25,17, 0.00000000000000000E+000, 1.66666666666666990E-001, 0.00000000000000000E+000,-1.76834290638028069E+000, 3.87895832077912928E+004, 6.88988028851866829E-008
1,26,17, 8.33333333333330373E-002, 1.66666666666666990E-001, 0.00000000000000000E+000,-1.69363582879491803E+000,-2.72578546773097619E-001, 5.07257701756280710E-003
1,27,17, 1.66666666666666963E-001, 1.66666666666666963E-001, 0.00000000000000000E+000,-1.76834350624970438E+000, 1.31562473239304200E+008, 2.77618994459771784E-009
1,28,17, 2.50000000000000000E-001, 1.66666666666666963E-001, 0.00000000000000000E+000,-1.99741074775707439E+000,-1.55947701118468496E+000, 2.76720732939641501E-002
1,29,17, 3.33333333333333037E-001, 1.66666666666666963E-001, 0.00000000000000000E+000,-2.18539652026922093E+000,-3.29067942921958601E+000, 7.69817925706446360E-002
1,30,17, 4.16666666666666963E-001, 1.66666666666666963E-001, 0.00000000000000000E+000,-2.10325083795807766E+000, 1.11678674668852507E+000, 9.71040316825950711E-002
1,31,17, 5.00000000000000000E-001, 1.66666666666666963E-001, 0.00000000000000000E+000,-1.85811558341896665E+000, 1.33698471174030331E+000, 1.06859855153031535E-001
1,32,17,-4.16666666666666963E-001, 1.66666666666666963E-001, 0.00000000000000000E+000,-1.69101876939154572E+000, 1.50131966374038406E+000, 1.12504331328982410E-001
1,33,17,-3.33333333333333037E-001, 1.66666666666667074E-001, 0.00000000000000000E+000,-1.85811732114263650E+000, 1.33698146363419190E+000, 1.06859801139715493E-001
1,34,17,-2.50000000000000000E-001, 1.66666666666667018E-001, 0.00000000000000000E+000,-2.10325255551189239E+000, 1.11675992766111576E+000, 9.71039528944763752E-002
1,35,17,-1.66666666666666075E-001, 1.66666666666667018E-001, 0.00000000000000000E+000,-2.18539696724584953E+000,-3.29084894444050757E+000, 7.69816953550463978E-002
1,36,17,-8.33333333333330373E-002, 1.66666666666667018E-001, 0.00000000000000000E+000,-1.99740961800010686E+000,-1.55947142517377779E+000, 2.76718861997991006E-002
1,37,17, 0.00000000000000000E+000, 2.50000000000000056E-001, 0.00000000000000000E+000,-2.14626915359162052E+000,-1.52679077166810089E+002, 3.80982231540372140E-007
1,38,17, 8.33333333333330373E-002, 2.50000000000000056E-001, 0.00000000000000000E+000,-1.99741028562880585E+000, 1.55947936543815668E+000, 2.76721832683934910E-002
1,39,17, 1.66666666666666963E-001, 2.50000000000000000E-001, 0.00000000000000000E+000,-1.99741075049928263E+000, 1.55940532565088708E+000, 2.76720788076199042E-002
1,40,17, 2.50000000000000000E-001, 2.50000000000000000E-001, 0.00000000000000000E+000,-2.14627040328765517E+000,-4.33585595378519654E+008, 2.54141596656154434E-009
1,41,17, 3.33333333333333037E-001, 2.50000000000000000E-001, 0.00000000000000000E+000,-2.24312205517918262E+000,-7.43784112842945966E+000, 7.04890954383419199E-002
1,42,17, 4.16666666666666963E-001, 2.50000000000000000E-001, 0.00000000000000000E+000,-2.10325104614510749E+000, 1.11677530144963977E+000, 9.71039404015621166E-002
1,43,17, 5.00000000000000000E-001, 2.50000000000000000E-001, 0.00000000000000000E+000,-1.88013906923048424E+000, 1.56239989163717574E+000, 1.10666079082255786E-001
1,44,17,-4.16666666666666963E-001, 2.50000000000000056E-001, 0.00000000000000000E+000,-1.59051086929828367E+000, 2.57984483807343423E+000, 1.27873079481175100E-001
1,45,17,-3.33333333333333037E-001, 2.50000000000000111E-001, 0.00000000000000000E+000,-1.59051234241889006E+000, 2.57977763505955204E+000, 1.27873023483791926E-001
