# schema=VASPBERRY_BARE_MOMENTUM_KUBO_V2
# vaspberry_version=1.3.0
# normalization=STANDARD_MINUS_TWO_IM
# operator=WAVECAR_BARE_MOMENTUM_NO_PAW_NONLOCAL_VELOCITY
# berry_connection=A_i=i<u|d/dk_i u>
# occupation_weighting=NONE
# degeneracy_policy=SKIP_ABS_GAP_LE_MACHINE_EPSILON_eV
# migration=PRE_1.3_KUBO_CURVATURE_AND_CHERN_DIVIDE_BY_2
# index_base=1
# intermediate_bands=1:26
spin,k_index,band,kx_frac,ky_frac,kz_frac,energy_eV,omega_z_A2,min_gap_eV
1,1,17, 3.33333333333333315E-001, 6.66666666666666630E-001, 0.00000000000000000E+000,-1.42198360182625594E+000,-5.25009387269259253E+000, 1.47109721131902571E-001
1,2,17, 3.19444444444444475E-001, 6.38888888888888951E-001, 0.00000000000000000E+000,-1.43999517036123770E+000,-4.84299519234871756E+000, 1.44749235862971837E-001
1,3,17, 3.05555555555555525E-001, 6.11111111111111049E-001, 0.00000000000000000E+000,-1.49340859762425815E+000,-3.86785678886155893E+000, 1.38555828952998450E-001
1,4,17, 2.91666666666666685E-001, 5.83333333333333370E-001, 0.00000000000000000E+000,-1.57531807288697223E+000,-2.84438631776334816E+000, 1.30653289671612605E-001
1,5,17, 2.77777777777777790E-001, 5.55555555555555580E-001, 0.00000000000000000E+000,-1.67448300154244922E+000,-2.10474049927088558E+000, 1.22894405254754702E-001
1,6,17, 2.63888888888888895E-001, 5.27777777777777790E-001, 0.00000000000000000E+000,-1.77930334116002165E+000,-1.70405053537445328E+000, 1.16178256868903595E-001
1,7,17, 2.50000000000000000E-001, 5.00000000000000000E-001, 0.00000000000000000E+000,-1.88013907269724179E+000,-1.56238666285400507E+000, 1.10666085872417108E-001
1,8,17, 2.36111111111111105E-001, 4.72222222222222210E-001, 0.00000000000000000E+000,-1.97028319576803845E+000,-1.55925646107381621E+000, 1.06129781905996090E-001
1,9,17, 2.22222222222222210E-001, 4.44444444444444475E-001, 0.00000000000000000E+000,-2.04638087857898920E+000,-1.54316009804613463E+000, 1.02172513059480163E-001
1,10,17, 2.08333333333333287E-001, 4.16666666666666685E-001, 0.00000000000000000E+000,-2.10781369602630075E+000,-1.29251845532257459E+000, 9.82915187470227991E-002
1,11,17, 1.94444444444444392E-001, 3.88888888888888784E-001, 0.00000000000000000E+000,-2.15462402958152444E+000,-4.78047361892221634E-001, 9.37732837961897658E-002
1,12,17, 1.80555555555555608E-001, 3.61111111111111216E-001, 0.00000000000000000E+000,-2.18364330816574670E+000, 1.19613075072151354E+000, 8.73370225678407053E-002
1,13,17, 1.66666666666666713E-001, 3.33333333333333315E-001, 0.00000000000000000E+000,-2.18539652312308519E+000, 3.29075278947145300E+000, 7.69817983070337775E-002
1,14,17, 1.52777777777777790E-001, 3.05555555555555580E-001, 0.00000000000000000E+000,-2.14864775194090374E+000, 4.16673039510457066E+000, 6.18596376356972399E-002
1,15,17, 1.38888888888888895E-001, 2.77777777777777679E-001, 0.00000000000000000E+000,-2.07317173664675636E+000, 3.06509384648857885E+000, 4.47686857893216938E-002
1,16,17, 1.25000000000000000E-001, 2.50000000000000000E-001, 0.00000000000000000E+000,-1.97353616925146769E+000, 1.40200527776064576E+000, 2.95745823288022791E-002
1,17,17, 1.11111111111111105E-001, 2.22222222222222210E-001, 0.00000000000000000E+000,-1.86862184408954235E+000, 3.13061182232471980E-001, 1.80179618200764224E-002
1,18,17, 9.72222222222221960E-002, 1.94444444444444392E-001, 0.00000000000000000E+000,-1.77270919540111072E+000,-1.62439224391825815E-001, 1.00712598450489743E-002
1,19,17, 8.33333333333333010E-002, 1.66666666666666713E-001, 0.00000000000000000E+000,-1.69363582877573227E+000,-2.72597218754509374E-001, 5.07257702177899006E-003
1,20,17, 6.94444444444445030E-002, 1.38888888888888895E-001, 0.00000000000000000E+000,-1.63379877068437684E+000,-2.20980775141581071E-001, 2.23743303609102995E-003
1,21,17, 5.55555555555554970E-002, 1.11111111111111105E-001, 0.00000000000000000E+000,-1.59182442969184335E+000,-1.30203194199973865E-001, 8.28031589618749564E-004
1,22,17, 4.16666666666666990E-002, 8.33333333333333010E-002, 0.00000000000000000E+000,-1.56445009019711190E+000,-5.52782423303236764E-002, 2.39488394154552253E-004
1,23,17, 2.77777777777778005E-002, 5.55555555555556010E-002, 0.00000000000000000E+000,-1.54800626960631016E+000,-1.11114572211467848E-002, 4.70674240071744521E-005
1,24,17, 1.38888888888889003E-002, 2.77777777777778005E-002, 0.00000000000000000E+000,-1.53946171796715925E+000, 6.77410663186100992E-003, 4.05340900577755292E-006
1,25,17, 0.00000000000000000E+000, 0.00000000000000000E+000, 0.00000000000000000E+000,-1.53683372461952095E+000,-3.85959535451203294E+002, 3.13214343350409763E-009
1,26,17,-1.38888888888889003E-002,-2.77777777777778005E-002, 0.00000000000000000E+000,-1.53946171481249383E+000,-8.82767273714013534E-003, 4.04710597345925294E-006
1,27,17,-2.77777777777778005E-002,-5.55555555555554970E-002, 0.00000000000000000E+000,-1.54800626651116846E+000, 1.09986519086123641E-002, 4.70611850849067537E-005
1,28,17,-4.16666666666666990E-002,-8.33333333333333010E-002, 0.00000000000000000E+000,-1.56445008703912047E+000, 5.48176154005544577E-002, 2.39482010272906720E-004
1,29,17,-5.55555555555556010E-002,-1.11111111111111202E-001, 0.00000000000000000E+000,-1.59182442650183753E+000, 1.30171518457049551E-001, 8.28025210156013713E-004
1,30,17,-6.94444444444444059E-002,-1.38888888888888812E-001, 0.00000000000000000E+000,-1.63379876731171203E+000, 2.21231288869702475E-001, 2.23742636680990259E-003
1,31,17,-8.33333333333333010E-002,-1.66666666666666713E-001, 0.00000000000000000E+000,-1.69363582543245794E+000, 2.72617088235357297E-001, 5.07257034869779133E-003
