k_id,band_id,kx_fractional,ky_fractional,energy_eV,omega_z_A2,oracle_omega_z_A2,error_A2
1,1,0.0,0.0,-1.0,0.5,0.5,0.0
1,2,0.0,0.0,1.0,-0.5,-0.5,0.0
9,1,0.0,0.25,-1.0,0.4999999999999998,0.49999999999999994,-1.6653345369377348e-16
9,2,0.0,0.25,1.0,-0.4999999999999998,-0.49999999999999994,1.6653345369377348e-16
17,1,0.0,0.5,-1.0,0.5,0.5,0.0
17,2,0.0,0.5,1.0,-0.5,-0.5,0.0
25,1,0.0,0.75,-1.0,0.5,0.5,0.0
25,2,0.0,0.75,1.0,-0.5,-0.5,0.0
257,1,0.25,0.0,-1.0,0.4999999999999998,0.49999999999999994,-1.6653345369377348e-16
257,2,0.25,0.0,1.0,-0.4999999999999998,-0.49999999999999994,1.6653345369377348e-16
265,1,0.25,0.25,-1.7320508075688774,1.076708936601243e-17,1.1784169319165633e-17,-1.0170799531532035e-18
265,2,0.25,0.25,1.732050807568877,-9.537837733714598e-18,-1.1784169319165633e-17,2.246331585451035e-18
273,1,0.25,0.5,-2.23606797749979,-0.04472135954999576,-0.04472135954999577,1.3877787807814457e-17
273,2,0.25,0.5,2.23606797749979,0.04472135954999576,0.04472135954999577,-1.3877787807814457e-17
281,1,0.25,0.75,-1.7320508075688774,-1.2731715330197853e-17,-1.1784169319165632e-17,-9.47546011032221e-19
281,2,0.25,0.75,1.7320508075688772,1.4417547651205564e-17,1.1784169319165632e-17,2.633378332039932e-18
513,1,0.5,0.0,-1.0,0.5,0.5,0.0
513,2,0.5,0.0,1.0,-0.5,-0.5,0.0
521,1,0.5,0.25,-2.23606797749979,-0.04472135954999576,-0.04472135954999577,1.3877787807814457e-17
521,2,0.5,0.25,2.23606797749979,0.04472135954999576,0.04472135954999577,-1.3877787807814457e-17
529,1,0.5,0.5,-3.0,-0.055555555555555546,-0.05555555555555555,6.938893903907228e-18
529,2,0.5,0.5,3.0,0.055555555555555546,0.05555555555555555,-6.938893903907228e-18
537,1,0.5,0.75,-2.23606797749979,-0.04472135954999578,-0.0447213595499958,2.0816681711721685e-17
537,2,0.5,0.75,2.23606797749979,0.04472135954999578,0.0447213595499958,-2.0816681711721685e-17
769,1,0.75,0.0,-1.0,0.5,0.5,0.0
769,2,0.75,0.0,1.0,-0.5,-0.5,0.0
777,1,0.75,0.25,-1.7320508075688774,-1.2221649102293652e-17,-1.1784169319165627e-17,-4.374797831280254e-19
777,2,0.75,0.25,1.7320508075688774,1.3704095028152542e-17,1.1784169319165627e-17,1.9199257089869145e-18
785,1,0.75,0.5,-2.23606797749979,-0.04472135954999578,-0.0447213595499958,2.0816681711721685e-17
785,2,0.75,0.5,2.23606797749979,0.04472135954999578,0.0447213595499958,-2.0816681711721685e-17
793,1,0.75,0.75,-1.7320508075688779,-3.6519761015257477e-17,-3.535250795749688e-17,-1.167253057760594e-18
793,2,0.75,0.75,1.7320508075688772,3.686017319631913e-17,3.535250795749688e-17,1.5076652388222467e-18
