# schema=VASPBERRY_BARE_MOMENTUM_KUBO_V2
# vaspberry_version=1.3.0
# normalization=STANDARD_MINUS_TWO_IM
# operator=WAVECAR_BARE_MOMENTUM_NO_PAW_NONLOCAL_VELOCITY
# berry_connection=A_i=i<u|d/dk_i u>
# occupation_weighting=NONE
# degeneracy_policy=SKIP_ABS_GAP_LE_MACHINE_EPSILON_eV
# migration=PRE_1.3_KUBO_CURVATURE_AND_CHERN_DIVIDE_BY_2
# index_base=1
# intermediate_bands=1:26
spin,k_index,band,kx_frac,ky_frac,kz_frac,energy_eV,omega_z_A2,min_gap_eV
1,1,17, 2.72759580088911491E-001, 5.83921380932216461E-001, 0.00000000000000000E+000,-1.57671503189966877E+000,-2.80252506573753601E+000, 1.30202996874738464E-001
1,2,17, 2.72759580088911491E-001, 5.97035983210276289E-001, 0.00000000000000000E+000,-1.54020728855121192E+000,-3.17430262214942882E+000, 1.33277350082944057E-001
1,3,17, 2.72759580088911491E-001, 6.10150585488336117E-001, 0.00000000000000000E+000,-1.51220404328343561E+000,-3.51112274753696951E+000, 1.35783754262813527E-001
1,4,17, 2.72759580088911491E-001, 6.23265187766395945E-001, 0.00000000000000000E+000,-1.49456203255478459E+000,-3.74978012744879541E+000, 1.37437692781808840E-001
1,5,17, 2.72759580088911491E-001, 6.36379790044455773E-001, 0.00000000000000000E+000,-1.48852830276354409E+000,-3.83634954055618183E+000, 1.38016070777025934E-001
1,6,17, 2.72759580088911491E-001, 6.49494392322515601E-001, 0.00000000000000000E+000,-1.49456256411518273E+000,-3.74972396535892516E+000, 1.37437663765129336E-001
1,7,17, 2.72759580088911491E-001, 6.62608994600575429E-001, 0.00000000000000000E+000,-1.51220505320825760E+000,-3.51117341947102002E+000, 1.35783701752144825E-001
1,8,17, 2.72759580088911491E-001, 6.75723596878635258E-001, 0.00000000000000000E+000,-1.54020873774713651E+000,-3.17427109292137644E+000, 1.33277283743602259E-001
1,9,17, 2.72759580088911491E-001, 6.88838199156695086E-001, 0.00000000000000000E+000,-1.57671682475221964E+000,-2.80247688499096181E+000, 1.30202922548400490E-001
1,10,17, 2.87903018400016975E-001, 5.91493100087769119E-001, 0.00000000000000000E+000,-1.54960734699329494E+000,-3.11150666627319650E+000, 1.32907210058275549E-001
1,11,17, 2.87903018400016975E-001, 6.04607702365828947E-001, 0.00000000000000000E+000,-1.51341979826503614E+000,-3.55590821119106737E+000, 1.36297226160516427E-001
1,12,17, 2.87903018400016975E-001, 6.17722304643888775E-001, 0.00000000000000000E+000,-1.48564978074099674E+000,-3.95805585585348663E+000, 1.39072601951001573E-001
