valley,delta_kx_inv_A,omega18_z_A2,E17_eV,E18_eV
K,-0.12,-4.424779267218601,-1.488528302763544,-1.3505122319865182
K,-0.11939999999999999,-4.438776035300578,-1.488000658143673,-1.3499138761461735
K,-0.11879999999999999,-4.452772803382556,-1.4874730135238026,-1.3493155203058287
K,-0.1182,-4.466769571464535,-1.4869453689039318,-1.348717164465484
K,-0.1176,-4.480766339546512,-1.486417724284061,-1.3481188086251394
K,-0.11699999999999999,-4.49476310762849,-1.4858900796641903,-1.3475204527847944
K,-0.11639999999999999,-4.508759875710468,-1.4853624350443193,-1.3469220969444498
K,-0.1158,-4.522756643792445,-1.4848347904244488,-1.346323741104105
K,-0.1152,-4.5367534118744235,-1.484307145804578,-1.3457253852637605
K,-0.1146,-4.550750179956402,-1.4837795011847073,-1.3451270294234157
K,-0.11399999999999999,-4.564746948038379,-1.4832518565648365,-1.344528673583071
K,-0.1134,-4.578743716120357,-1.4827242119449655,-1.3439303177427262
K,-0.1128,-4.592740484202334,-1.4821965673250947,-1.3433319619023814
K,-0.1122,-4.606737252284312,-1.4816689227052242,-1.342733606062037
K,-0.11159999999999999,-4.62073402036629,-1.4811412780853532,-1.342135250221692
K,-0.111,-4.634730788448268,-1.4806136334654827,-1.3415368943813473
K,-0.1104,-4.648727556530245,-1.4800859888456117,-1.3409385385410026
K,-0.1098,-4.662724324612223,-1.479558344225741,-1.3403401827006578
K,-0.10919999999999999,-4.676721092694201,-1.4790306996058704,-1.3397418268603132
K,-0.1086,-4.690717860776179,-1.4785030549859994,-1.3391434710199683
K,-0.108,-4.704714628858157,-1.4779754103661287,-1.3385451151796237
K,-0.1074,-4.718711396940135,-1.477447765746258,-1.337946759339279
K,-0.10679999999999999,-4.732708165022112,-1.4769201211263872,-1.3373484034989342
K,-0.1062,-4.74670493310409,-1.4763924765065166,-1.3367500476585898
K,-0.1056,-4.7607017011860675,-1.4758648318866456,-1.336151691818245
K,-0.105,-4.774698469268046,-1.4753371872667749,-1.3355533359779002
K,-0.10439999999999999,-4.788695237350024,-1.4748095426469041,-1.3349549801375553
K,-0.1038,-4.802692005432001,-1.4742818980270334,-1.3343566242972107
K,-0.1032,-4.816688773513979,-1.4737542534071626,-1.333758268456866
K,-0.1026,-4.830685541595956,-1.4732266087872918,-1.3331599126165212
K,-0.102,-4.844682309677935,-1.472698964167421,-1.3325615567761766
K,-0.10139999999999999,-4.858679077759913,-1.4721713195475503,-1.331963200935832
K,-0.1008,-4.87267584584189,-1.4716436749276796,-1.3313648450954871
K,-0.1002,-4.886672613923868,-1.4711160303078086,-1.3307664892551425
K,-0.0996,-4.900669382005845,-1.4705883856879378,-1.3301681334147977
K,-0.099,-4.9146661500878235,-1.4700607410680673,-1.329569777574453
K,-0.0984,-4.928662918169801,-1.4695330964481963,-1.3289714217341082
K,-0.0978,-4.942659686251779,-1.4690054518283258,-1.3283730658937636
K,-0.0972,-4.956656454333757,-1.4684778072084548,-1.3277747100534187
K,-0.09659999999999999,-4.970653222415735,-1.467950162588584,-1.3271763542130741
K,-0.096,-4.984649990497712,-1.4674225179687133,-1.3265779983727293
K,-0.0954,-4.9986467585796905,-1.4668948733488425,-1.3259796425323847
K,-0.0948,-5.012643526661668,-1.4663672287289717,-1.3253812866920398
K,-0.0942,-5.026640294743645,-1.465839584109101,-1.3247829308516952
K,-0.0936,-5.040637062825624,-1.4653119394892302,-1.3241845750113506
K,-0.093,-5.054633830907601,-1.4647842948693595,-1.323586219171006
K,-0.0924,-5.0686305989895795,-1.4642566502494887,-1.322987863330661
K,-0.09179999999999999,-5.082627367071557,-1.463729005629618,-1.3223895074903165
K,-0.0912,-5.096624135153534,-1.4632013610097472,-1.3217911516499716
K,-0.0906,-5.110620903235513,-1.4626737163898766,-1.3211927958096268
K,-0.09,-5.12461767131749,-1.4621460717700057,-1.3205944399692822
K,-0.0894,-5.137518561591916,-1.4617221531398412,-1.3201122831587409
K,-0.08879999999999999,-5.150419451866343,-1.461298234509677,-1.3196301263481993
K,-0.0882,-5.163320342140769,-1.4608743158795128,-1.319147969537658
K,-0.0876,-5.176221232415195,-1.4604503972493486,-1.3186658127271165
K,-0.087,-5.189122122689621,-1.460026478619184,-1.3181836559165752
K,-0.0864,-5.202023012964048,-1.4596025599890199,-1.3177014991060336
K,-0.0858,-5.214923903238474,-1.4591786413588554,-1.317219342295492
K,-0.0852,-5.2278247935129,-1.4587547227286912,-1.3167371854849508
K,-0.08460000000000001,-5.240725683787327,-1.458330804098527,-1.3162550286744092
K,-0.08399999999999999,-5.253626574061753,-1.4579068854683626,-1.315772871863868
K,-0.0834,-5.266527464336178,-1.4574829668381986,-1.3152907150533266
K,-0.0828,-5.279428354610605,-1.457059048208034,-1.314808558242785
K,-0.0822,-5.292329244885032,-1.45663512957787,-1.3143264014322438
K,-0.0816,-5.305230135159458,-1.4562112109477054,-1.3138442446217022
K,-0.08099999999999999,-5.3181310254338845,-1.4557872923175412,-1.3133620878111607
K,-0.0804,-5.33103191570831,-1.4553633736873768,-1.3128799310006194
K,-0.0798,-5.343932805982736,-1.4549394550572126,-1.312397774190078
K,-0.07919999999999999,-5.356833696257162,-1.4545155364270483,-1.3119156173795365
K,-0.0786,-5.369734586531589,-1.454091617796884,-1.311433460568995
K,-0.078,-5.382635476806015,-1.4536676991667197,-1.3109513037584537
K,-0.0774,-5.395536367080441,-1.4532437805365555,-1.3104691469479124
K,-0.07680000000000001,-5.408437257354867,-1.452819861906391,-1.3099869901373709
K,-0.07619999999999999,-5.421338147629294,-1.4523959432762266,-1.3095048333268293
K,-0.0756,-5.43423903790372,-1.4519720246460626,-1.309022676516288
K,-0.075,-5.447139928178146,-1.4515481060158981,-1.3085405197057467
K,-0.0744,-5.460040818452573,-1.4511241873857337,-1.3080583628952052
K,-0.0738,-5.4729417087269985,-1.4507002687555697,-1.3075762060846636
K,-0.0732,-5.485842599001425,-1.4502763501254052,-1.3070940492741223
K,-0.0726,-5.498743489275851,-1.4498524314952408,-1.306611892463581
K,-0.07200000000000001,-5.511644379550278,-1.4494285128650766,-1.3061297356530395
K,-0.07139999999999999,-5.524545269824704,-1.4490045942349123,-1.305647578842498
K,-0.0708,-5.53744616009913,-1.448580675604748,-1.3051654220319566
K,-0.0702,-5.550347050373556,-1.4481567569745837,-1.3046832652214153
K,-0.0696,-5.563247940647982,-1.4477328383444195,-1.3042011084108738
K,-0.069,-5.576148830922409,-1.447308919714255,-1.3037189516003322
K,-0.0684,-5.589049721196835,-1.4468850010840906,-1.303236794789791
K,-0.0678,-5.601950611471261,-1.4464610824539266,-1.3027546379792496
K,-0.06720000000000001,-5.6148515017456875,-1.4460371638237621,-1.302272481168708
K,-0.06659999999999999,-5.627752392020113,-1.4456132451935981,-1.3017903243581666
K,-0.066,-5.64065328229454,-1.4451893265634337,-1.3013081675476252
K,-0.0654,-5.653554172568966,-1.4447654079332692,-1.3008260107370837
K,-0.0648,-5.666455062843393,-1.444341489303105,-1.3003438539265424
K,-0.06420000000000001,-5.679355953117819,-1.4439175706729408,-1.2998616971160009
K,-0.0636,-5.692256843392245,-1.4434936520427764,-1.2993795403054595
K,-0.063,-5.705157733666671,-1.4430697334126121,-1.298897383494918
K,-0.0624,-5.718058623941098,-1.4426458147824477,-1.2984152266843767
K,-0.0618,-5.730959514215524,-1.4422218961522835,-1.2979330698738354
K,-0.0612,-5.74386040448995,-1.441797977522119,-1.2974509130632939
K,-0.0606,-5.7567612947643765,-1.441374058891955,-1.2969687562527523
K,-0.06,-5.769662185038802,-1.4409501402617906,-1.296486599442211
K,-0.0594,-5.779056756028466,-1.4406704252842728,-1.296167869475052
K,-0.0588,-5.788451327018131,-1.4403907103067548,-1.295849139507893
K,-0.0582,-5.797845898007795,-1.440110995329237,-1.2955304095407343
K,-0.0576,-5.80724046899746,-1.439831280351719,-1.2952116795735753
K,-0.056999999999999995,-5.816635039987124,-1.4395515653742013,-1.2948929496064163
K,-0.056400000000000006,-5.826029610976787,-1.4392718503966835,-1.2945742196392573
K,-0.0558,-5.835424181966451,-1.4389921354191655,-1.2942554896720984
K,-0.0552,-5.844818752956115,-1.4387124204416475,-1.2939367597049394
K,-0.054599999999999996,-5.85421332394578,-1.4384327054641295,-1.2936180297377806
K,-0.054000000000000006,-5.863607894935444,-1.4381529904866117,-1.2932992997706216
