k_index,valley,delta_kx_inv_A,delta_ky_inv_A,E17_eV,E18_eV,E19_eV,min_gap18_eV,omega_z_A2
1,K,-0.12,-0.12,-1.5767150318996688,-1.4465120350249303,0.5614671717678543,0.13020299687473846,-3.1004661509119797
2,K,-0.12,-0.09,-1.540207288551212,-1.4069299384682679,0.5293987997704943,0.13327735008294406,-3.5671995285300446
3,K,-0.12,-0.06,-1.5122040432834356,-1.376420289020622,0.5042531880607198,0.13578375426281353,-3.999315311835403
4,K,-0.12,-0.03,-1.4945620325547846,-1.3571243397729758,0.4881774218607702,0.13743769278180884,-4.310738215327229
5,K,-0.12,0.0,-1.488528302763544,-1.3505122319865182,0.48264843539853236,0.13801607077702593,-4.424779267218601
6,K,-0.12,0.03,-1.4945625641151827,-1.3571249003500534,0.48817779179416654,0.13743766376512934,-4.310782292441699
7,K,-0.12,0.06,-1.5122050532082576,-1.3764213514561128,0.5042539143894744,0.13578370175214483,-3.9993463344995948
8,K,-0.12,0.09,-1.5402087377471365,-1.4069314540035343,0.5293998113767362,0.13327728374360226,-3.5671256322849434
9,K,-0.12,0.12,-1.5767168247522196,-1.4465139022038191,0.5614684076624195,0.1302029225484005,-3.1004359781157675
10,K,-0.09,-0.12,-1.549607346993295,-1.4167001369350194,0.5327368361676283,0.13290721005827555,-3.4929461499425862
11,K,-0.09,-0.09,-1.5134197982650361,-1.3771225721045197,0.49865276651313856,0.13629722616051643,-4.066226662658902
12,K,-0.09,-0.06,-1.4856497807409967,-1.3465771787899952,0.4720577693255821,0.13907260195100157,-4.598449574573032
13,K,-0.09,-0.03,-1.4681360195869448,-1.3272279341278792,0.45511775055316983,0.14090808545906564,-4.983332389726728
14,K,-0.09,0.0,-1.4621460717700057,-1.3205944399692822,0.4492887022258344,0.1415516318007235,-5.12461767131749
15,K,-0.09,0.03,-1.4681365317721484,-1.3272284806313306,0.4551181802504024,0.14090805114081784,-4.983278857540112
16,K,-0.09,0.06,-1.485650792075182,-1.3465782504733932,0.4720585569603679,0.13907254160178883,-4.598555440659374
