# mu_eV	mu_minus_reference_eV	temperature_K	region	band_id	sigma_e2_over_h	sigma_S	delta_sigma_e2_over_h	electrons_per_cell	delta_electrons_per_cell
-1.4748738806998412	-1.036775179730523	0.0	total	0	-2.2533253762161692e-10	-8.729485856076198e-15	-2.062806071789769e-10	17.888888888888886	-0.11111111111111113
-1.4698738806998413	-1.031775179730523	0.0	total	0	-2.2533253762161692e-10	-8.729485856076198e-15	-2.062806071789769e-10	17.888888888888886	-0.11111111111111113
-1.4648738806998411	-1.0267751797305227	0.0	total	0	-2.2533253762161692e-10	-8.729485856076198e-15	-2.062806071789769e-10	17.888888888888886	-0.11111111111111113
-1.4598738806998413	-1.0217751797305228	0.0	total	0	-4.0231658552861104e-11	-1.5585929045606063e-15	-2.117961361847165e-11	17.97222222222222	-0.027777777777777776
-1.4548738806998411	-1.016775179730523	0.0	total	0	-4.0231658552861104e-11	-1.5585929045606063e-15	-2.117961361847165e-11	17.97222222222222	-0.027777777777777776
-1.4498738806998412	-1.011775179730523	0.0	total	0	-4.0231658552861104e-11	-1.5585929045606063e-15	-2.117961361847165e-11	17.97222222222222	-0.027777777777777776
-1.4448738806998411	-1.0067751797305227	0.0	total	0	-4.0231658552861104e-11	-1.5585929045606063e-15	-2.117961361847165e-11	17.97222222222222	-0.027777777777777776
-1.4398738806998412	-1.0017751797305228	0.0	total	0	-4.0231658552861104e-11	-1.5585929045606063e-15	-2.117961361847165e-11	17.97222222222222	-0.027777777777777776
-1.4348738806998411	-0.9967751797305228	0.0	total	0	-4.0231658552861104e-11	-1.5585929045606063e-15	-2.117961361847165e-11	17.97222222222222	-0.027777777777777776
-1.4298738806998412	-0.9917751797305229	0.0	total	0	-4.0231658552861104e-11	-1.5585929045606063e-15	-2.117961361847165e-11	17.97222222222222	-0.027777777777777776
-1.4248738806998411	-0.9867751797305228	0.0	total	0	-4.0231658552861104e-11	-1.5585929045606063e-15	-2.117961361847165e-11	17.97222222222222	-0.027777777777777776
