z_fractional,z_A,mean_spinor1_density_inv_A3,mean_spinor2_density_inv_A3,mean_total_density_inv_A3
0.0,0.0,2.81503103706287e-10,7.048231811008086e-07,7.051046842045149e-07
0.015625,0.234375,3.1203351987373033e-10,7.745195969681639e-07,7.748316304880377e-07
0.03125,0.46875,3.934522849726436e-10,9.785754417566314e-07,9.78968894041604e-07
0.046875,0.703125,5.647988221163104e-10,1.403672242744449e-06,1.4042370415665651e-06
0.0625,0.9375,8.900776436120285e-10,2.21318920079987e-06,2.2140792784434824e-06
0.078125,1.171875,1.4602514759281434e-09,3.6345823728412387e-06,3.636042624317167e-06
0.09375,1.40625,2.5014255232597203e-09,6.224433850944559e-06,6.226935276467819e-06
0.109375,1.640625,4.346436376019865e-09,1.0811984997290157e-05,1.0816331433666176e-05
0.125,1.875,7.589813916260883e-09,1.887358911027309e-05,1.888117892418935e-05
0.140625,2.109375,1.3349265127789642e-08,3.3174900600640793e-05,3.318824986576858e-05
0.15625,2.34375,2.333157385393946e-08,5.7962420903686415e-05,5.7985752477540355e-05
0.171875,2.578125,4.068280246876029e-08,0.0001009417471537763,0.00010098242995624506
0.1875,2.8125,7.05755875799568e-08,0.0001747214670645055,0.00017479204265208545
0.203125,3.046875,1.2120363164418398e-07,0.00029887210581873425,0.0002989933094503784
0.21875,3.28125,2.0712862111258823e-07,0.0005064456060878695,0.000506652734708982
0.234375,3.515625,3.51724085782536e-07,0.0008467289208166579,0.0008470806449024404
0.25,3.75,5.968965552274864e-07,0.0013944129115092037,0.0013950098080644311
0.265625,3.984375,1.0272017278238392e-06,0.0022660298631160935,0.0022670570648439174
0.28125,4.21875,1.8176157492189271e-06,0.0036155376356949757,0.0036173552514441945
0.296875,4.453125,3.3941991168503853e-06,0.00564941849004336,0.00565281268916021
0.3125,4.6875,6.8017866807981284e-06,0.008556101736863097,0.008562903523543894
0.328125,4.921875,1.4451420193510144e-05,0.012159995795878282,0.012174447216071792
0.34375,5.15625,3.130912424147756e-05,0.015337302676919141,0.01536861180116062
0.359375,5.390625,6.426930940198411e-05,0.01454312089007486,0.014607390199476844
0.375,5.625,0.00011535200745736535,0.007276795631093825,0.00739214763855119
0.390625,5.859375,0.00016851410563972573,0.00327932289779858,0.0034478370034383057
0.40625,6.09375,0.00019057100314144446,0.011262574211151795,0.011453145214293239
0.421875,6.328125,0.00017297441636085001,0.02248600460430411,0.022658979020664962
0.4375,6.5625,0.00014652116654276955,0.028661668205205326,0.028808189371748096
0.453125,6.796875,0.00012617721635690504,0.022736532087191494,0.0228627093035484
0.46875,7.03125,9.21322457801013e-05,0.009147149148687098,0.009239281394467199
0.484375,7.265625,3.9949434532482695e-05,0.016076294067079125,0.01611624350161161
0.5,7.5,1.1685983604870029e-05,0.029068922907164688,0.029080608890769556
0.515625,7.734375,3.994952188662087e-05,0.016076260606599932,0.016116210128486554
0.53125,7.96875,9.21328658992717e-05,0.009147162901508105,0.009239295767407377
0.546875,8.203125,0.00012617856684622316,0.022736554677684782,0.022862733244531006
0.5625,8.4375,0.00014652265831864892,0.028661660349600247,0.028808183007918896
0.578125,8.671875,0.00017297528432130436,0.022485986214707713,0.022658961499029018
0.59375,8.90625,0.00019057097157402253,0.011262552480837539,0.01145312345241156
0.609375,9.140625,0.00016851366714058596,0.003279317997301417,0.0034478316644420033
0.625,9.375,0.00011535132951911904,0.00727681200238862,0.007392163331907739
0.640625,9.609375,6.426838723320763e-05,0.014543129325377109,0.014607397712610317
0.65625,9.84375,3.1308510920925385e-05,0.015337297345834241,0.015368605856755167
0.671875,10.078125,1.4451217865862716e-05,0.012159987210780066,0.012174438428645929
0.6875,10.3125,6.8017993738070445e-06,0.008556095164969274,0.008562896964343081
0.703125,10.546875,3.3942941772868945e-06,0.005649414376229277,0.005652808670406564
0.71875,10.78125,1.8177076619460644e-06,0.0036155350758978484,0.0036173527835597946
0.734375,11.015625,1.027267416335873e-06,0.0022660279121639016,0.0022670551795802374
0.75,11.25,5.96934741640017e-07,0.001394411463130934,0.001395008397872574
0.765625,11.484375,3.517420990868498e-07,0.0008467279165429442,0.000847079658642031
0.78125,11.71875,2.0714016855443176e-07,0.0005064448522010219,0.0005066519923695763
0.796875,11.953125,1.2121215088134999e-07,0.000298871396726632,0.00029899260887751334
0.8125,12.1875,7.057995644947019e-08,0.00017472076064428934,0.00017479134060073882
0.828125,12.421875,4.068202860307318e-08,0.00010094120316070515,0.00010098188518930822
0.84375,12.65625,2.3326553760007754e-08,5.7962146849571774e-05,5.798547340333178e-05
0.859375,12.890625,1.3343818827591592e-08,3.317485878821433e-05,3.318820260704192e-05
0.875,13.125,7.58594502363864e-09,1.8873717822810263e-05,1.8881303767833903e-05
0.890625,13.359375,4.344391716332845e-09,1.0812194376619439e-05,1.0816538768335771e-05
0.90625,13.59375,2.5003306344325676e-09,6.2246397937578255e-06,6.227140124392258e-06
0.921875,13.828125,1.4589430278928591e-09,3.63473948618944e-06,3.636198429217333e-06
0.9375,14.0625,8.882648141156161e-10,2.2132912928900358e-06,2.2141795577041514e-06
0.953125,14.296875,5.627488765192507e-10,1.4037307729213254e-06,1.4042935217978446e-06
0.96875,14.53125,3.91656002214701e-10,9.786061417254763e-07,9.78997797727691e-07
0.984375,14.765625,3.1102674363246803e-10,7.74530608619934e-07,7.748416353635665e-07
