# schema=VASPBERRY_Z2_FIELD
# schema_version=2
# vaspberry_version=1.3.0
# result_status=PASS
# result_kind=FUKUI_HATSUGAI_NFIELD_Z2
# reportable_invariant=1
# z2_invariant=0
# half_top_z2_parity=0
# half_bottom_z2_parity=0
# half_bz_parity_consistent=1
# nkx=12
# nky=12
# band_min=1
# band_max=18
# band_rank=18
# spinor_components=2
# index_base=1
# plaquette_orientation=POSITIVE_B1_CROSS_B2
# nfield_definition=[(sum_link_arg)-wrap(sum_link_arg)]/(2*pi)
# overlap_backend=WAVECAR_PSEUDO_NO_PAW_AUGMENTATION
# input_trs_assumed=1
# input_trs_independently_verified=0
# check_scope=NUMERICAL_SELF_CONSISTENCY_OF_TR_RECONSTRUCTION
# check_scope_excludes=RAW_INPUT_TRS,KRAMERS_ENERGY,DIRECT_GAP,PAW_AUGMENTATION,MESH_CONVERGENCE
# physical_tr_rule=wrap[berry_flux(-k)+berry_flux(k)]=0
# nfield_note=gauge_and_log_branch_dependent
# threshold_policy=CONSERVATIVE_DIAGNOSTIC_MAY_FALSE_REJECT
# threshold_partner_fractional= 9.9999999999999995E-008
# threshold_min_link_singular= 9.9999999999999995E-007
# threshold_flux_tr_odd_rad= 1.0000000000000001E-005
# threshold_nfield_integer= 1.0000000000000000E-010
# threshold_total_chern= 1.0000000000000000E-004
# threshold_phase_margin_fraction_pi= 8.0000000000000004E-001
# threshold_max_abs_flux_rad= 2.5132741228718345E+000
# total_chern= 3.0721841238914973E-014
# minimum_link_singular_value= 7.1396807987713140E-001
# max_flux_tr_odd_residual_rad= 2.7755575615628914E-014
# max_nfield_integer_residual= 8.8348741151764357E-018
# max_nfield_pair_residual= 8.8348741151764357E-018
# max_abs_flux_rad= 3.8747572329980445E-001
# half_top_nfield_sum=0
# half_bottom_nfield_sum=0
# numerical_self_consistency_checks_pass=1
cell_id,q1,q2,q3,kx_A-1,ky_A-1,kz_A-1,half_bz,tr_partner,berry_flux_rad,berry_curvature_A2,min_link_singular_value,nfield_raw,nfield_int,nfield_integer_residual,nfield_tr_pair_residual,flux_tr_odd_residual_rad,pair_nfield_int_sum,plaquette_checks_pass
1, 9.5833333333333337E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 1.8985120954306536E+000, 1.0961064693566485E+000, 0.0000000000000000E+000,-1,14, 1.5697894601984785E-006, 4.9881669953160466E-005, 7.5739955622076471E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.3322676295501878E-015,0,1
2, 4.1666666666666373E-002, 9.5833333333333337E-001, 0.0000000000000000E+000, 8.2544004149158259E-002, 2.1445561356977909E+000, 0.0000000000000000E+000,-1,13,-4.3978498340511152E-003,-1.3974618857357002E-001, 7.5171637365992461E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 1.3804490804963181E-019, 1.9096703385290681E-014,0,1
3, 1.2500000000000031E-001, 9.5833333333333326E-001, 0.0000000000000000E+000, 2.4763201244747715E-001, 2.0492425296667771E+000, 0.0000000000000000E+000,-1,24,-3.1242504292197104E-002,-9.9276261379442132E-001, 7.4639185167103195E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.5479180117763462E-015,0,1
4, 2.0833333333333334E-001, 9.5833333333333326E-001, 0.0000000000000000E+000, 4.1272002074579422E-001, 1.9539289236357646E+000, 0.0000000000000000E+000,-1,23,-4.3943283096290912E-002,-1.3963428852365556E+000, 7.5113315740699327E-001, 1.1043592643970545E-018,0, 1.1043592643970545E-018, 1.1043592643970545E-018, 8.8887230909051596E-015,0,1
5, 2.9166666666666641E-001, 9.5833333333333326E-001, 0.0000000000000000E+000, 5.7780802904411144E-001, 1.8586153176047520E+000, 0.0000000000000000E+000,-1,22,-3.5665640994000603E-002,-1.1333123185230902E+000, 7.6498935837287574E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 1.1043592643970545E-018, 1.0443035325380379E-014,0,1
6, 3.7500000000000033E-001, 9.5833333333333326E-001, 0.0000000000000000E+000, 7.4289603734243026E-001, 1.7633017115737384E+000, 0.0000000000000000E+000,-1,21,-3.2179725372513103E-002,-1.0225437747633299E+000, 7.7843843766470922E-001, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.2172489379008766E-015,0,1
7, 4.5833333333333337E-001, 9.5833333333333326E-001, 0.0000000000000000E+000, 9.0798404564074742E-001, 1.6679881055427259E+000, 0.0000000000000000E+000,-1,20,-3.9266960423288033E-002,-1.2477479366249642E+000, 7.8204008539240000E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.4376949871511897E-015,0,1
8, 5.4166666666666630E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 1.0730720539390644E+000, 1.5726744995117135E+000, 0.0000000000000000E+000,-1,19,-3.2419179419062048E-002,-1.0301526726580790E+000, 7.7958020996592958E-001,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000,-4.4408920985006262E-015,0,1
9, 6.2500000000000033E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 1.2381600622373834E+000, 1.4773608934806997E+000, 0.0000000000000000E+000,-1,18,-3.0413722454116089E-002,-9.6642722095447708E-001, 7.6834544415947437E-001, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6871920527350426E-014,0,1
10, 7.0833333333333337E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 1.4032480705357004E+000, 1.3820472874496872E+000, 0.0000000000000000E+000,-1,17,-3.9110252375944343E-002,-1.2427683777128959E+000, 7.5411237689723576E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.1038288019262836E-015,0,1
