k_index,kx_fractional,ky_fractional,kz_fractional,weight,spin,current,electric_field,omega_spin_A2
1,0.0,0.0,0.0,0.0030864197530864196,x,x,x,-107.15993685668879
1,0.0,0.0,0.0,0.0030864197530864196,x,x,y,0.0004001047254940329
1,0.0,0.0,0.0,0.0030864197530864196,x,x,z,-3.922438767226449e-05
1,0.0,0.0,0.0,0.0030864197530864196,x,y,x,-5.716150933576473e-05
1,0.0,0.0,0.0,0.0030864197530864196,x,y,y,107.15774792467579
1,0.0,0.0,0.0,0.0030864197530864196,x,y,z,0.3007950286811804
1,0.0,0.0,0.0,0.0030864197530864196,x,z,x,0.00011474764203676482
1,0.0,0.0,0.0,0.0030864197530864196,x,z,y,50.840509289619135
1,0.0,0.0,0.0,0.0030864197530864196,x,z,z,-7.430030564933754e-05
1,0.0,0.0,0.0,0.0030864197530864196,y,x,x,-0.00020182702790690513
1,0.0,0.0,0.0,0.0030864197530864196,y,x,y,107.15736625151767
1,0.0,0.0,0.0,0.0030864197530864196,y,x,z,-0.2971350505170208
1,0.0,0.0,0.0,0.0030864197530864196,y,y,x,107.15825179558148
1,0.0,0.0,0.0,0.0030864197530864196,y,y,y,0.00014097407202029756
1,0.0,0.0,0.0,0.0030864197530864196,y,y,z,3.921311067765996e-05
1,0.0,0.0,0.0,0.0030864197530864196,y,z,x,-50.841906750975554
1,0.0,0.0,0.0,0.0030864197530864196,y,z,y,-0.0001146322665753704
1,0.0,0.0,0.0,0.0030864197530864196,y,z,z,1.0374972890449372e-05
1,0.0,0.0,0.0,0.0030864197530864196,z,x,x,1.0523094944368145e-05
1,0.0,0.0,0.0,0.0030864197530864196,z,x,y,245.90215706964517
1,0.0,0.0,0.0,0.0030864197530864196,z,x,z,-0.0010772464398234754
1,0.0,0.0,0.0,0.0030864197530864196,z,y,x,-245.9028158356953
1,0.0,0.0,0.0,0.0030864197530864196,z,y,y,-1.0687525709736507e-05
1,0.0,0.0,0.0,0.0030864197530864196,z,y,z,8.075191977421044e-05
1,0.0,0.0,0.0,0.0030864197530864196,z,z,x,0.0005490721560218335
1,0.0,0.0,0.0,0.0030864197530864196,z,z,y,-3.9011792295908056e-05
1,0.0,0.0,0.0,0.0030864197530864196,z,z,z,4.101873506803908e-09
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,x,x,x,-59.30252174741588
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,x,x,y,0.0002676930248931762
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,x,x,z,1.8910826106866613e-05
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,x,y,x,-0.00018152730588354924
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,x,y,y,34.229417603260636
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,x,y,z,0.2966519983887836
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,x,z,x,0.00011025544343164582
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,x,z,y,26.377453400827083
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,x,z,z,1.1617362070562842
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,y,x,x,-5.852615227189704e-05
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,y,x,y,58.31442413171286
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,y,x,z,3.9367741015480133
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,y,y,x,27.15178925784241
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,y,y,y,0.00010364402206285484
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,y,y,z,-2.154564056262709e-05
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,y,z,x,-15.265251236523442
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,y,z,y,-1.095948285367474e-05
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,y,z,z,-3.687776780281208e-06
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,z,x,x,7.692009376919411e-05
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,z,x,y,84.01336882530643
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,z,x,z,0.7491905080037151
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,z,y,x,-88.60997626842853
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,z,y,y,-8.053725535745716e-05
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,z,y,z,-1.100768315770514e-05
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,z,z,x,-7.25861580280567
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,z,z,y,-1.9571440444636898e-05
2,0.0,0.0555555555555556,0.0,0.0030864197530864196,z,z,z,7.719982742307587e-07
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,x,x,x,-19.80634041971978
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,x,x,y,7.518888838440022e-05
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,x,x,z,1.7263383731846693e-06
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,x,y,x,-5.505816117089168e-05
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,x,y,y,5.669458263991875
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,x,y,z,1.33021697932901
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,x,z,x,3.55212919482891e-05
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,x,z,y,7.962160036666198
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,x,z,z,1.225581028083356
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,y,x,x,-1.886685094047634e-05
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,y,x,y,21.605991002457205
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,y,x,z,4.320634183760716
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,y,y,x,-3.604488668972211
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,y,y,y,3.393309629343734e-05
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,y,y,z,-5.412954859440103e-06
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,y,z,x,-6.901364986403584
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,y,z,y,3.577610355432526e-06
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,y,z,z,-1.193278710013517e-06
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,z,x,x,3.9496368753300826e-05
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,z,x,y,23.157097151772767
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,z,x,z,-0.06071277635666728
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,z,y,x,-17.31334918742676
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,z,y,y,-4.413300420254158e-05
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,z,y,z,-8.468541571072182e-06
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,z,z,x,-6.915517393065712
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,z,z,y,-1.5157922191806863e-06
3,0.0,0.1111111111111111,0.0,0.0030864197530864196,z,z,z,-1.1036974348635094e-07
4,0.0,0.1666666666666667,0.0,0.0030864197530864196,x,x,x,-8.737067811544462
4,0.0,0.1666666666666667,0.0,0.0030864197530864196,x,x,y,2.208851579035506e-05
4,0.0,0.1666666666666667,0.0,0.0030864197530864196,x,x,z,-3.972239867170236e-06
4,0.0,0.1666666666666667,0.0,0.0030864197530864196,x,y,x,-1.5393718623989962e-05
4,0.0,0.1666666666666667,0.0,0.0030864197530864196,x,y,y,0.9157799492673874
4,0.0,0.1666666666666667,0.0,0.0030864197530864196,x,y,z,1.1318175131514439
4,0.0,0.1666666666666667,0.0,0.0030864197530864196,x,z,x,1.3746206977342224e-05
4,0.0,0.1666666666666667,0.0,0.0030864197530864196,x,z,y,3.9122080129803325
4,0.0,0.1666666666666667,0.0,0.0030864197530864196,x,z,z,0.9822251966798371
