spin,current,electric_field,sigma_hbar_over_e_e2_over_h,sigma_hbar_over_e_S
x,x,x,-0.6461553036050641,-2.503235282034966e-05
x,x,y,3.3846247361042e-06,1.3112191463250442e-10
x,x,z,-1.2162650728278078e-07,-4.7118666760495725e-12
x,y,x,-1.4344666766799904e-06,-5.557189697174613e-11
x,y,y,0.6461520752134419,2.5032227750977515e-05
x,y,z,-0.0029434402641801295,-1.1403022584120867e-07
x,z,x,6.186870711334251e-07,2.3968220896112267e-11
x,z,y,0.33892555682785763,1.3130131519486778e-05
x,z,z,-1.4577462138516202e-07,-5.6473756918918925e-12
y,x,x,-1.3029888960324943e-06,-5.0478387447267675e-11
y,x,y,0.6461502063331032,2.5032155349696035e-05
y,x,z,0.002951228843131227,1.1433195896200061e-07
y,y,x,0.6461497594573693,2.5032138037525146e-05
y,y,y,6.471772680741719e-07,2.5071944192606202e-11
y,y,z,1.2170220975517646e-07,4.714799424551069e-12
y,z,x,-0.3389281650629874,-1.313023256371197e-05
y,z,y,-6.187597528574733e-07,-2.397103661943732e-11
y,z,z,4.0073401298313704e-08,1.552461945934858e-12
z,x,x,3.430709493262218e-07,1.3290725926154849e-11
z,x,y,1.4345017460760776,5.557325557623511e-05
z,x,z,-1.3953736563836144e-06,-5.4057415435477414e-11
z,y,x,-1.4345038756169357,-5.5573338075624656e-05
z,y,y,-3.4306450886308443e-07,-1.3290476419658995e-11
z,y,z,3.9416018710801255e-07,1.5269946429865502e-11
z,z,x,-5.841543280630342e-07,-2.263040659114626e-11
z,z,y,-4.1146749095264246e-07,-1.5940439318789573e-11
z,z,z,-4.273871591026793e-11,-1.6557174564466947e-15
