spin,current,electric_field,sigma_hbar_over_e_e2_over_h,sigma_hbar_over_e_S
x,x,x,-0.642774497200303,-2.4901378829624663e-05
x,x,y,-5.756386458998757e-07,-2.230050515843368e-11
x,x,z,-1.2782320981129116e-05,-4.951929774117455e-10
x,y,x,-1.0114389062651339e-06,-3.918360712447609e-11
x,y,y,0.6427830780050265,2.4901711253935235e-05
x,y,z,-0.008406305939361787,-3.256641476373637e-07
x,z,x,5.792866559529756e-06,2.2441830741048096e-10
x,z,y,0.3872916209705458,1.5003855027436865e-05
x,z,z,1.480893124190052e-06,5.737047884174442e-11
y,x,x,1.3041423098112805e-05,5.05230712260703e-10
y,x,y,0.6427690269541951,2.490116690978152e-05
y,x,z,0.008413011099715116,3.2592390862476884e-07
y,y,x,0.6427669087915147,2.4901084851187784e-05
y,y,y,1.6218093029978206e-06,6.282963623986671e-11
y,y,z,-1.5513280210445036e-05,-6.009915905080329e-10
y,z,x,-0.38732518539669436,-1.500515532870016e-05
y,z,y,3.692466810046022e-05,1.4304785776856796e-09
y,z,z,1.7115117533646814e-06,6.63047503090466e-11
z,x,x,2.2492082201542398e-05,8.713535804659201e-10
z,x,y,1.382554994639501,5.3560814600239993e-05
z,x,z,1.774652036682553e-05,6.875083384402885e-10
z,y,x,-1.3825339665783911,-5.3559999963508095e-05
z,y,y,-1.6889996682670935e-05,-6.543262180721357e-10
z,y,z,2.0036595323347377e-05,7.762268925972624e-10
z,z,x,-3.831695528905164e-05,-1.484416421943281e-09
z,z,y,-3.7809153189018894e-05,-1.4647439356849255e-09
z,z,z,-5.095197158915599e-08,-1.9739027484509357e-12
