spin current electric_field sigma_hbar_over_e_e2_over_h sigma_hbar_over_e_S
x x x -0.643020255059417 -2.4910899601803414e-05
x x y 2.7830381803327826e-06 1.0781617554465606e-10
x x z -1.6004454932135285e-07 -6.2001992450326445e-12
x y x -1.1593743929372127e-06 -4.491469572866253e-11
x y y 0.6430167049341738 2.491076206832323e-05
x y z -0.00989123249878072 -3.8319088360980724e-07
x z x 6.909511198737629e-07 2.6767763288169646e-11
x z y 0.3876731996023264 1.5018637558642823e-05
x z z -1.3052977673906065e-07 -5.056783418264322e-12
y x x -7.474313644834283e-07 -2.8955833868973766e-11
y x y 0.6430154053656452 2.4910711722442385e-05
y x z 0.009898970291310646 3.8349064924134984e-07
y y x 0.643014810181638 2.4910688664740966e-05
y y y 8.707027220263964e-07 3.373142279851245e-11
y y z 1.626243386402364e-07 6.300141466464805e-12
y z x -0.3876761461051645 -1.5018751707514183e-05
y z y -6.953751492808348e-07 -2.693915221647768e-11
y z z 5.0085847116545775e-08 1.940348689134617e-12
z x x 3.976064555168219e-07 1.5403456448651434e-11
z x y 1.3810006575174374 5.3500598867235586e-05
z x z -1.2495294695623428e-06 -4.8407344746684496e-11
z y x -1.3810022806420794 -5.3500661747828666e-05
z y y -4.011673450906341e-07 -1.5541406943940493e-11
z y z 3.9772323788225886e-07 1.5407980651050614e-11
z z x -5.595444273335507e-07 -2.1677007749571875e-11
z z y -4.711640447537574e-07 -1.8253111192828468e-11
z z z -2.0591463705422446e-09 -7.977227482088557e-14
