# schema=VASPBERRY_Z2_FIELD
# schema_version=2
# vaspberry_version=1.3.0
# result_status=PASS
# result_kind=FUKUI_HATSUGAI_NFIELD_Z2
# reportable_invariant=1
# z2_invariant=1
# half_top_z2_parity=1
# half_bottom_z2_parity=1
# half_bz_parity_consistent=1
# nkx=12
# nky=12
# band_min=1
# band_max=10
# band_rank=10
# spinor_components=2
# index_base=1
# plaquette_orientation=POSITIVE_B1_CROSS_B2
# nfield_definition=[(sum_link_arg)-wrap(sum_link_arg)]/(2*pi)
# overlap_backend=WAVECAR_PSEUDO_NO_PAW_AUGMENTATION
# input_trs_assumed=1
# input_trs_independently_verified=0
# check_scope=NUMERICAL_SELF_CONSISTENCY_OF_TR_RECONSTRUCTION
# check_scope_excludes=RAW_INPUT_TRS,KRAMERS_ENERGY,DIRECT_GAP,PAW_AUGMENTATION,MESH_CONVERGENCE
# physical_tr_rule=wrap[berry_flux(-k)+berry_flux(k)]=0
# nfield_note=gauge_and_log_branch_dependent
# threshold_policy=CONSERVATIVE_DIAGNOSTIC_MAY_FALSE_REJECT
# threshold_partner_fractional= 9.9999999999999995E-008
# threshold_min_link_singular= 9.9999999999999995E-007
# threshold_flux_tr_odd_rad= 1.0000000000000001E-005
# threshold_nfield_integer= 1.0000000000000000E-010
# threshold_total_chern= 1.0000000000000000E-004
# threshold_phase_margin_fraction_pi= 8.0000000000000004E-001
# threshold_max_abs_flux_rad= 2.5132741228718345E+000
# total_chern= 6.0253841465503288E-015
# minimum_link_singular_value= 7.9868060136430363E-001
# max_flux_tr_odd_residual_rad= 2.2204460492503131E-014
# max_nfield_integer_residual= 0.0000000000000000E+000
# max_nfield_pair_residual= 0.0000000000000000E+000
# max_abs_flux_rad= 1.1987545345260031E-008
# half_top_nfield_sum=-3
# half_bottom_nfield_sum=3
# numerical_self_consistency_checks_pass=1
cell_id,q1,q2,q3,kx_A-1,ky_A-1,kz_A-1,half_bz,tr_partner,berry_flux_rad,berry_curvature_A2,min_link_singular_value,nfield_raw,nfield_int,nfield_integer_residual,nfield_tr_pair_residual,flux_tr_odd_residual_rad,pair_nfield_int_sum,plaquette_checks_pass
1, 9.5833333333333337E-001, 9.5833333333333337E-001, 0.0000000000000000E+000, 1.3719759944511212E+000, 7.9211070971805941E-001, 0.0000000000000000E+000,-1,14,-4.7529919999789172E-009,-2.8920138640402738E-007, 7.9868060136430363E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4424906541753444E-015,0,1
2, 9.5833333333333337E-001, 4.1666666666666637E-002, 0.0000000000000000E+000, 1.3719759944511212E+000,-7.2323151756866300E-001, 0.0000000000000000E+000,1,13, 3.2850944187146069E-009, 1.9988543224238771E-007, 7.9868060136430408E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.2204460492503131E-016,0,1
3, 9.5833333333333337E-001, 1.2500000000000006E-001, 0.0000000000000000E+000, 1.3719759944511212E+000,-5.8547313326986994E-001, 0.0000000000000000E+000,1,24,-1.8191420592117424E-009,-1.1068783738585017E-007, 9.8294056347619707E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-9.2148511043887993E-015,0,1
4, 9.5833333333333337E-001, 2.0833333333333334E-001, 0.0000000000000000E+000, 1.3719759944511212E+000,-4.4771474897107710E-001, 0.0000000000000000E+000,1,23, 4.7417818331699172E-009, 2.8851929062456939E-007, 1.0094639393557612E+000,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.1054273576010019E-015,0,1
5, 9.5833333333333337E-001, 2.9166666666666663E-001, 0.0000000000000000E+000, 1.3719759944511212E+000,-3.0995636467228421E-001, 0.0000000000000000E+000,1,22,-1.3516394392620867E-009,-8.2242090825040635E-008, 1.0339156241713257E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.8025138593411612E-015,0,1
6, 9.5833333333333337E-001, 3.7500000000000000E-001, 0.0000000000000000E+000, 1.3719759944511212E+000,-1.7219798037349121E-001, 0.0000000000000000E+000,1,21,-1.0328857769081878E-009,-6.2847149475566931E-008, 1.0542190613615294E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-8.8817841970012523E-016,0,1
7, 9.5833333333333337E-001, 4.5833333333333337E-001, 0.0000000000000000E+000, 1.3719759944511212E+000,-3.4439596074698264E-002, 0.0000000000000000E+000,1,20, 4.9329276287397002E-010, 3.0014978128904499E-008, 1.0620444984253901E+000, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 0.0000000000000000E+000,-5.3290705182007514E-015,0,1
8, 9.5833333333333337E-001, 5.4166666666666674E-001, 0.0000000000000000E+000, 1.3719759944511212E+000, 1.0331878822409479E-001, 0.0000000000000000E+000,-1,19,-7.7891026961651733E-010,-4.7393711131521107E-008, 1.0538504623273472E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-4.8849813083506888E-015,0,1
9, 9.5833333333333337E-001, 6.2499999999999989E-001, 0.0000000000000000E+000, 1.3719759944511212E+000, 2.4107717252288741E-001, 0.0000000000000000E+000,-1,18,-1.0131067651464321E-009,-6.1643672250436587E-008, 1.0317206416830353E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-3.2751579226442118E-015,0,1
10, 9.5833333333333337E-001, 7.0833333333333337E-001, 0.0000000000000000E+000, 1.3719759944511212E+000, 3.7883555682168046E-001, 0.0000000000000000E+000,-1,17, 2.0425874602825189E-009, 1.2428363552217339E-007, 1.0061432315422580E+000, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.8286708792820718E-016,0,1
11, 9.5833333333333337E-001, 7.9166666666666674E-001, 0.0000000000000000E+000, 1.3719759944511212E+000, 5.1659394112047352E-001, 0.0000000000000000E+000,-1,16,-2.5018194411838331E-009,-1.5222614532616989E-007, 9.8657423225083873E-001,-1.0000000000000000E+000,-1, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.7763568394002505E-015,0,1
12, 9.5833333333333337E-001, 8.7500000000000000E-001, 0.0000000000000000E+000, 1.3719759944511212E+000, 6.5435232541926636E-001, 0.0000000000000000E+000,-1,15,-1.1035117264412975E-009,-6.7144468410916871E-008, 8.2783988466893021E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3211653993039363E-014,0,1
13, 4.1666666666666637E-002, 9.5833333333333337E-001, 0.0000000000000000E+000, 5.9651130193526962E-002, 1.5497818233614207E+000, 0.0000000000000000E+000,-1,2,-3.2850946407592119E-009,-1.9988544575295275E-007, 7.9868060136430385E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.2204460492503131E-016,0,1
14, 4.1666666666666637E-002, 4.1666666666666637E-002, 0.0000000000000000E+000, 5.9651130193526962E-002, 3.4439596074698209E-002, 0.0000000000000000E+000,1,1, 4.7529944424695714E-009, 2.8920153502024290E-007, 7.9868060136430408E-001, 0.0000000000000000E+000,0, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4424906541753444E-015,0,1
