sampling,k_label,q1,q2,q3,band,energy_eV
mesh6,grid1,0.0,0.0,0.0,1,-10.061020758313703
mesh6,grid1,0.0,0.0,0.0,2,-10.05914997890536
mesh6,grid1,0.0,0.0,0.0,3,-10.047913437933005
mesh6,grid1,0.0,0.0,0.0,4,-10.040677293367498
mesh6,grid1,0.0,0.0,0.0,5,-9.870280207403876
mesh6,grid1,0.0,0.0,0.0,6,-9.863809133355666
mesh6,grid1,0.0,0.0,0.0,7,-9.847491766574688
mesh6,grid1,0.0,0.0,0.0,8,-9.841937047720673
mesh6,grid1,0.0,0.0,0.0,9,-9.798046857832418
mesh6,grid1,0.0,0.0,0.0,10,-9.796507599237813
mesh6,grid1,0.0,0.0,0.0,11,-9.776453444041607
mesh6,grid1,0.0,0.0,0.0,12,-9.775632620458786
mesh6,grid1,0.0,0.0,0.0,13,-8.30001996548933
mesh6,grid1,0.0,0.0,0.0,14,-8.280713861329637
mesh6,grid1,0.0,0.0,0.0,15,-8.217350902714358
mesh6,grid1,0.0,0.0,0.0,16,-8.16552291477166
mesh6,grid1,0.0,0.0,0.0,17,-8.146933478644463
mesh6,grid1,0.0,0.0,0.0,18,-8.123221443671657
mesh6,grid1,0.0,0.0,0.0,19,-7.7283381298018465
mesh6,grid1,0.0,0.0,0.0,20,-7.726435693667048
mesh6,grid1,0.0,0.0,0.0,21,-7.611699460727403
mesh6,grid1,0.0,0.0,0.0,22,-7.602466518198504
mesh6,grid1,0.0,0.0,0.0,23,-7.56069930364437
mesh6,grid1,0.0,0.0,0.0,24,-7.555815756293072
mesh6,grid1,0.0,0.0,0.0,25,-5.845878337599821
mesh6,grid1,0.0,0.0,0.0,26,-5.839085476084868
mesh6,grid1,0.0,0.0,0.0,27,-5.700939026382978
mesh6,grid1,0.0,0.0,0.0,28,-5.670210227061375
mesh6,grid1,0.0,0.0,0.0,29,-5.350100631271529
mesh6,grid1,0.0,0.0,0.0,30,-5.324401692268511
mesh6,grid1,0.0,0.0,0.0,31,-5.274167697140028
mesh6,grid1,0.0,0.0,0.0,32,-5.2499100565860335
mesh6,grid1,0.0,0.0,0.0,33,-5.088579954313374
mesh6,grid1,0.0,0.0,0.0,34,-5.083166925243965
mesh6,grid1,0.0,0.0,0.0,35,-4.992951674121052
mesh6,grid1,0.0,0.0,0.0,36,-4.9870271910371144
mesh6,grid1,0.0,0.0,0.0,37,-2.790491843005876
mesh6,grid1,0.0,0.0,0.0,38,-2.764377631823299
mesh6,grid1,0.0,0.0,0.0,39,-2.7519032558179104
mesh6,grid1,0.0,0.0,0.0,40,-2.7518726434328684
mesh6,grid1,0.0,0.0,0.0,41,-2.7249674443252405
mesh6,grid1,0.0,0.0,0.0,42,-2.724933511329318
mesh6,grid1,0.0,0.0,0.0,43,-2.617391966044588
mesh6,grid1,0.0,0.0,0.0,44,-2.576133151711513
mesh6,grid1,0.0,0.0,0.0,45,-2.5759638507508793
mesh6,grid1,0.0,0.0,0.0,46,-2.467845633184404
mesh6,grid1,0.0,0.0,0.0,47,-2.465052696232638
mesh6,grid1,0.0,0.0,0.0,48,-2.428205822301315
mesh6,grid1,0.0,0.0,0.0,49,-2.4281998586576847
mesh6,grid1,0.0,0.0,0.0,50,-2.425506053050703
mesh6,grid1,0.0,0.0,0.0,51,-2.425501270432659
mesh6,grid1,0.0,0.0,0.0,52,-0.4280751360751792
mesh6,grid1,0.0,0.0,0.0,53,-0.4117010805086816
mesh6,grid1,0.0,0.0,0.0,54,-0.31756260199278724
mesh6,grid1,0.0,0.0,0.0,55,-0.2847375966306769
mesh6,grid1,0.0,0.0,0.0,56,-0.2300403786872737
mesh6,grid1,0.0,0.0,0.0,57,-0.21940896624204534
mesh6,grid1,0.0,0.0,0.0,58,0.3754353902363775
mesh6,grid1,0.0,0.0,0.0,59,0.3811653796258958
mesh6,grid1,0.0,0.0,0.0,60,0.565551183037228
mesh6,grid1,0.0,0.0,0.0,61,0.5684517704579304
mesh6,grid1,0.0,0.0,0.0,62,0.7656195897331104
mesh6,grid1,0.0,0.0,0.0,63,0.7676874441659853
mesh6,grid1,0.0,0.0,0.0,64,0.8975559603559831
mesh6,grid1,0.0,0.0,0.0,65,0.9079496458331515
mesh6,grid1,0.0,0.0,0.0,66,1.0016830627602318
mesh6,grid1,0.0,0.0,0.0,67,1.021300830728462
mesh6,grid1,0.0,0.0,0.0,68,1.0247294198893326
mesh6,grid1,0.0,0.0,0.0,69,1.0348846377012622
mesh6,grid1,0.0,0.0,0.0,70,1.2394594618883628
mesh6,grid1,0.0,0.0,0.0,71,1.246909305159365
mesh6,grid1,0.0,0.0,0.0,72,1.2553368207272884
mesh6,grid1,0.0,0.0,0.0,73,1.271892472278751
mesh6,grid1,0.0,0.0,0.0,74,1.6025002758593827
mesh6,grid1,0.0,0.0,0.0,75,1.6203717448347879
mesh6,grid1,0.0,0.0,0.0,76,1.62726239882705
mesh6,grid1,0.0,0.0,0.0,77,1.7435897455377984
mesh6,grid1,0.0,0.0,0.0,78,1.7716362098339606
mesh6,grid1,0.0,0.0,0.0,79,1.7718873748742772
mesh6,grid1,0.0,0.0,0.0,80,1.7798237245545627
mesh6,grid1,0.0,0.0,0.0,81,1.7931708852849124
mesh6,grid1,0.0,0.0,0.0,82,1.7984853801175162
mesh6,grid1,0.0,0.0,0.0,83,1.8603520373877094
mesh6,grid1,0.0,0.0,0.0,84,1.8721022877519171
mesh6,grid1,0.0,0.0,0.0,85,1.8779955892285243
mesh6,grid1,0.0,0.0,0.0,86,1.8872944206977424
mesh6,grid1,0.0,0.0,0.0,87,1.903463132909762
mesh6,grid1,0.0,0.0,0.0,88,1.9059113207822003
mesh6,grid1,0.0,0.0,0.0,89,1.9067235821287054
mesh6,grid1,0.0,0.0,0.0,90,2.0302239569224265
mesh6,grid1,0.0,0.0,0.0,91,2.048913987021252
mesh6,grid1,0.0,0.0,0.0,92,2.0495220659434605
mesh6,grid1,0.0,0.0,0.0,93,2.069262955895481
mesh6,grid1,0.0,0.0,0.0,94,2.070762984097339
mesh6,grid1,0.0,0.0,0.0,95,2.0934447418698987
mesh6,grid1,0.0,0.0,0.0,96,2.0953850405819683
mesh6,grid1,0.0,0.0,0.0,97,2.1174822445130053
mesh6,grid1,0.0,0.0,0.0,98,2.1175510999601377
mesh6,grid1,0.0,0.0,0.0,99,2.166931460577133
mesh6,grid1,0.0,0.0,0.0,100,2.256463454625555
mesh6,grid1,0.0,0.0,0.0,101,2.256979234729459
mesh6,grid1,0.0,0.0,0.0,102,2.380348655642706
mesh6,grid1,0.0,0.0,0.0,103,2.3888236049552303
mesh6,grid1,0.0,0.0,0.0,104,2.3986796823800725
mesh6,grid1,0.0,0.0,0.0,105,2.4206164646869834
mesh6,grid1,0.0,0.0,0.0,106,2.4639768582356654
mesh6,grid1,0.0,0.0,0.0,107,2.5651735718210062
mesh6,grid1,0.0,0.0,0.0,108,2.57559285583522
mesh6,grid1,0.0,0.0,0.0,109,2.5816616220734145
mesh6,grid1,0.0,0.0,0.0,110,2.587508632941873
mesh6,grid1,0.0,0.0,0.0,111,2.7272952690416137
mesh6,grid1,0.0,0.0,0.0,112,2.7487318952012796
mesh6,grid1,0.0,0.0,0.0,113,2.774536644925556
mesh6,grid1,0.0,0.0,0.0,114,2.798730169803868
mesh6,grid1,0.0,0.0,0.0,115,2.8227836702490006
mesh6,grid1,0.0,0.0,0.0,116,2.8315838635265775
mesh6,grid1,0.0,0.0,0.0,117,2.9296291916797648
mesh6,grid1,0.0,0.0,0.0,118,2.97974585902929
mesh6,grid1,0.0,0.0,0.0,119,2.981275613293712
mesh6,grid1,0.0,0.0,0.0,120,3.155630766683811
mesh6,grid1,0.0,0.0,0.0,121,3.195870046537266
mesh6,grid1,0.0,0.0,0.0,122,3.2240363619579613
