map,band_first,band_last,band,cell_id,ix,iy,k0_index,k1_index,k2_index,k3_index,k0,k1,k2,k3,k0_frac_x,k0_frac_y,k0_frac_z,center_frac_x,center_frac_y,center_frac_z,q_center_frac_x,q_center_frac_y,q_center_frac_z,q1,q2,q3,energy1_ev,energy2_ev,energy3_ev,energy4_ev,energy_above1_ev,energy_above2_ev,energy_above3_ev,energy_above4_ev,e0_eV,e1_eV,e2_eV,e3_eV,min_gap_below_ev,min_gap_above_ev,gap_below1_ev,gap_below2_ev,gap_below3_ev,gap_below4_ev,gap_above1_ev,gap_above2_ev,gap_above3_ev,gap_above4_ev,subspace_min_gap_above_ev,fukui_flux_rad,phi_rad,plaquette_area_inv_ang2,dS_A-2,berry_curvature_ang2,omega_ang2,omega_A2,neighbor_gap_below_ev,neighbor_gap_above_ev,link1_logabs_det,link2_logabs_det,link3_logabs_det,link4_logabs_det,link1_abs_det,link2_abs_det,link3_abs_det,link4_abs_det,link1_min_sv,link2_min_sv,link3_min_sv,link4_min_sv,link1_max_sv,link2_max_sv,link3_max_sv,link4_max_sv,min_link_sv,min_pw_coverage,link_quality_min_sv
deep_s,1,36,124,1,0,0,1,2,8,7,1,2,8,7,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,3.2705369926804835,3.702189879040837,4.13880588137121,3.702189791320856,3.2847196747911287,3.7112520839363405,4.152521007492888,3.711252142172563,3.2705369926804835,3.702189879040837,4.13880588137121,3.702189791320856,0.0171013822199102,0.009062204895503356,0.0171013822199102,0.7263654349018873,1.1800104644852447,0.7263652778140148,0.014182682110645217,0.009062204895503356,0.013715126121677912,0.009062350851706924,2.1965353480312384,9.536844442312664e-05,9.536844442312664e-05,0.06735162170243317,0.06735162170243317,0.001415978442872168,0.001415978442872168,0.001415978442872168,0.0171013822199102,0.009062204895503356,12.211966211249434,12.265786770410934,12.265786740183795,12.211966185734058,201182.19338919988,212306.6074561886,212306.60103876755,201182.18825596053,1.3140573636226127,1.322343704593647,1.3223437060668561,1.3140573674534617,1.5487820528746639,1.5371094211438054,1.5371094661283224,1.5487820938587455,1.3140573636226127,0.9737266651302143,1.3140573636226127
deep_s,1,36,124,2,1,0,2,3,9,8,2,3,9,8,0.1666666666666667,0.0,0.0,0.25000000000000006,0.08333333333333333,0.0,0.25000000000000006,0.08333333333333333,0.0,0.25000000000000006,0.08333333333333333,0.0,3.702189879040837,3.9990449524738216,4.194015476380996,4.13880588137121,3.7112520839363405,4.041757735799349,4.235791792310081,4.152521007492888,3.702189879040837,3.9990449524738216,4.194015476380996,4.13880588137121,0.7263654349018873,0.009062204895503356,0.7263654349018873,1.1996929097332147,1.4447062358343556,1.1800104644852447,0.009062204895503356,0.042712783325527415,0.04177631592908515,0.013715126121677912,2.558900960194692,2.588886157739445e-05,2.588886157739445e-05,0.06735162170243317,0.06735162170243317,0.00038438364100235435,0.00038438364100235435,0.00038438364100235435,0.7263654349018873,0.009062204895503356,12.181831297681027,12.359731433493883,12.272097404153033,12.265786770410934,195210.02274662946,233218.58678893122,213650.63306316413,212306.6074561886,1.320585172523034,1.334220612473418,1.328116362838838,1.322343704593647,1.5317127118615403,1.5230449810708584,1.526501058120443,1.5371094211438054,1.320585172523034,0.9714745801702324,1.320585172523034
deep_s,1,36,124,3,2,0,3,4,10,9,3,4,10,9,0.3333333333333333,0.0,0.0,0.41666666666666663,0.08333333333333333,0.0,0.41666666666666663,0.08333333333333333,0.0,0.41666666666666663,0.08333333333333333,0.0,3.9990449524738216,3.85083768211794,4.194018416909733,4.194015476380996,4.041757735799349,3.8665716379640767,4.2357959357191515,4.235791792310081,3.9990449524738216,3.85083768211794,4.194018416909733,4.194015476380996,1.1537801123810763,0.01573395584613646,1.1996929097332147,1.1537801123810763,1.4447097100409714,1.4447062358343556,0.042712783325527415,0.01573395584613646,0.04177751880941827,0.04177631592908515,3.39743914749902,-7.40356759629572e-05,-7.40356759629572e-05,0.06735162170243317,0.06735162170243317,-0.0010992411777411228,-0.0010992411777411228,-0.0010992411777411228,1.1537801123810763,0.01573395584613646,12.221349155429685,12.37361336863027,12.278875276728758,12.359731433493883,203078.75844748062,236478.68798618385,215103.64844377013,233218.58678893122,1.3244963283086921,1.336942519195931,1.3286715538661664,1.334220612473418,1.5243134574712043,1.5163660356542814,1.5248161072115944,1.5230449810708584,1.3244963283086921,0.9715204409738172,1.3244963283086921
deep_s,1,36,124,4,3,0,4,5,11,10,4,5,11,10,0.5,0.0,0.0,0.5833333333333334,0.08333333333333333,0.0,0.5833333333333334,0.08333333333333333,0.0,0.5833333333333334,0.08333333333333333,0.0,3.85083768211794,3.999044799837627,4.138807349047544,4.194018416909733,3.8665716379640767,4.0417578619741885,4.152522575538549,4.2357959357191515,3.85083768211794,3.999044799837627,4.138807349047544,4.194018416909733,1.1537801123810763,0.013715226491004984,1.1537801123810763,1.1996923716538612,1.180012941366277,1.4447097100409714,0.01573395584613646,0.042713062136561675,0.013715226491004984,0.04177751880941827,3.1724656309356227,-5.095185355652454e-05,-5.095185355652454e-05,0.06735162170243317,0.06735162170243317,-0.0007565052224226375,-0.0007565052224226375,-0.0007565052224226375,1.1537801123810763,0.013715226491004984,12.221349217251886,12.351304709315505,12.272097657395353,12.37361336863027,203078.77100225678,231261.57526350903,213650.6871685529,236478.68798618385,1.324496322150391,1.3335644091930725,1.3281162353341096,1.336942519195931,1.5243134450867537,1.5263429664255754,1.5265010106136294,1.5163660356542814,1.324496322150391,0.9715204409738172,1.324496322150391
deep_s,1,36,124,5,4,0,5,6,12,11,5,6,12,11,-0.3333333333333334,0.0,0.0,-0.2500000000000001,0.08333333333333333,0.0,-0.2500000000000001,0.08333333333333333,0.0,-0.2500000000000001,0.08333333333333333,0.0,3.999044799837627,3.702191344285133,3.702187610078371,4.138807349047544,4.0417578619741885,3.711252522302878,3.71125271456347,4.152522575538549,3.999044799837627,3.702191344285133,3.702187610078371,4.138807349047544,0.7263651018267119,0.009061178017744975,1.1996923716538612,0.7263658711794152,0.7263651018267119,1.180012941366277,0.042713062136561675,0.009061178017744975,0.00906510448509934,0.013715226491004984,2.558869213594829,9.966740499414706e-05,9.966740499414706e-05,0.06735162170243317,0.06735162170243317,0.0014798070554928662,0.0014798070554928662,0.0014798070554928662,0.7263651018267119,0.009061178017744975,12.181831427214561,12.282272283279966,12.265787058158889,12.351304709315505,195210.04803287523,215835.5994640561,212306.66854698956,231261.57526350903,1.3205851718796526,1.3188020653459847,1.3223435796098126,1.3335644091930725,1.5317127049528836,1.543735064924704,1.5371095469976657,1.5263429664255754,1.3188020653459847,0.9714745801702324,1.3188020653459847
deep_s,1,36,124,6,5,0,6,1,7,12,6,1,7,12,-0.1666666666666666,0.0,0.0,-0.08333333333333327,0.08333333333333333,0.0,-0.08333333333333327,0.08333333333333333,0.0,-0.08333333333333327,0.08333333333333333,0.0,3.702191344285133,3.2705369926804835,3.702189791320856,3.702187610078371,3.711252522302878,3.2847196747911287,3.711252142172563,3.71125271456347,3.702191344285133,3.2705369926804835,3.702189791320856,3.702187610078371,0.0171013822199102,0.009061178017744975,0.7263658711794152,0.0171013822199102,0.7263652778140148,0.7263651018267119,0.009061178017744975,0.014182682110645217,0.009062350851706924,0.00906510448509934,2.1965353480312384,6.811298231346187e-05,6.811298231346187e-05,0.06735162170243317,0.06735162170243317,0.0010113042654621217,0.0010113042654621217,0.0010113042654621217,0.0171013822199102,0.009061178017744975,12.211966269325687,12.211966185734058,12.282272198064609,12.282272283279966,201182.2050731082,201182.18825596053,215835.58107154933,215835.5994640561,1.314057363775641,1.3140573674534617,1.3188020861085632,1.3188020653459847,1.5487820629105153,1.5487820938587455,1.5437350890114638,1.543735064924704,1.314057363775641,0.9760831889081456,1.314057363775641
deep_s,1,36,124,7,0,1,7,8,14,13,7,8,14,13,0.0,0.1666666666666667,0.0,0.08333333333333333,0.25000000000000006,0.0,0.08333333333333333,0.25000000000000006,0.0,0.08333333333333333,0.25000000000000006,0.0,3.702189791320856,4.13880588137121,4.194016194312507,3.999044731595483,3.711252142172563,4.152521007492888,4.235791848070382,4.041757979280117,3.702189791320856,4.13880588137121,4.194016194312507,3.999044731595483,0.7263652778140148,0.009062350851706924,0.7263652778140148,1.1800104644852447,1.4447073626197375,1.1996927440247194,0.009062350851706924,0.013715126121677912,0.04177565375787484,0.04271324768463414,2.558901051728974,2.5892690583020905e-05,2.5892690583020905e-05,0.06735162170243317,0.06735162170243317,0.0003844404919812866,0.0003844404919812866,0.0003844404919812866,0.7263652778140148,0.009062350851706924,12.265786740183795,12.272097183673496,12.359731232956651,12.181831276794622,212306.60103876755,213650.5859575767,233218.54001992624,195210.01866939382,1.3223437060668561,1.3281163657266608,1.3342206045454814,1.3205851747423336,1.5371094661283224,1.5265010054074304,1.523044963419706,1.5317127291439125,1.3205851747423336,0.9714745801702324,1.3205851747423336
deep_s,1,36,124,8,1,1,8,9,15,14,8,9,15,14,0.1666666666666667,0.1666666666666667,0.0,0.25000000000000006,0.25000000000000006,0.0,0.25000000000000006,0.25000000000000006,0.0,0.25000000000000006,0.25000000000000006,0.0,4.13880588137121,4.194015476380996,4.178359104327694,4.194016194312507,4.152521007492888,4.235791792310081,4.1911659557403755,4.235791848070382,4.13880588137121,4.194015476380996,4.178359104327694,4.194016194312507,1.1800104644852447,0.01280685141268112,1.1800104644852447,1.4447062358343556,1.536257115272519,1.4447073626197375,0.013715126121677912,0.04177631592908515,0.01280685141268112,0.04177565375787484,3.1724908596368313,-2.3878383947217184e-05,-2.3878383947217184e-05,0.06735162170243317,0.06735162170243317,-0.0003545331700061284,-0.0003545331700061284,-0.0003545331700061284,1.1800104644852447,0.01280685141268112,12.272097404153033,12.340891237328282,12.340891042039102,12.272097183673496,213650.63306316413,228865.83496457437,228865.7902695574,213650.5859575767,1.328116362838838,1.3327582377999947,1.3327582442275294,1.3281163657266608,1.526501058120443,1.5190251594565707,1.5190251424323913,1.5265010054074304,1.328116362838838,0.9687823983412049,1.328116362838838
deep_s,1,36,124,9,2,1,9,10,16,15,9,10,16,15,0.3333333333333333,0.1666666666666667,0.0,0.41666666666666663,0.25000000000000006,0.0,0.41666666666666663,0.25000000000000006,0.0,0.41666666666666663,0.25000000000000006,0.0,4.194015476380996,4.194018416909733,4.194014247298934,4.178359104327694,4.235791792310081,4.2357959357191515,4.2357894708034936,4.1911659557403755,4.194015476380996,4.194018416909733,4.194014247298934,4.178359104327694,1.4447059239006803,0.01280685141268112,1.4447062358343556,1.4447097100409714,1.4447059239006803,1.536257115272519,0.04177631592908515,0.04177751880941827,0.0417752235045592,0.01280685141268112,3.9686824477429425,-1.9861620634632054e-05,-1.9861620634632054e-05,0.06735162170243317,0.06735162170243317,-0.00029489446775881456,-0.00029489446775881456,-0.00029489446775881456,1.4447059239006803,0.01280685141268112,12.278875276728758,12.349523399415727,12.340891508651094,12.340891237328282,215103.64844377013,230849.99341629472,228865.89706110454,228865.83496457437,1.3286715538661664,1.337690770158034,1.3327580271244261,1.3327582377999947,1.5248161072115944,1.5149003638791434,1.5190251294392587,1.5190251594565707,1.3286715538661664,0.9687823983412049,1.3286715538661664
deep_s,1,36,124,10,3,1,10,11,17,16,10,11,17,16,0.5,0.1666666666666667,0.0,0.5833333333333334,0.25000000000000006,0.0,0.5833333333333334,0.25000000000000006,0.0,0.5833333333333334,0.25000000000000006,0.0,4.194018416909733,4.138807349047544,3.9990452210758054,4.194014247298934,4.2357959357191515,4.152522575538549,4.041759513031888,4.2357894708034936,4.194018416909733,4.138807349047544,3.9990452210758054,4.194014247298934,1.180012941366277,0.013715226491004984,1.4447097100409714,1.180012941366277,1.19969028907534,1.4447059239006803,0.04177751880941827,0.013715226491004984,0.04271429195608256,0.0417752235045592,3.1724656309356227,-2.7296530284349324e-05,-2.7296530284349324e-05,0.06735162170243317,0.06735162170243317,-0.0004052839351804828,-0.0004052839351804828,-0.0004052839351804828,1.180012941366277,0.013715226491004984,12.272097657395353,12.351304468149788,12.35973147718549,12.349523399415727,213650.6871685529,231261.51949115223,233218.59697862624,230849.99341629472,1.3281162353341096,1.3335639979867455,1.3342200253975423,1.337690770158034,1.5265010106136294,1.5263429985003303,1.5230449156661872,1.5149003638791434,1.3281162353341096,0.9708558921783205,1.3281162353341096
