ix,iy,center_q1,center_q2,native_curvature_A2,python_curvature_A2,native_flux_from_printed_map_rad,python_flux_rad,flux_difference_rad,native_stdout_curvature_A2,native_stdout_flux_rad,stdout_flux_difference_rad
0,0,0.08333333333333333,0.08333333333333333,-16.7545,-16.75450959482282,-1.1284428086169778,-1.1284433920402934,5.834233156587487e-07,-16.754509,-1.1284434147816067,-2.2741313276952724e-08
1,0,0.25000000000000006,0.08333333333333333,0.3955,0.39554610764427417,0.02663756786582797,0.026640671807927063,-3.103942099094009e-06,0.395546,0.02664066604059871,-5.767328354472356e-09
2,0,0.41666666666666663,0.08333333333333333,0.2279,0.2279465867012093,0.01534943544025839,0.015352572275860732,-3.1368356023415978e-06,0.227947,0.015352600966654584,2.86907938518155e-08
3,0,0.5833333333333334,0.08333333333333333,0.3819,0.3818824895949089,0.025721585759695832,0.025720404973979673,1.1807857161587332e-06,0.381882,0.025720373430437714,-3.154354195900044e-08
4,0,-0.2500000000000001,0.08333333333333333,-1.2698,-1.2698081441453606,-0.08552309399754325,-0.08552363775914705,5.437616037995419e-07,-1.269808,-0.08552363281054685,4.948600196286179e-09
5,0,-0.08333333333333327,0.08333333333333333,-30.5884,-30.588413046316823,-2.060178459942079,-2.060179223973302,7.640312227330526e-07,-30.588411,-2.060179200809959,2.3163342799392694e-08
0,1,0.08333333333333333,0.25000000000000006,0.3955,0.39551130898345077,0.02663756786582797,0.026638328061687533,-7.601958595636338e-07,0.395511,0.026638308733707927,-1.9327979605687773e-08
1,1,0.25000000000000006,0.25000000000000006,-0.0107,-0.010669457429756998,-0.0007206623923245493,-0.0007186052605792081,-2.0571317453411692e-06,-0.010669,-0.0007185744919355716,3.076864363651694e-08
2,1,0.41666666666666663,0.25000000000000006,-0.0362,-0.03620012815167459,-0.0024381288413223073,-0.002438137336851188,8.495528880641395e-09,-0.0362,-0.0024381288413223073,8.495528880641395e-09
3,1,0.5833333333333334,0.25000000000000006,0.2519,0.25190309980207676,0.01696587445107981,0.01696608228353974,-2.0783245992944677e-07,0.251903,0.016966076505956162,-5.777583578225887e-09
4,1,-0.2500000000000001,0.25000000000000006,0.3807,0.380707703242857,0.025640763809154758,0.025641281208015097,-5.1739886033908e-07,0.380708,0.025641302622158368,2.1414143271114572e-08
5,1,-0.08333333333333327,0.25000000000000006,-1.2698,-1.269765446277306,-0.08552309399754325,-0.08552076198849035,-2.332009052904982e-06,-1.269765,-0.08552073669065247,2.5297837880078333e-08
0,2,0.08333333333333333,0.41666666666666663,0.2279,0.2279488299616093,0.01534943544025839,0.015352723363086573,-3.2879228281830486e-06,0.227949,0.015352735669905486,1.2306818912913298e-08
1,2,0.25000000000000006,0.41666666666666663,-0.0362,-0.036199482615279374,-0.0024381288413223073,-0.0024380938589281024,-3.498239420493196e-08,-0.036199,-0.0024380614896968565,3.236923124590868e-08
2,2,0.41666666666666663,0.41666666666666663,0.0725,0.07245058960600405,0.004882992845189703,0.004879664703261821,3.328141927882132e-06,0.072451,0.00487969261554261,2.791228078877217e-08
3,2,0.5833333333333334,0.41666666666666663,0.3534,0.3533650224720806,0.023802064434345394,0.02379970731641137,2.357117934025099e-06,0.353365,0.023799707127454613,-1.88956756491665e-10
4,2,-0.2500000000000001,0.41666666666666663,0.2519,0.2519232442872758,0.01696587445107981,0.01696743904728626,-1.5645962064478325e-06,0.251923,0.01696742353846518,-1.550882107806406e-08
5,2,-0.08333333333333327,0.41666666666666663,0.3819,0.3818998758288303,0.025721585759695832,0.025721575965029577,9.794666255141804e-09,0.3819,0.025721585759695832,9.794666255141804e-09
