k_index,distance_Ainv,wannier_band,energy_eV
1,0,51,1.9034631
2,0.0006971861,51,1.9035267
3,0.0013943722,51,1.9037103
4,0.0020915583,51,1.9039936
5,0.0027887444,51,1.9043473
6,0.0034859305,51,1.9047392
7,0.0041831166,51,1.9051416
8,0.0048803027,51,1.905538
9,0.0055774888,51,1.9059232
10,0.0062746749,51,1.9063004
11,0.006971861,51,1.9066753
12,0.0076690471,51,1.9070532
13,0.0083662332,51,1.9074383
14,0.0090634193,51,1.9078328
15,0.0097606054,51,1.9082381
16,0.010457792,51,1.9086542
17,0.011154978,51,1.9090805
18,0.011852164,51,1.9095161
19,0.01254935,51,1.9099591
20,0.013246536,51,1.9104073
21,0.013943722,51,1.9108582
22,0.014640908,51,1.9113084
23,0.015338094,51,1.9117543
24,0.01603528,51,1.9121912
25,0.016732466,51,1.9126142
26,0.017429653,51,1.9130179
27,0.018126839,51,1.913397
28,0.018824025,51,1.9137471
29,0.019521211,51,1.9140647
30,0.020218397,51,1.9143475
31,0.020915583,51,1.9145939
32,0.021612769,51,1.914803
33,0.022309955,51,1.9149738
34,0.023007141,51,1.9151053
35,0.023704327,51,1.9151962
36,0.024401514,51,1.915245
37,0.0250987,51,1.91525
38,0.025795886,51,1.9152093
39,0.026493072,51,1.9151209
40,0.027190258,51,1.9149825
41,0.027887444,51,1.914792
42,0.02858463,51,1.914547
43,0.029281816,51,1.9142453
44,0.029979002,51,1.9138845
45,0.030676189,51,1.9134625
46,0.031373375,51,1.9129774
47,0.032070561,51,1.9124273
48,0.032767747,51,1.9118107
49,0.033464933,51,1.9111264
50,0.034162119,51,1.9103737
51,0.034859305,51,1.9095522
52,0.035556491,51,1.9086619
53,0.036253677,51,1.9077034
54,0.036950863,51,1.9066778
55,0.03764805,51,1.9055866
56,0.038345236,51,1.9044319
57,0.039042422,51,1.9032161
58,0.039739608,51,1.9019419
59,0.040436794,51,1.9006125
60,0.04113398,51,1.8992313
61,0.041831166,51,1.897802
62,0.042528352,51,1.8963284
63,0.043225538,51,1.8948145
64,0.043922724,51,1.8932644
65,0.044619911,51,1.8916823
66,0.045317097,51,1.8900725
67,0.046014283,51,1.8884395
68,0.046711469,51,1.8867874
69,0.047408655,51,1.8851209
70,0.048105841,51,1.8834443
71,0.048803027,51,1.8817619
72,0.049500213,51,1.8800784
73,0.050197399,51,1.8783979
74,0.050894585,51,1.8767249
75,0.051591772,51,1.8750635
76,0.052288958,51,1.8734179
77,0.052986144,51,1.8717922
78,0.05368333,51,1.8701902
79,0.054380516,51,1.8686155
80,0.055077702,51,1.8670717
81,0.055774888,51,1.865562
82,0.056472074,51,1.8640892
83,0.05716926,51,1.8626558
84,0.057866447,51,1.8612639
85,0.058563633,51,1.8599153
86,0.059260819,51,1.8586112
87,0.059958005,51,1.8573522
88,0.060655191,51,1.8561385
89,0.061352377,51,1.8549699
90,0.062049563,51,1.8538456
91,0.062746749,51,1.8527644
92,0.063443935,51,1.8517248
93,0.064141121,51,1.8507247
94,0.064838308,51,1.8497622
95,0.065535494,51,1.8488349
96,0.06623268,51,1.8479403
97,0.066929866,51,1.8470759
98,0.067627052,51,1.8462393
99,0.068324238,51,1.845428
100,0.069021424,51,1.8446395
101,0.06971861,51,1.8438715
102,0.070415796,51,1.8431219
103,0.071112982,51,1.8423885
104,0.071810169,51,1.8416694
105,0.072507355,51,1.8409628
106,0.073204541,51,1.840267
107,0.073901727,51,1.8395803
108,0.074598913,51,1.8389015
109,0.075296099,51,1.838229
110,0.075993285,51,1.8375617
111,0.076690471,51,1.8368985
112,0.077387657,51,1.8362383
113,0.078084843,51,1.8355801
114,0.07878203,51,1.8349232
115,0.079479216,51,1.8342666
116,0.080176402,51,1.8336097
117,0.080873588,51,1.8329517
118,0.081570774,51,1.8322921
119,0.08226796,51,1.8316302
120,0.082965146,51,1.8309656
121,0.083662332,51,1.8302977
122,0.084359518,51,1.8296261
123,0.085056705,51,1.8289505
124,0.085753891,51,1.8282704
125,0.086451077,51,1.8275855
126,0.087148263,51,1.8268955
127,0.087845449,51,1.8262001
128,0.088542635,51,1.825499
129,0.089239821,51,1.824792
130,0.089937007,51,1.824079
131,0.090634193,51,1.8233596
132,0.091331379,51,1.8226337
133,0.092028566,51,1.8219013
134,0.092725752,51,1.821162
135,0.093422938,51,1.8204159
136,0.094120124,51,1.8196628
137,0.09481731,51,1.8189026
138,0.095514496,51,1.8181352
139,0.096211682,51,1.8173606
140,0.096908868,51,1.8165787
141,0.097606054,51,1.8157895
142,0.09830324,51,1.814993
143,0.099000427,51,1.8141892
144,0.099697613,51,1.8133779
145,0.1003948,51,1.8125594
146,0.10109198,51,1.8117334
147,0.10178917,51,1.8109002
148,0.10248636,51,1.8100597
149,0.10318354,51,1.8092119
150,0.10388073,51,1.8083569
151,0.10457792,51,1.8074948
152,0.1052751,51,1.8066256
153,0.10597229,51,1.8057494
154,0.10666947,51,1.8048663
155,0.10736666,51,1.8039762
156,0.10806385,51,1.8030794
157,0.10876103,51,1.8021759
158,0.10945822,51,1.8012658
159,0.1101554,51,1.8003492
160,0.11085259,51,1.7994261
161,0.11154978,51,1.7984968
162,0.11224696,51,1.7975613
163,0.11294415,51,1.7966196
164,0.11364133,51,1.795672
165,0.11433852,51,1.7947186
166,0.11503571,51,1.7937594
167,0.11573289,51,1.7927945
168,0.11643008,51,1.7918242
169,0.11712727,51,1.7908484
170,0.11782445,51,1.7898674
171,0.11852164,51,1.7888813
172,0.11921882,51,1.7878901
173,0.11991601,51,1.7868941
174,0.1206132,51,1.7858933
175,0.12131038,51,1.7848878
176,0.12200757,51,1.7838778
177,0.12270475,51,1.7828634
178,0.12340194,51,1.7818447
179,0.12409913,51,1.7808219
180,0.12479631,51,1.779795
181,0.1254935,51,1.7787641
182,0.12619068,51,1.7777295
183,0.12688787,51,1.7766911
184,0.12758506,51,1.7756491
185,0.12828224,51,1.7746036
186,0.12897943,51,1.7735547
187,0.12967662,51,1.7725024
188,0.1303738,51,1.7714468
189,0.13107099,51,1.770388
190,0.13176817,51,1.7693261
191,0.13246536,51,1.768261
192,0.13316255,51,1.7671928
193,0.13385973,51,1.7661216
194,0.13455692,51,1.7650472
195,0.1352541,51,1.7639697
196,0.13595129,51,1.7628891
197,0.13664848,51,1.7618053
198,0.13734566,51,1.7607183
199,0.13804285,51,1.7596279
200,0.13874003,51,1.758534
201,0.13943722,51,1.7574365
202,0.14013441,51,1.7563354
203,0.14083159,51,1.7552303
204,0.14152878,51,1.7541213
205,0.14222596,51,1.753008
206,0.14292315,51,1.7518902
207,0.14362034,51,1.7507679
208,0.14431752,51,1.7496407
209,0.14501471,51,1.7485084
210,0.1457119,51,1.7473709
211,0.14640908,51,1.7462279
212,0.14710627,51,1.7450792
213,0.14780345,51,1.7439245
214,0.14850064,51,1.7427637
215,0.14919783,51,1.7415965
216,0.14989501,51,1.7404228
217,0.1505922,51,1.7392423
218,0.15128938,51,1.7380548
219,0.15198657,51,1.7368603
220,0.15268376,51,1.7356585
221,0.15338094,51,1.7344494
222,0.15407813,51,1.7332327
223,0.15477531,51,1.7320083
224,0.1554725,51,1.7307763
225,0.15616969,51,1.7295364
226,0.15686687,51,1.7282886
227,0.15756406,51,1.7270328
228,0.15826125,51,1.7257691
229,0.15895843,51,1.7244973
230,0.15965562,51,1.7232175
231,0.1603528,51,1.7219297
232,0.16104999,51,1.7206338
233,0.16174718,51,1.71933
234,0.16244436,51,1.7180182
235,0.16314155,51,1.7166985
236,0.16383873,51,1.7153709
237,0.16453592,51,1.7140356
238,0.16523311,51,1.7126926
239,0.16593029,51,1.711342
240,0.16662748,51,1.709984
241,0.16732466,51,1.7086186
242,0.16802185,51,1.7072459
243,0.16871904,51,1.7058662
244,0.16941622,51,1.7044795
245,0.17011341,51,1.703086
246,0.1708106,51,1.7016859
247,0.17150778,51,1.7002793
248,0.17220497,51,1.6988665
249,0.17290215,51,1.6974476
250,0.17359934,51,1.6960228
251,0.17429653,51,1.6945923
252,0.17499371,51,1.6931563
253,0.1756909,51,1.6917151
254,0.17638808,51,1.6902689
255,0.17708527,51,1.688818
256,0.17778246,51,1.6873625
257,0.17847964,51,1.6859027
258,0.17917683,51,1.684439
259,0.17987401,51,1.6829715
