# k_index	kx_frac	ky_frac	kz_frac	source_k_weight	photon_eV	I_plus_A2_per_eV	I_minus_A2_per_eV	eta	eta_valid
1	0.0	0.0	0.0	0.02	0.5	1.0270298672606595e-289	1.0270296285982027e-289	nan	False
1	0.0	0.0	0.0	0.02	0.51	1.4964572439349698e-286	1.496456896186405e-286	nan	False
1	0.0	0.0	0.0	0.02	0.52	2.0949505343764564e-283	2.0949500475492885e-283	nan	False
1	0.0	0.0	0.0	0.02	0.53	2.817808362700035e-280	2.8178077078942804e-280	nan	False
1	0.0	0.0	0.0	0.02	0.54	3.6414751883372795e-277	3.6414743421268207e-277	nan	False
1	0.0	0.0	0.0	0.02	0.55	4.521384877276288e-274	4.5213838265913395e-274	nan	False
1	0.0	0.0	0.0	0.02	0.56	5.393787348990653e-271	5.393786095575752e-271	nan	False
1	0.0	0.0	0.0	0.02	0.5700000000000001	6.182218977951894e-268	6.182217541320286e-268	nan	False
1	0.0	0.0	0.0	0.02	0.58	6.808056767376014e-265	6.808055185311454e-265	nan	False
1	0.0	0.0	0.0	0.02	0.59	7.203277956799883e-262	7.20327628289334e-262	nan	False
1	0.0	0.0	0.0	0.02	0.6	7.322601483966759e-259	7.32259978233167e-259	nan	False
1	0.0	0.0	0.0	0.02	0.61	7.152022068059266e-256	7.152020406063629e-256	nan	False
1	0.0	0.0	0.0	0.02	0.62	6.711514195677045e-253	6.711512636047167e-253	nan	False
1	0.0	0.0	0.0	0.02	0.63	6.051184588906101e-250	6.051183182724424e-250	nan	False
1	0.0	0.0	0.0	0.02	0.64	5.241897322909782e-247	5.24189610479127e-247	nan	False
1	0.0	0.0	0.0	0.02	0.65	4.362795326891632e-244	4.362794313059917e-244	nan	False
1	0.0	0.0	0.0	0.02	0.66	3.488746304378688e-241	3.488745493659554e-241	nan	False
1	0.0	0.0	0.0	0.02	0.67	2.6804157449281387e-238	2.6804151220498492e-238	nan	False
1	0.0	0.0	0.0	0.02	0.6799999999999999	1.9786234503365856e-235	1.978622990541648e-235	nan	False
1	0.0	0.0	0.0	0.02	0.69	1.4033059425268614e-232	1.4033056164249099e-232	nan	False
1	0.0	0.0	0.0	0.02	0.7	9.562463652174122e-230	9.562461430037122e-230	nan	False
1	0.0	0.0	0.0	0.02	0.71	6.26059270970091e-227	6.260591254856718e-227	nan	False
1	0.0	0.0	0.0	0.02	0.72	3.9381234468101487e-224	3.9381225316642044e-224	nan	False
1	0.0	0.0	0.0	0.02	0.73	2.3800792654527924e-221	2.380078712367061e-221	nan	False
1	0.0	0.0	0.0	0.02	0.74	1.3820435768339565e-218	1.3820432556729795e-218	nan	False
1	0.0	0.0	0.0	0.02	0.75	7.710459734869571e-216	7.710457943103506e-216	nan	False
1	0.0	0.0	0.0	0.02	0.76	4.133015471008435e-213	4.133014510573244e-213	nan	False
1	0.0	0.0	0.0	0.02	0.77	2.1285409466664205e-210	2.1285404520334716e-210	nan	False
1	0.0	0.0	0.0	0.02	0.78	1.0532348187574302e-207	1.0532345740054347e-207	nan	False
1	0.0	0.0	0.0	0.02	0.79	5.007219473296545e-205	5.007218309712759e-205	nan	False
1	0.0	0.0	0.0	0.02	0.8	2.2871585295037256e-202	2.287157998011029e-202	nan	False
1	0.0	0.0	0.0	0.02	0.81	1.0037466963141242e-199	1.003746463062239e-199	nan	False
1	0.0	0.0	0.0	0.02	0.8200000000000001	4.2323367028212604e-197	4.2323357193056803e-197	nan	False
1	0.0	0.0	0.0	0.02	0.8300000000000001	1.714606686802015e-194	1.7146062883596157e-194	nan	False
1	0.0	0.0	0.0	0.02	0.8400000000000001	6.6738591431418246e-192	6.673857592262273e-192	nan	False
1	0.0	0.0	0.0	0.02	0.8500000000000001	2.4958459738757925e-189	2.495845393888052e-189	nan	False
1	0.0	0.0	0.0	0.02	0.86	8.967817155714508e-187	8.967815071762188e-187	nan	False
1	0.0	0.0	0.0	0.02	0.87	3.0958786575545756e-184	3.095877938130506e-184	nan	False
1	0.0	0.0	0.0	0.02	0.88	1.0268555064815906e-181	1.0268552678596517e-181	nan	False
1	0.0	0.0	0.0	0.02	0.89	3.272374224224665e-179	3.27237346378634e-179	nan	False
1	0.0	0.0	0.0	0.02	0.9	1.0019471417556584e-176	1.0019469089219558e-176	nan	False
1	0.0	0.0	0.0	0.02	0.91	2.9475072294079707e-174	2.9475065444626353e-174	nan	False
1	0.0	0.0	0.0	0.02	0.9199999999999999	8.330923911474945e-172	8.330921975524656e-172	nan	False
