k_index,kx_frac,ky_frac,kz_frac,source_k_weight,initial_first,initial_last,final_first,final_last,transition_eV,transition_min_eV,transition_max_eV,I_plus_A2,I_minus_A2,eta,eta_valid
1,0.0,0.0,0.0,0.02,1,2,37,38,16.80027506004371,16.80027505980859,16.80027506027883,0.0001275286558405316,0.0001275285353567072,nan,False
1,0.0,0.0,0.0,0.02,1,2,39,40,16.86965252414492,16.86965252349834,16.869652524791505,0.001533396392877918,0.001533396670309039,nan,False
1,0.0,0.0,0.0,0.02,3,4,37,38,16.62479041694263,16.62479041676629,16.624790417118973,0.00035087828375177115,0.00035087847991375505,nan,False
1,0.0,0.0,0.0,0.02,3,4,39,40,16.694167881043843,16.69416788045604,16.694167881631646,0.002133318461379328,0.002133318275647501,nan,False
1,0.0,0.0,0.0,0.02,5,6,37,38,15.708174484803246,15.708174484597514,15.708174485008975,0.0010431325195945365,0.0010431324031090505,nan,False
1,0.0,0.0,0.0,0.02,5,6,39,40,15.777551948904456,15.777551948287265,15.777551949521648,0.0011615410141907966,0.0011615409211212888,nan,False
1,0.0,0.0,0.0,0.02,7,8,37,38,15.463975468252988,15.463975468017866,15.463975468488108,0.00457396106874678,0.004573962039404016,-1.0610684245331378e-07,True
1,0.0,0.0,0.0,0.02,7,8,39,40,15.533352932354198,15.533352931707615,15.533352933000781,0.004129906640893237,0.004129907100918551,-5.569439314597317e-08,True
1,0.0,0.0,0.0,0.02,9,10,37,38,8.547480861316615,8.547480861199054,8.547480861434174,0.0001481314860856566,0.0001481316983221251,nan,False
1,0.0,0.0,0.0,0.02,9,10,39,40,8.616858325417827,8.616858324888803,8.616858325946847,0.0013108260404081386,0.001310826758893452,nan,False
1,0.0,0.0,0.0,0.02,11,12,37,38,7.986292545379262,7.986292545291091,7.986292545467432,0.0005017198615411084,0.0005017211569178999,nan,False
1,0.0,0.0,0.0,0.02,11,12,39,40,8.055670009480473,8.05567000898084,8.055670009980105,0.0038129486326946827,0.0038129489027409606,-3.5411736994784896e-08,True
1,0.0,0.0,0.0,0.02,13,14,37,38,5.1701121656797735,5.170112162064786,5.17011216929476,0.001654547405707674,0.0016545483853053265,nan,False
1,0.0,0.0,0.0,0.02,13,14,39,40,5.2394896297809845,5.239489625754535,5.239489633807433,1.2607802766398778e-10,1.256768045160265e-10,nan,False
1,0.0,0.0,0.0,0.02,15,16,37,38,5.125318407331844,5.125318407214284,5.125318407449404,0.01365974849096439,0.013659742875290395,2.055555837397243e-07,True
1,0.0,0.0,0.0,0.02,15,16,39,40,5.194695871433055,5.194695870904033,5.194695871962077,0.011755108762483236,0.011755110737015427,-8.398612316536095e-08,True
1,0.0,0.0,0.0,0.02,17,18,37,38,5.1071204774677845,5.107120473970358,5.107120480965211,0.0008996800766184245,0.0008996824717819244,nan,False
1,0.0,0.0,0.0,0.02,17,18,39,40,5.1764979415689965,5.176497937660107,5.176497945477884,2.269509215544594e-10,2.3061352467614957e-10,nan,False
1,0.0,0.0,0.0,0.02,19,20,37,38,5.078167145974813,5.078167145857252,5.078167146092373,0.008310719070450622,0.008310780455363964,-3.693103215284528e-06,True
1,0.0,0.0,0.0,0.02,19,20,39,40,5.147544610076024,5.147544609547002,5.147544610605046,0.012355342983935085,0.012355301039521639,1.6974229164635245e-06,True
1,0.0,0.0,0.0,0.02,21,22,37,38,5.029115555481621,5.02911555530528,5.029115555657961,0.0036052815096713413,0.0036052926245641877,-1.5414712669846338e-06,True
1,0.0,0.0,0.0,0.02,21,22,39,40,5.098493019582832,5.098493018995029,5.098493020170634,0.0027022923847583643,0.0027022756606208866,3.094444798777681e-06,True
1,0.0,0.0,0.0,0.02,23,24,37,38,4.1043759485054485,4.104375948240937,4.10437594876996,0.007009147206779653,0.007008876804506711,1.928961405144846e-05,True
1,0.0,0.0,0.0,0.02,23,24,39,40,4.1737534126066596,4.1737534119306865,4.173753413282633,1.6786816634722357,1.678681111434976,1.644258594299787e-07,True
1,0.0,0.0,0.0,0.02,25,26,37,38,4.044988220679831,4.044988220503489,4.044988220856172,0.05458205099822323,0.05458160033136938,4.128360020637657e-06,True
1,0.0,0.0,0.0,0.02,25,26,39,40,4.114365684781042,4.114365684193239,4.114365685368845,0.5219751186361827,0.521975101616128,1.6303511765946795e-08,True
1,0.0,0.0,0.0,0.02,27,28,37,38,4.015777487702337,4.015777485498076,4.015777489906597,2.416275523904081,2.4162752769759286,5.109685604275437e-08,True
1,0.0,0.0,0.0,0.02,27,28,39,40,4.085154951803548,4.085154949187825,4.08515495441927,3.262764154261891e-08,3.2799993844656315e-08,nan,False
1,0.0,0.0,0.0,0.02,29,30,37,38,3.9990436700341805,3.9990436698872296,3.999043670181131,0.2806776669639196,0.2806779687380191,-5.375809563392256e-07,True
1,0.0,0.0,0.0,0.02,29,30,39,40,4.0684211341353915,4.0684211335769795,4.0684211346938035,0.09642106174671412,0.09642098451778547,4.004776455700398e-07,True
