case,k_index,valley,photon_energy_eV,left_spectrum_au,right_spectrum_au,eta_raw,eta_rounding_absolute_bound,strength_valid,display_valid,eta_display
monolayer,25,K,0.5,0.0,0.0,,,0,0,
monolayer,25,K,0.51,0.0,0.0,,,0,0,
monolayer,25,K,0.52,0.0,0.0,,,0,0,
monolayer,25,K,0.53,0.0,0.0,,,0,0,
monolayer,25,K,0.54,0.0,0.0,,,0,0,
monolayer,25,K,0.55,0.0,0.0,,,0,0,
monolayer,25,K,0.56,0.0,0.0,,,0,0,
monolayer,25,K,0.57,0.0,0.0,,,0,0,
monolayer,25,K,0.58,0.0,0.0,,,0,0,
monolayer,25,K,0.59,0.0,0.0,,,0,0,
monolayer,25,K,0.6,0.0,0.0,,,0,0,
monolayer,25,K,0.61,0.0,0.0,,,0,0,
monolayer,25,K,0.62,0.0,0.0,,,0,0,
monolayer,25,K,0.63,0.0,0.0,,,0,0,
monolayer,25,K,0.64,0.0,0.0,,,0,0,
monolayer,25,K,0.65,0.0,0.0,,,0,0,
monolayer,25,K,0.66,0.0,0.0,,,0,0,
monolayer,25,K,0.67,0.0,0.0,,,0,0,
monolayer,25,K,0.68,0.0,0.0,,,0,0,
monolayer,25,K,0.69,0.0,0.0,,,0,0,
monolayer,25,K,0.7,0.0,0.0,,,0,0,
monolayer,25,K,0.71,0.0,0.0,,,0,0,
monolayer,25,K,0.72,0.0,0.0,,,0,0,
monolayer,25,K,0.73,0.0,0.0,,,0,0,
monolayer,25,K,0.74,0.0,0.0,,,0,0,
monolayer,25,K,0.75,0.0,0.0,,,0,0,
monolayer,25,K,0.76,0.0,0.0,,,0,0,
monolayer,25,K,0.77,0.0,0.0,,,0,0,
monolayer,25,K,0.78,0.0,0.0,,,0,0,
monolayer,25,K,0.79,0.0,0.0,,,0,0,
monolayer,25,K,0.8,0.0,0.0,,,0,0,
monolayer,25,K,0.81,0.0,0.0,,,0,0,
monolayer,25,K,0.82,0.0,0.0,,,0,0,
monolayer,25,K,0.83,0.0,0.0,,,0,0,
monolayer,25,K,0.84,0.0,0.0,,,0,0,
monolayer,25,K,0.85,0.0,0.0,,,0,0,
monolayer,25,K,0.86,0.0,0.0,,,0,0,
monolayer,25,K,0.87,0.0,0.0,,,0,0,
monolayer,25,K,0.88,0.0,0.0,,,0,0,
monolayer,25,K,0.89,0.0,0.0,,,0,0,
monolayer,25,K,0.9,0.0,0.0,,,0,0,
monolayer,25,K,0.91,0.0,0.0,,,0,0,
monolayer,25,K,0.92,0.0,0.0,,,0,0,
monolayer,25,K,0.93,0.0,0.0,,,0,0,
monolayer,25,K,0.94,0.0,0.0,,,0,0,
monolayer,25,K,0.95,0.0,0.0,,,0,0,
monolayer,25,K,0.96,0.0,0.0,,,0,0,
monolayer,25,K,0.97,0.0,0.0,,,0,0,
monolayer,25,K,0.98,0.0,0.0,,,0,0,
monolayer,25,K,0.99,0.0,0.0,,,0,0,
monolayer,25,K,1.0,0.0,0.0,,,0,0,
monolayer,25,K,1.01,0.0,0.0,,,0,0,
monolayer,25,K,1.02,0.0,0.0,,,0,0,
monolayer,25,K,1.03,0.0,0.0,,,0,0,
monolayer,25,K,1.04,0.0,0.0,,,0,0,
monolayer,25,K,1.05,0.0,0.0,,,0,0,
monolayer,25,K,1.06,0.0,0.0,,,0,0,
monolayer,25,K,1.07,0.0,0.0,,,0,0,
monolayer,25,K,1.08,0.0,0.0,,,0,0,
monolayer,25,K,1.09,0.0,0.0,,,0,0,
monolayer,25,K,1.1,0.0,0.0,,,0,0,
monolayer,25,K,1.11,0.0,0.0,,,0,0,
monolayer,25,K,1.12,0.0,0.0,,,0,0,
monolayer,25,K,1.13,0.0,0.0,,,0,0,
monolayer,25,K,1.14,0.0,0.0,,,0,0,
monolayer,25,K,1.15,0.0,0.0,,,0,0,
monolayer,25,K,1.16,0.0,0.0,,,0,0,
