k_index,kx_frac,ky_frac,kz_frac,source_k_weight,photon_eV,I_plus_A2_per_eV,I_minus_A2_per_eV,eta,eta_valid
1,0.0,0.0,0.0,0.02,0.5,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.51,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.52,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.53,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.54,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.55,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.56,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.5700000000000001,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.58,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.59,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.6,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.61,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.62,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.63,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.64,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.65,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.66,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.67,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.6799999999999999,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.69,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.7,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.71,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.72,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.73,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.74,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.75,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.76,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.77,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.78,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.79,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.8,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.81,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.8200000000000001,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.8300000000000001,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.8400000000000001,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.8500000000000001,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.86,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.87,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.88,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.89,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.9,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.91,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.9199999999999999,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.9299999999999999,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.94,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.95,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.96,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.97,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.98,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,0.99,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,1.0,0.0,0.0,nan,False
1,0.0,0.0,0.0,0.02,1.01,1.73e-322,1.73e-322,nan,False
1,0.0,0.0,0.0,0.02,1.02,3.33835e-319,3.3882e-319,nan,False
1,0.0,0.0,0.0,0.02,1.03,6.256282e-316,6.34969265e-316,nan,False
1,0.0,0.0,0.0,0.02,1.04,1.12648707427e-312,1.143306319686e-312,nan,False
1,0.0,0.0,0.0,0.02,1.05,1.948786813765053e-309,1.97788357344178e-309,nan,False
1,0.0,0.0,0.0,0.02,1.06,3.239147110857953e-306,3.2875098585820636e-306,nan,False
1,0.0,0.0,0.0,0.02,1.07,5.172794596285116e-303,5.2500280628511087e-303,nan,False
1,0.0,0.0,0.0,0.02,1.08,7.936847125536512e-300,8.055349843110053e-300,nan,False
1,0.0,0.0,0.0,0.02,1.0899999999999999,1.1700354430167425e-296,1.1875048962469475e-296,nan,False
1,0.0,0.0,0.0,0.02,1.1,1.657212654250611e-293,1.681956006367612e-293,nan,False
1,0.0,0.0,0.0,0.02,1.1099999999999999,2.2552032291853683e-290,2.2888750017560196e-290,nan,False
1,0.0,0.0,0.0,0.02,1.12,2.9486372612637086e-287,2.9926624923248065e-287,nan,False
1,0.0,0.0,0.0,0.02,1.13,3.7041215935387394e-284,3.7594267377747774e-284,nan,False
