# k_index	kx_frac	ky_frac	kz_frac	source_k_weight	initial_first	initial_last	final_first	final_last	transition_eV	transition_min_eV	transition_max_eV	I_plus_A2	I_minus_A2	eta	eta_valid
1	0.0	0.0	0.0	0.02	1	2	19	20	16.74654368092907	16.746543680608436	16.7465436812497	1.8416686518765042e-12	1.8300885510899214e-12	nan	False
1	0.0	0.0	0.0	0.02	3	4	19	20	15.631930387781285	15.631930387531908	15.631930388030664	0.003122961814283929	0.0031229621794481785	-5.846440813228929e-08	True
1	0.0	0.0	0.0	0.02	5	6	19	20	8.282431213581738	8.282431213047357	8.282431214116121	1.9016842127989156e-12	2.0092435120288124e-12	nan	False
1	0.0	0.0	0.0	0.02	7	8	19	20	5.195167758823464	5.195167757861576	5.195167759785352	0.0020694829484771337	0.0020694826891589175	nan	False
1	0.0	0.0	0.0	0.02	9	10	19	20	5.125318036818545	5.125318035856656	5.125318037780432	0.0005928756707424752	0.0005928754508827004	nan	False
1	0.0	0.0	0.0	0.02	11	12	19	20	4.611111664921863	4.611111664672484	4.611111665171241	0.22075643072324158	0.2207564656206369	-7.904048918118281e-08	True
1	0.0	0.0	0.0	0.02	13	14	19	20	4.124033263435374	4.1240332629009915	4.124033263969755	1.9072105241636057e-08	1.9056243283128148e-08	nan	False
1	0.0	0.0	0.0	0.02	15	16	19	20	4.037452095971023	4.037452095436641	4.0374520965054055	2.569348747335739	2.56934893013857	-3.557376646147976e-08	True
1	0.0	0.0	0.0	0.02	17	18	19	20	2.908964576142213	2.9089645755365803	2.908964576747846	3.551356193690148e-10	3.604380442912469e-10	nan	False
2	0.0	0.0416666666666667	0.0	0.02	1	2	19	20	16.70131389779902	16.701313126542573	16.701314669055474	0.00023643773850677652	0.0002364659376624668	nan	False
2	0.0	0.0416666666666667	0.0	0.02	3	4	19	20	15.598802821874644	15.59880205113459	15.598803592614699	0.003280293676456714	0.00328053474961011	-3.6744316074183034e-05	True
2	0.0	0.0416666666666667	0.0	0.02	5	6	19	20	8.2316517486935	8.231650977609181	8.23165251977782	0.0002885246008090725	0.00028854680496190674	nan	False
2	0.0	0.0416666666666667	0.0	0.02	7	8	19	20	5.212760755520878	5.212759949837945	5.21276156120381	0.0030763580535338774	0.003076365153918354	-1.1540230621715033e-06	True
2	0.0	0.0416666666666667	0.0	0.02	9	10	19	20	5.1012115321276665	5.101210695736313	5.101212368519019	0.0015695028216402276	0.001569468232395941	nan	False
2	0.0	0.0416666666666667	0.0	0.02	11	12	19	20	4.714793649415282	4.7147927347381104	4.714794564092453	0.23573038484827846	0.2357502066508394	-4.204160874981565e-05	True
2	0.0	0.0416666666666667	0.0	0.02	13	14	19	20	4.113748650856301	4.113747260646149	4.113750041066453	0.8868344786980505	0.8869733838807929	-7.830903542193826e-05	True
2	0.0	0.0416666666666667	0.0	0.02	15	16	19	20	3.9658281391497896	3.9658268984194187	3.9658293798801605	1.7602358382559233	1.7600697887739043	4.7169052807252266e-05	True
2	0.0	0.0416666666666667	0.0	0.02	17	18	19	20	2.8968143075589086	2.8968135324122644	2.8968150827055528	0.034400194066235075	0.03440319391266633	-4.360027201240307e-05	True
3	0.0	0.0833333333333333	0.0	0.02	1	2	19	20	16.52188243324878	16.521881853563723	16.521883012933838	0.005183501889021063	0.005183319312971963	1.7611574998942443e-05	True
3	0.0	0.0833333333333333	0.0	0.02	3	4	19	20	15.455294510733303	15.455293931937073	15.455295089529537	0.002465112954687053	0.0024652392315183294	-2.5612132056115654e-05	True
3	0.0	0.0833333333333333	0.0	0.02	5	6	19	20	8.037549348326909	8.037548768094881	8.037549928558937	0.008060615433159685	0.008060284578779076	2.052331944025552e-05	True
3	0.0	0.0833333333333333	0.0	0.02	7	8	19	20	5.27024696818434	5.270246388567655	5.270247547801025	0.06683629753567154	0.0668357292426897	4.2513979591396075e-06	True
3	0.0	0.0833333333333333	0.0	0.02	9	10	19	20	4.930665215595421	4.93066460268197	4.930665828508872	0.02374793337705177	0.023748121053864417	-3.9514190156424085e-06	True
3	0.0	0.0833333333333333	0.0	0.02	11	12	19	20	4.856817472899179	4.856816784469759	4.856818161328599	0.14471780218050162	0.144719949509919	-7.418967998642116e-06	True
3	0.0	0.0833333333333333	0.0	0.02	13	14	19	20	4.120814916610097	4.120814019443461	4.1208158137767334	0.8600532797736066	0.8601178338498899	-3.7527706268349924e-05	True
